You Can't Win,The Wiz,Michael Jackson,193.8ø
My 1st Single,Encore,Eminem,302.8ø
Mockingbird,Mockingbird,Eminem,250.6ø
Hellbound,Dr. Dre 2004,J-Black & Masta Ace,238.1ø
Evil Deeds,Encore,Eminem,261.7ø
Encore/Curtains Down,Encore,Eminem,348.4ø
Em Calls Paul (skit),Encore,Eminem,73.8ø
Ass Like That,Ass Like That,Eminem,287.1ø
Just Lose It,Curtain Call,Eminem,248.6ø
Take Your Hand,Confessions,Usher,183.7ø
Sweet Lies,Yeah!,Usher,249.7ø
Superstar,Confessions,Usher,64.6ø
Simple Things,Confessions,Usher,297.6ø
Seduction,Confessions,Usher,273.8ø
Only Human,Back To The Beginning - Usher,Usher Featuring The Nu Beginning,338.8ø
My Boo,Confessions,Usher & Alicia Keys,223.5ø
Jolly Dance,Back To The Beginning - Usher,Usher Featuring The Nu Beginning,243.6ø
Intro,Here I Stand,Usher,88.0ø
I Wanna Be,Back To The Beginning - Usher,Usher Featuring The Nu Beginning,253.8ø
Confessions Part II Remix,Confessions,Usher Featuring Shyne_ Twista & Kanye West,268.9ø
Confessions,Confessions,Usher,75.8ø
Caught Up,Confessions,Usher,224.6ø
Burn,Burn,Usher,224.6ø
Yellow Brick Road,Encore,Eminem,348.4ø
We As Americans,Encore,Eminem,276.4ø
Rain Man,Encore,Eminem,316.0ø
Puke,Encore,Eminem,247.9ø
Truth Hurts,Confessions,Usher,217.8ø
Dream Girl,Back To The Beginning - Usher,Usher Featuring The Nu Beginning,292.2ø
