Girls Wine,Strictly The Best Vol.3,Shabba Ranks,224.3ø
Sommarvisa,Mina Visor 1,Allan Edwall,149.7ø
Som De Flesta,Mina Visor 1,Allan Edwall,113.1ø
Rehabilitering,Mina Visor 1,Allan Edwall,293.5ø
Kom,Mina Visor 1,Allan Edwall,147.3ø
Far,Mina Visor 1,Allan Edwall,175.5ø
Dystervals,Mina Visor 2,Allan Edwall,264.6ø
Du Och Jag,Mina Visor 3,Allan Edwall,198.4ø
Bli Som Far,Mina Visor 2,Allan Edwall,245.0ø
Creole Love Call,The Music Of Duke Ellington,Roger Kellaway,470.1ø
Don't Start Me Talking,The Climax Chicago Blues Band,Climax Blues Band,199.6ø
