All In A Night's Work,Essential,Dean Martin,155.6ø
One of a Very Few of a Kind (Album Version),The Bedside Drama: A Petite Tragedy,Of Montreal,98.1ø
O Holy Night,Twelve Songs Of Christmas,Etta James,290.6ø
Joy To The World,Twelve Songs Of Christmas,Etta James,327.5ø
Sally Ann,Rufus Wainwright,Rufus Wainwright,301.6ø
In My Arms,Rufus Wainwright,Rufus Wainwright,249.0ø
Imaginary Love,Rufus Wainwright,Rufus Wainwright,208.7ø
Beauty Mark,Rufus Wainwright,Rufus Wainwright,134.8ø
Baby,Rufus Wainwright,Rufus Wainwright,313.1ø
April Fools,Rufus Wainwright,Rufus Wainwright,300.6ø
Don't Drink The Water,Live In Chicago 12.19.98 at The United Center,DAVE MATTHEWS BAND,411.6ø
My Father's Eyes,Complete Clapton,Eric Clapton,323.5ø
Inside Of Me (Album Version),Pilgrim,Eric Clapton,325.5ø
Going Down Slow (Album Version),Pilgrim,Eric Clapton,319.7ø
Sheep Go To Heaven,Prolonging the Magic,Cake,228.1ø
Matrimony: Maybe You,Embrya,Maxwell,278.1ø
Know These Things:Shouldn't You,Embrya,Maxwell,315.2ø
Drowndeep:Hula,Embrya,Maxwell,341.4ø
Vancouver,So Real: Songs From Jeff Buckley,Jeff Buckley,189.7ø
Opened Once,SKETCHES for My Sweetheart The Drunk,Jeff Buckley,211.6ø
Nightmares By The Sea,SKETCHES for My Sweetheart The Drunk,Jeff Buckley,232.7ø
New Year's Prayer,The Heights,Jeff Buckley,281.9ø
Murder Suicide Meteor Slave,SKETCHES for My Sweetheart The Drunk,Jeff Buckley,354.2ø
Morning Theft,SKETCHES for My Sweetheart The Drunk,Jeff Buckley,219.5ø
Jewel Box,SKETCHES for My Sweetheart The Drunk,Jeff Buckley,215.4ø
Haven't You Heard,SKETCHES for My Sweetheart The Drunk,Jeff Buckley,245.8ø
Gunshot Glitter,SKETCHES for My Sweetheart The Drunk,Jeff Buckley,336.7ø
Everybody Here Wants You,So Real: Songs From Jeff Buckley,Jeff Buckley,285.1ø
Demon John,SKETCHES for My Sweetheart The Drunk,Jeff Buckley,313.1ø
Back In N.Y.C.,SKETCHES for My Sweetheart The Drunk,Jeff Buckley,457.3ø
I'm A Memory,Willie And Family Live,Willie Nelson,109.4ø
Following Me Around,For the Good Times,Willie Nelson,167.8ø
Karen Koltrane,A Thousand Leaves,Sonic Youth,560.8ø
The Kids Aren't Alright,Greatest Hits,The Offspring,294.0ø
Staring At The Sun,Americana,The Offspring,132.8ø
Feelings,Americana,The Offspring,170.9ø
Extra Pale (LP Version),Dizzy Up The Girl,Goo Goo Dolls,130.7ø
Amigone (LP Version),Dizzy Up The Girl,Goo Goo Dolls,195.6ø
Silver Wax Lips,Silver Session (For Jason Knuth),Sonic Youth,262.8ø
Silver Breeze,Silver Session (For Jason Knuth),Sonic Youth,81.9ø
Contre Le Sexism,A Thousand Leaves,Sonic Youth,235.5ø
Never Ending Math Equation,Baron Von Bullshit Rides Again,Modest Mouse,218.9ø
April in Portugal,Satchmo Sings,Louis Armstrong,164.1ø
In Death's Embrace (Live),Godless Savage Garden DELUXE,Dimmu Borgir,376.1ø
Hunnerkongen,Godless Savage Garden,Dimmu Borgir,182.7ø
Live,5,Lenny Kravitz,310.7ø
If You Can't Say No (BT's SuperSymmetry Mix),If You Can't Say No (International Only),Lenny Kravitz,526.5ø
Fly Away,5,Lenny Kravitz,221.4ø
