God Don't Like Ugly,Da Storm,O.G.C.,286.6ø
Likala Ya Moto,Rochereau_ Sam Mangwana & l'African Fiesta National,Tabu Ley Rochereau,290.4ø
Walking In The Light (LP Version),Under The Influence,Anointed,234.9ø
Waiting In The Wings (LP Version),Under The Influence,Anointed,240.2ø
Us  (LP Version),Under The Influence,Anointed,292.3ø
Under The Influence (Acoustic LP Version),Under The Influence,Anointed,250.7ø
Come Unto Me  (LP Version),Under The Influence,Anointed,267.5ø
Answer To My Prayer (LP Version),Under The Influence,Anointed,252.4ø
Somebody Done Changed The Lock On My Door,Louis Jordan & His Tympany Five - Chapter 5,Louis Jordan & His Tympany Five,197.0ø
Tumble,So Wound,Jale,186.7ø
Superstar,So Wound,Jale,363.2ø
Sign Of Life,So Wound,Jale,222.4ø
Over You,So Wound,Jale,133.0ø
Mosquito,So Wound,Jale,165.7ø
Hey Hey,So Wound,Jale,123.2ø
Despite,So Wound,Jale,101.1ø
Blue,So Wound,Jale,181.5ø
Back On Track,So Wound,Jale,167.9ø
All Ready,So Wound,Jale,135.5ø
Ali,So Wound,Jale,192.1ø
Salome,Yale Concert,Duke Ellington & His Orchestra,226.2ø
Ugress,Ny & Naken,Halvdan Sivertsen,240.2ø
Ny & Naken,Ny & Naken,Halvdan Sivertsen,269.1ø
Messias Mot Messias,40+ [2cd],Halvdan Sivertsen,261.3ø
100.000 Tommeltotta,Helt Halvdan,Halvdan Sivertsen,525.4ø
Alle Fugler,Hvis Jeg Kunne Fly,Lars Lillo-Stenberg,149.1ø
Zoveel Dagen_ Zoveel Nachten,Frans Bauer,Frans Bauer,171.9ø
Wenn ein Stern am Himmel steht,Ich will mit Dir tanzen,Frans Bauer,237.8ø
Weine Nicht Corinna,Bauer Top100,Frans Bauer,169.2ø
Viva Holiday,Zijn Grootste Hits,Frans Bauer,192.5ø
Teenager Melodie,Ti amo - Ich liebe Dich,Frans Bauer,241.0ø
Op Weg Naar Al Mijn Dromen,Rondje Hollands,Frans Bauer,214.5ø
Op Rode Rozen Vallen Tranen,Zijn Grootste Successen,Frans Bauer,246.5ø
Jouw Tranen Zal Ik Nooit Vergeten,Frans Bauer,Frans Bauer,177.5ø
Then There Were None,Something Wicked This Way Comes - Live at Claret Hall Farm & Stonehenge,The Enid,304.5ø
Still,Grooverider Presents The Prototype Years,Boymerang,474.1ø
Tyrolershorts,Dagar Kommer,Coca Carola,189.9ø
Svagfelighet,Dagar Kommer,Coca Carola,96.9ø
Sug & ljug,Dagar Kommer,Coca Carola,185.5ø
Fel,Dagar Kommer,Coca Carola,203.2ø
Acme,Beauty in Darkness,sirrah,375.2ø
Over Tweeverdieners En Werksters,Het gelijk van de koffietent,Harrie Jekkers,201.1ø
Over Nuances En Eerlijkheid,Het gelijk van de koffietent,Harrie Jekkers,69.3ø
Het Kloosterwiedekruidgorsje,Het gelijk van de koffietent,Harrie Jekkers,154.4ø
De Tweeverdieners 3,Het gelijk van de koffietent,Harrie Jekkers,338.3ø
De Tweeverdieners 2,Het gelijk van de koffietent,Harrie Jekkers,83.0ø
De Tweeverdieners 1,Het gelijk van de koffietent,Harrie Jekkers,314.5ø
