Santa Fe Blues,Goin' Back Home,Lightnin' Hopkins,194.7ø
That's for Me,State Fair (Original 1945 Radio Broadcast),Dick Haymes,92.0ø
Something to remember you by,Don't Go To Strangers,Etta Jones,222.9ø
On The Street Where You Live,Don't Go To Strangers,Etta Jones,222.7ø
I Love Paris,Don't Go To Strangers,Etta Jones,239.8ø
Fine And Mellow,Don't Go To Strangers,Etta Jones,349.8ø
Don't Go To Strangers,Don't Go To Strangers,Etta Jones,228.3ø
All The Way,Don't Go To Strangers,Etta Jones,279.8ø
When You Wish Upon A Star,Greatest Hits,Little Anthony and The Imperials,155.4ø
So Near And Yet So Far,Greatest Hits,Little Anthony and The Imperials,178.2ø
I'm Still In Love With You,Greatest Hits,Little Anthony and The Imperials,150.8ø
I'm Alright,25 Greatest Hits,Little Anthony & The Imperials,143.6ø
A Prayer And A Juke Box,Yes! It's Little Anthony & The Imperials,Little Anthony & The Imperials,145.3ø
Poetry In Motion,25 Hits Of The 60s,Johnny Tillotson,150.6ø
Mio Amore (LP Version),Flamingo Favorites,The Flamingos,189.6ø
Granada,The Mantovani Orchestra - Essential Collection,The Mantovani Orchestra,249.0ø
You Win Again,Sweet Dreams,Don Gibson,191.8ø
Sweet Dreams,RCA Country Legends: Don Gibson,Don Gibson,137.9ø
Release Me,Sweet Dreams,Don Gibson,184.7ø
Studio Blues,Link Wray: Slinky! The Epic Sessions: 1958-1960,Link Wray & The Wraymen,122.9ø
Slinky,Link Wray: Slinky! The Epic Sessions: 1958-1960,Link Wray & The Wraymen,149.7ø
Rendezvous,Link Wray: Slinky! The Epic Sessions: 1958-1960,Link Wray & The Wraymen,113.7ø
Raw-Hide,Link Wray: Slinky! The Epic Sessions: 1958-1960,Link Wray & The Wraymen,125.7ø
Radar,Link Wray: Slinky! The Epic Sessions: 1958-1960,Link Wray & The Wraymen,134.1ø
Dixie-Doodle,Link Wray: Slinky! The Epic Sessions: 1958-1960,Link Wray & The Wraymen,127.9ø
Work Song,Sin & Soul... And Then Some,Oscar Brown Jr.,153.4ø
Watermelon Man,Sin & Soul... And Then Some,Oscar Brown Jr.,159.8ø
Somebody Buy Me A Drink,Sin & Soul... And Then Some,Oscar Brown Jr.,186.4ø
Sleepy,Sin & Soul... And Then Some,Oscar Brown Jr.,150.8ø
Signifyin' Monkey,Sin & Soul... And Then Some,Oscar Brown Jr.,240.7ø
Rags And Old Iron,Sin & Soul... And Then Some,Oscar Brown Jr.,223.8ø
Humdrum Blues,Sin & Soul... And Then Some,Oscar Brown Jr.,123.4ø
Dat Dere,Sin & Soul... And Then Some,Oscar Brown Jr.,172.5ø
But I Was Cool,THE LADIESMAN,Oscar Brown Jr.,207.0ø
Brown Baby,Sin & Soul... And Then Some,Oscar Brown Jr.,187.8ø
Bid 'Em In,Sin & Soul... And Then Some,Oscar Brown Jr.,89.8ø
Rock Me Mama,Rock Me Mama,"Arthur ""Big Boy"" Crudup",149.7ø
My Mama Dont Allow Me,Mean Ol' Frisco,Arthur Big Boy Crudup,141.8ø
Mean Ol' Frisco,Rock Me Mama,"Arthur ""Big Boy"" Crudup",158.0ø
Look On Yonder Wall,Rock Me Mama,"Arthur ""Big Boy"" Crudup",135.4ø
Im In The Mood,Mean Ol' Frisco,Arthur Big Boy Crudup,141.2ø
I Love Her Just The Same,Mean Ol' Frisco,Arthur Big Boy Crudup,132.5ø
Dig Myself A Hole,Mean Ol' Frisco,Arthur Big Boy Crudup,144.9ø
Coal Black Mare,Look On Yonder's Wall,"Arthur ""Big Boy"" Crudup",259.4ø
Serenade,Classical Lullabies,101 Strings Orchestra,344.3ø
Wings Of A Dove,Wings of a Dove,Ferlin Husky,131.2ø
We've Gone Too Far,Most Of All,Hank Thompson,168.0ø
Wake Up Irene,Historic Country & Western,Hank Thompson,134.0ø
Squaws Along the Yukon,Nashville Legends Vol. 1,Hank Thompson,148.3ø
Rockin' In The Congo,Most Of All,Hank Thompson,143.6ø
I Was The First One,Most Of All,Hank Thompson,131.1ø
Breakin' The Rules,Breakin' The Rules,Hank Thompson,166.0ø
Roll 'Em Pete,The Concerts,Jimmy Witherspoon,264.5ø
Good Rockin' Tonight,Jazz Me Blues: The Best Of Jimmy Witherspoon,Jimmy Witherspoon,252.4ø
Everyday,Tougher Than Tough,Jimmy Witherspoon,166.7ø
C.C. Rider,The Concerts,Jimmy Witherspoon,279.7ø
Ain't Nobody's Business,Jay McShann Meets Jimmy Witherspoon,Jay McShann_ Jimmy Witherspoon,359.8ø
White Collar Drunks,The Lenny Bruce Originals_ Volume 2,Lenny Bruce,341.3ø
The Tribunal,The Lenny Bruce Originals_ Volume 2,Lenny Bruce,174.9ø
The Steve Allen Show,The Lenny Bruce Originals_ Volume 2,Lenny Bruce,269.1ø
The Phone Company,The Lenny Bruce Originals_ Volume 2,Lenny Bruce,138.1ø
The Defiant Ones,The Lenny Bruce Originals_ Volume 2,Lenny Bruce,267.9ø
Our Governors,The Lenny Bruce Originals_ Volume 2,Lenny Bruce,214.3ø
My Trip To Miami,The Lenny Bruce Originals_ Volume 2,Lenny Bruce,221.2ø
Esther Costello Story,The Lenny Bruce Originals_ Volume 2,Lenny Bruce,161.6ø
Bronchitis,The Lenny Bruce Originals_ Volume 2,Lenny Bruce,77.8ø
