Maxim's,Theatre Des Capucines,Serge Gainsbourg,86.5ø
I Just Want To Make Love To You,Have Mercy -  His Complete Chess Recordings 1969 - 1974,Chuck Berry,185.5ø
All Alone Am I,Anthology 1956-1980,Brenda Lee,163.7ø
When The Lovelight Starts Shining Through His Eyes,Where Did Our Love Go: 40th Anniversary Edition,The Supremes,167.2ø
Standing At The Crossroads Of Love,Where Did Our Love Go: 40th Anniversary Edition,The Supremes,145.5ø
Track A-Solo Dancer (Stop! Look! And Listen. Sinner Jim Whitney!),The Black Saint And The Sinner Lady,Charles Mingus,399.3ø
Osmotin' (Live) (Digitally Remastered),Town Hall Concert,Charles Mingus,170.6ø
Little Boxes,The Complete Carnegie Hall Concert_ June 8_ 1963,Pete Seeger,181.5ø
Wishing,Not Fade Away: The Complete Studio Recordings And More,Buddy Holly,121.9ø
Brown-Eyed Handsome Man,Peggy Sue's The Girl On My Mind,Buddy Holly,97.5ø
Once Upon A Time,The Dusty Springfield Story,Dusty Springfield,113.1ø
I Remember You,The End Of The World/The Wonderful World Of,Julie London,157.2ø
Long Chain On (LP Version),In The Wind,Peter_ Paul and Mary,278.5ø
The Swiss Maid,Songs of Del Shannon,Del Shannon,124.7ø
Runaround Sue,Songs of Del Shannon,Del Shannon,157.6ø
Little Town Flirt,Little Town Flirt,Del Shannon,169.2ø
Kelly,Twirl Records Story Volume 5,Del Shannon,153.5ø
King For A Day,At Carnegie Hall,The Dave Brubeck Quartet,375.5ø
For All We Know,I'll Never Smiles Again,Paul Desmond,352.7ø
Eleven Four,At Carnegie Hall,The Dave Brubeck Quartet,260.9ø
Can't Go On Without You,Rock N Roll Hits Vol2,Fats Domino,131.7ø
I Only Want To Be With You,Complete A's And B's,Dusty Springfield,156.4ø
Willow Weep for Me,Standards- Julie London,Julie London,201.1ø
Where Are You,Julie / Love On The Rocks,Julie London,153.2ø
What's New,Julie / Love On The Rocks,Julie London,154.9ø
The Man That Got Away,Julie / Love On The Rocks,Julie London,215.3ø
The Good Life,The Magic Of,Julie London,174.4ø
Soft Summer Breeze,The End Of The World/The Wonderful World Of,Julie London,133.9ø
My Coloring Book,The End Of The World/The Wonderful World Of,Julie London,215.6ø
In The Still Of The Night,All Through The Night,Julie London,161.3ø
I Wanna Be Around,The End of the World/Nice Girls Don't Stay for Breakfast,Julie London,120.2ø
I Left My Heart In San Francisco,The Magic Of,Julie London,171.4ø
Guess Who I Saw Today,Julie / Love On The Rocks,Julie London,187.8ø
Don't Worry 'Bout Me,Julie / Love On The Rocks,Julie London,156.0ø
A Taste Of Honey,The End Of The World/The Wonderful World Of,Julie London,202.2ø
Louie Louie,The Best of The Kingsmen,The Kingsmen,180.1ø
Walk Right In,The Magic Of,Bobby Darin,153.2ø
On Broadway,The Capitol Years,Bobby Darin,155.5ø
From A Jack To A King,The Capitol Years,Bobby Darin,116.3ø
You're Stronger Than Me,Sweet Dreams: Her Complete Decca Masters (1960-1963),Patsy Cline | The Jordanaires,171.7ø
Why Can't He Be You,Patsy Cline/ Various Artists,Patsy Cline | The Jordanaires,209.7ø
So Wrong,The Very Best Of Patsy Cline,Patsy Cline | The Jordanaires,184.0ø
Back In Baby's Arms,Sweet Dreams: Her Complete Decca Masters (1960-1963),Patsy Cline | The Jordanaires,122.7ø
When It's Sleepy Time Down South,The Best Of Al Hirt,The Al Hirt Band,142.5ø
Talkin' 'bout That River,Honey In The Horn and Our Man in New Orleans,Al Hirt,138.5ø
Java,Jazzin' At The Pops,Al Hirt_ The Al Hirt Band,191.4ø
Our Day Will Come,The Capitol Years,Bobby Darin,165.0ø
Pipeline (Instrumental) (Stereo),Surfing,The Ventures,138.4ø
Percolator,The Ventures Play Telstar - The Lonely Bull And Others / (The) Ventures In Space,The Ventures,133.6ø
Memphis,The Essential Hits of The Ventures,The Ventures,159.5ø
Sweet Dreams,Walk Right Back: The Everly Brothers On Warner Bros. 1960-1969,The Everly Brothers,161.9ø
Release Me,The Everly Brothers Sing Great Country Hits,The Everly Brothers,141.8ø
Lonely Street,Walk Right Back: The Everly Brothers On Warner Bros. 1960-1969,The Everly Brothers,142.3ø
With God On Our Side,Live At Newport_ 1963-65,Joan Baez,395.8ø
Three Fishers,In Concert_ Part Ii,Joan Baez,164.7ø
Rambler Gambler,Very Early Joan,Joan Baez,125.7ø
Long Black Veil,Live At Newport_ 1963-65,Joan Baez,190.3ø
Hush Little Baby,In Concert_ Part Ii,Joan Baez,84.5ø
Battle Hymn Of The Republic,In Concert_ Part Ii,Joan Baez,204.4ø
Fracanapa,Adios Nonino,Astor Piazzolla,239.1ø
Buenos Aires Hora Cero,The Soul Of Tango - Greatest Hits,Astor Piazzolla,352.4ø
Satin Doll,McCoy Tyner Plays Ellington,McCoy Tyner,250.9ø
(Ain't That) Just Like Me,The Best Of The Hollies,The Hollies,125.4ø
