Looking At You,Noise Noise Noise,The Damned,348.4ø
Taste Of My Love,Love Beach,Emerson_ Lake & Palmer,211.4ø
Letters From The Front,Love Beach,Emerson_ Lake & Palmer,532.8ø
I Am What I Am,San Francisco Macho Man,Village People,326.6ø
I Been Doin' Alright (Part II) (Everything's Gonna Be Alright) (LP Version),Fire On Ice,Terry Callier,170.6ø
Be A Believer (LP Version),Fire On Ice,Terry Callier,283.4ø
Time Slips Away,Funk On Fire - The Mercury Anthology,Ohio Players,285.1ø
Love Is Like A Rolling Stone,Energy (With Bonus Tracks),The Pointer Sisters,217.6ø
Lay It On The Line,Energy (With Bonus Tracks),The Pointer Sisters,196.9ø
Hypnotized,Energy (With Bonus Tracks),The Pointer Sisters,290.2ø
Happiness,Energy (With Bonus Tracks),The Pointer Sisters,345.9ø
Fire,I'm So Excited,The Pointer Sisters,306.4ø
Everybody Is A Star,Energy (With Bonus Tracks),The Pointer Sisters,202.0ø
Echoes Of Love,Energy (With Bonus Tracks),The Pointer Sisters,177.1ø
Dirty Work,Love Songs,The Pointer Sisters,215.6ø
As I Come Of Age,Energy (With Bonus Tracks),The Pointer Sisters,163.2ø
Angry Eyes,Energy (With Bonus Tracks),The Pointer Sisters,163.1ø
Catherine,Love Songs,Earl Klugh,252.9ø
Natural Disaster,A Live One,Loudon Wainwright III,141.9ø
Mr. Guilty,Unrequited,Loudon Wainwright III,205.8ø
Alternative Ulster,The Story So Far,Stiff Little Fingers,161.9ø
Wanna Find Love,The Very Best Of Ram Jam,Ram Jam,224.0ø
Turnpike,The Very Best Of Ram Jam,Ram Jam,341.7ø
The Kid Next Door,The Very Best Of Ram Jam,Ram Jam,202.5ø
Saturday Night,The Very Best Of Ram Jam,Ram Jam,212.3ø
Pretty Poison,The Very Best Of Ram Jam,Ram Jam,267.7ø
Just Like Me,The Very Best Of Ram Jam,Ram Jam,253.6ø
Hurricane Ride,The Very Best Of Ram Jam,Ram Jam,243.7ø
Gone Wild,The Very Best Of Ram Jam,Ram Jam,196.4ø
We Three,Original Album Classics,Patti Smith Group,258.2ø
Till Victory,Easter,Patti Smith Group,167.3ø
Space Monkey,Easter,Patti Smith Group,248.5ø
Privilege (Set Me Free),Original Album Classics,Patti Smith Group,214.3ø
