Pappa,Guldkorn,Ola Magnell,354.1ø
Unnagjort,Dacapo,Jan Eggum,269.5ø
Svart Kartotek,Heksedans,Jan Eggum,164.7ø
Heksedans,Ekte Eggum,Jan Eggum,221.7ø
Laula kanssain,20 Suosikkia / Laula kanssain,Fredi,243.7ø
Wegwerflied,Ritter_ Wirtsleut_ Preiss'n und i,Fredl Fesl,224.8ø
Ein eiskaltes Lied,Ritter_ Wirtsleut_ Preiss'n und i,Fredl Fesl,223.6ø
Das Stachelschwein,Ritter_ Wirtsleut_ Preiss'n und i,Fredl Fesl,296.6ø
Das Lied vom Rausch,Ritter_ Wirtsleut_ Preiss'n und i,Fredl Fesl,269.3ø
Voodoo,African Queens,Ritchie Family,335.5ø
Il Etait Une Fois Nous Deux,French Hit Collection,Paul Mauriat And His Orchestra,202.6ø
Watch The Moon Come Down,The Vertigo Singles Collection,Graham Parker & The Rumour,318.4ø
The Heat In Harlem,You Can't Be Too Strong - An Introduction To Graham Parker,Graham Parker & The Rumour,418.9ø
I'm Gonna Tear Your Playhouse Down,You Can't Be Too Strong - An Introduction To Graham Parker,Graham Parker & The Rumour,208.9ø
Hold Back The Night,Heat Treatment,Graham Parker & The Rumour,181.4ø
What For,Chinese Restaurant,Chrisma,222.2ø
Wanderlust,Chinese Restaurant,Chrisma,133.9ø
Thank You,Chinese Restaurant,Chrisma,259.5ø
Mandoia,Chinese Restaurant,Chrisma,264.8ø
Lola,Chinese Restaurant,Chrisma,172.4ø
C.Rock,Chinese Restaurant,Chrisma,329.7ø
Black Silk Stocking,Chinese Restaurant,Chrisma,156.3ø
Vine Cruzando El Mar,Aeroblus,Aeroblus,163.2ø
Vamos A Buscar La Luz,Aeroblus,Aeroblus,233.8ø
Sofisticuatro,Aeroblus,Aeroblus,226.9ø
Nada Estoy Sabiendo,Aeroblus,Aeroblus,296.1ø
Completamente Nervioso,Aeroblus,Aeroblus,184.4ø
Buen Tiempo,Aeroblus,Aeroblus,193.9ø
Arboles Difusores,Aeroblus,Aeroblus,139.9ø
Aire En Movimiento,Aeroblus,Aeroblus,163.6ø
