Almost Hear You Sigh (1994 Digital Remaster),Steel Wheels,The Rolling Stones,277.3ø
My Way,Platinum - A Life In Music,Elvis Presley,229.9ø
Hang On In There,The Miracle,Queen,225.8ø
If,Hits From The Rat Pack,Dean Martin,168.4ø
This Will Make You Laugh,Nat King Cole Vol.1  Greatest Hits,Nat King Cole,196.1ø
She's Funny That Way,Big Band Cole,Nat King Cole,183.8ø
Little Joe From Chicago,Nat King Cole Vol.1  Greatest Hits,Nat King Cole,139.9ø
If You Can't Smile And Say Yes,Sweet Lorraine,Nat King Cole,164.6ø
I Like to Riff,Nat King Cole_ Vol. 2,Nat King Cole,167.1ø
Call The Police,Central Avenue Breakdown,Nat King Cole,191.6ø
Besame Mucho,Singles Collection,Nat King Cole,170.3ø
Headless,Original Album Classics,Joe Satriani,90.0ø
Flying In A Blue Dream,Flying In A Blue Dream,Joe Satriani,325.1ø
