Without You,The Essential,Eurogliders,247.2ø
We Don't Need Freedom,Paganicons,Saccharine Trust,86.6ø
Paralyzed,Harvest Of Dreams,Bobb Trimble,379.1ø
Oh Baby,Harvest Of Dreams,Bobb Trimble,118.6ø
If Words Were All I Had,Harvest Of Dreams,Bobb Trimble,267.2ø
Galilean Boy (Crippled Dog Band live),Harvest Of Dreams,Bobb Trimble,187.0ø
Armour of the Shroud,Harvest Of Dreams,Bobb Trimble,459.0ø
Another Lonely Angel,Harvest Of Dreams,Bobb Trimble,310.0ø
One Of The Boys,A Touch Of Class,The Ejected,116.1ø
I Don't Care,A Touch Of Class,The Ejected,134.7ø
Have You Got 10p?,A Touch Of Class,The Ejected,92.0ø
Fast 'n' Loud,A Touch Of Class,The Ejected,139.6ø
Class Of '82,A Touch Of Class,The Ejected,216.6ø
System 605,A Songwriter's Tale,Mike Batt,183.4ø
Love Makes You Crazy,A Songwriter's Tale,Mike Batt,260.6ø
The Friar In The Well,Out Of The Cut,Martin Carthy,229.4ø
Old Horse,Out Of The Cut,Martin Carthy,233.1ø
Jack Rowland,Out Of The Cut,Martin Carthy,525.8ø
So Much In Love,Playin' It Cool,Timothy B. Schmit,136.9ø
Key Largo,Captiva,Bertie Higgins,251.3ø
Wall To Wall,Taste The Music,Kleeer,205.2ø
Taste The Music,Taste The Music,Kleeer,446.3ø
Swann,Taste The Music,Kleeer,286.1ø
I've Had Enough [Can't Take Anymore],Taste The Music,Kleeer,297.9ø
I Shall Get Over,Taste The Music,Kleeer,384.4ø
Fella,Taste The Music,Kleeer,291.2ø
De Ting Continues,Taste The Music,Kleeer,259.4ø
Affirmative Mood,Taste The Music,Kleeer,234.3ø
Rock And Shock,Monster Rock,Screaming Lord Sutch,125.0ø
Penny Penny,Monster Rock,Screaming Lord Sutch,189.9ø
Murder In The Graveyard,Monster Rock,Screaming Lord Sutch,184.1ø
Monster Rock,Monster Rock,Screaming Lord Sutch,150.4ø
London Rocker,Monster Rock,Screaming Lord Sutch,141.8ø
Jack The Ripper,Murder In The Graveyard,Screaming Lord Sutch,412.3ø
All Black And Hairy,Murder In The Graveyard,Screaming Lord Sutch,201.0ø
Blow Up,Dils Dils Dils,The Dils,136.4ø
Dreaming,Riot City Records - The Punk Singles Collection,The Expelled,154.7ø
Blown Away,Riotous Assembly,The Expelled,127.9ø
Who's Gonna Love You (When You Are Old And Fat And Ugly)?,Der Kommissar,After The Fire,251.3ø
Sailing Ship,Der Kommissar,After The Fire,237.2ø
Rich Boys,Der Kommissar,After The Fire,181.2ø
Frozen Rivers,Der Kommissar,After The Fire,215.7ø
Der Kommissar,Der Kommissar,After The Fire,250.0ø
Dancing In The Shadows,Der Kommissar,After The Fire,193.2ø
Woman Don't Go Astray,Down Home,Z.Z. Hill,144.9ø
When Can We Do This Again,Down Home,Z.Z. Hill,258.6ø
Right Arm For Your Love,Z. Z. Hill Greatest Hits,Z.Z. Hill,212.7ø
Love Me,Down Home,Z.Z. Hill,228.8ø
Givin' It Up For Your Love,Down Home,Z.Z. Hill,197.9ø
Down Home Blues,Z. Z. Hill Greatest Hits,Z.Z. Hill,316.1ø
Dead Men Tell No Tales,Not So Quiet On The Western Front,No Alternative,123.1ø
"South Africa [12"" Bonus Trk]* ",Magic,Gillan,440.4ø
South Africa (Bonus Trk),Magic,Gillan,244.4ø
Smokestack Lightning (Bonus Trk) ,Magic,Gillan,248.2ø
Long Gone ,Magic,Gillan,237.5ø
Living For The City ,Unchain Your Brain: The Best Of Gillan,Gillan,269.0ø
Living A Lie ,Magic,Gillan,267.4ø
John (Bonus Trk),Magic,Gillan,284.8ø
Helter Skelter (Bonus Trk),Magic,Gillan,207.2ø
Fiji (Bonus Trk),Magic,Gillan,321.9ø
Driving Me Wild ,Magic,Gillan,181.3ø
Caught In A Trap ,Magic,Gillan,215.9ø
Breaking Chains (Bonus Trk),Magic,Gillan,209.1ø
All About You,Old Flames,Thomas Leer,226.2ø
Ritmo De Los Angeles (2000 Digital Remaster),Primitive Guitars,Phil Manzanera,187.9ø
Impossible Guitar (2000 Digital Remaster),Primitive Guitars,Phil Manzanera,350.1ø
Frontera (Instrumental Version) (2000 Digital Remaster),Primitive Guitars,Phil Manzanera,302.3ø
Criollo (French Remix) (2000 Digital Remaster),Primitive Guitars,Phil Manzanera,283.9ø
Criollo (2000 Digital Remaster),Primitive Guitars,Phil Manzanera,366.3ø
Caracas,Guitarissimo,Phil Manzanera,262.8ø
Uptown,Broken Fingers,Blaine L. Reininger,307.7ø
Playin' Your Game,Broken Fingers,Blaine L. Reininger,350.1ø
Nur Al Hajj (Tuxedomoon Live 26.2.1988),Broken Fingers,Blaine L Reininger,422.8ø
Nur Al Hajj,Broken Fingers,Blaine L. Reininger,261.5ø
Magnetic Life,Broken Fingers,Blaine L. Reininger,279.2ø
Les nuages,Broken Fingers,Blaine L. Reininger,98.7ø
Love Minus One,20th Century Masters: The Millennium Collection: Best of Ray_ Goodman & Brown,Ray_ Goodman & Brown,276.7ø
After All,20th Century Masters: The Millennium Collection: Best of Ray_ Goodman & Brown,Ray_ Goodman & Brown,223.2ø
Saanhan viimeisen tanssin,Ikkunaprinsessa,Rauli Badding Somerjoki,176.6ø
Paras haihtua vaan,Ikkunaprinsessa,Rauli Badding Somerjoki,150.6ø
Omista minut,Ikkunaprinsessa,Rauli Badding Somerjoki,165.0ø
Ikkunaprinsessa,Ikkunaprinsessa,Rauli Badding Somerjoki,156.3ø
Sombras Negras,Heroes de los 80. Sombras negras,Gabinete Caligari,128.6ø
Olor a carne quemada,Heroes de los 80. Sombras negras,Gabinete Caligari,221.4ø
Golpes,Los singles,Gabinete Caligari,155.8ø
Yur 2 Late,All By Myself,Rikk Agnew,218.5ø
Surfside,All By Myself,Rikk Agnew,244.1ø
Section 8,All By Myself,Rikk Agnew,446.6ø
One Shot,All By Myself,Rikk Agnew,186.1ø
It's Doing Something,All By Myself,Rikk Agnew,185.2ø
Fast,All By Myself,Rikk Agnew,85.0ø
Falling Out,All By Myself,Rikk Agnew,169.6ø
Everyday,All By Myself,Rikk Agnew,269.4ø
Stalker,And You Thought You Were Normal,Nash The Slash,318.4ø
Slag,And You Thought You Were Normal,Nash The Slash,34.7ø
R.S.V.P.,And You Thought You Were Normal,Nash The Slash,237.3ø
Pretty Folks,And You Thought You Were Normal,Nash The Slash,211.0ø
Normal,And You Thought You Were Normal,Nash The Slash,209.1ø
Lake Ontario Suit (Pt. 2),And You Thought You Were Normal,Nash The Slash,123.7ø
In Search Of Prey,And You Thought You Were Normal,Nash The Slash,134.5ø
Dance After Curfe (Club Mix),And You Thought You Were Normal,Nash The Slash,221.9ø
Crab Waltz,And You Thought You Were Normal,Nash The Slash,102.8ø
New Year's Eve,The Wacky Hi-Jinks of Adrenalin O.D.,Adrenalin O.D.,78.3ø
Tears Of Blood,The Sailor Story 1975- 1996,Hello Sailor,228.8ø
I'M A Texan,The Sailor Story 1975- 1996,Hello Sailor,267.8ø
Blue Lady,The Sailor Story 1975- 1996,Hello Sailor,233.9ø
Wasted,Demo's & Rarities,Threats,130.0ø
Go To Hell,Rondelet Records - Punk Singles Collection,Threats,118.2ø
Afghanistan,Demo's & Rarities,Threats,112.8ø
Silent Night,The Charlie Byrd Christmas Album,Charlie Byrd,103.2ø
O Christmas Tree,The Charlie Byrd Christmas Album,Charlie Byrd,119.1ø
Holly And The Ivy,The Charlie Byrd Christmas Album,Charlie Byrd,113.6ø
