The Greatest Man I Never Knew,Reba #1's,Reba McEntire,194.1ø
The Tailor And The Mouse,Burl Ives Sings Little White Duck And Other Children'S Favorites,Burl Ives,75.1ø
The Grey Goose,Fantastic Mr. Fox (Original Soundtrack),Burl Ives,168.3ø
Mother Goose Songs,A Twinkle In Your Eye,Burl Ives,362.9ø
Draggin' My Tail,Strictly The Blues,Eric Clapton | The Immediate All-Stars,190.5ø
This Old Man,Every Child Deserves A Lifetime - Songs From The For Our Children Series,Bob Dylan,186.4ø
Moon River,Reckoning (The I.R.S. Years Vintage 1984) (World),R.E.M.,141.1ø
(Don't Go Back To) Rockville (Reckoning),The Best Of R.E.M.,R.E.M.,271.8ø
Country Road,Eagle When She Flies,Dolly Parton,207.0ø
Eagle When She Flies,Songs Of Love & Heartache,Dolly Parton,190.4ø
The Goat,Burl Ives Sings Little White Duck And Other Children'S Favorites,Burl Ives,79.1ø
Restless Elephants,Green Card,Hans Zimmer,175.0ø
Instinct II,Green Card,Hans Zimmer,189.6ø
Instinct,Green Card,Hans Zimmer,213.1ø
When The Night Comes Down ( LP Version ),Unusual Heat,Foreigner,285.1ø
Unusual Heat ( LP Version ),Unusual Heat,Foreigner,272.6ø
Ready For The Rain (Album Version),Unusual Heat,Foreigner,303.4ø
Only Heaven Knows ( LP Version ),Unusual Heat,Foreigner,288.9ø
No Hiding Place ( LP Version ),Unusual Heat,Foreigner,237.4ø
Moment Of Truth ( LP Version ),Unusual Heat,Foreigner,266.2ø
I'll Fight For You,No End In Sight: The Very Best Of Foreigner,Foreigner,363.9ø
Fighting 17th,Backdraft,Hans Zimmer,264.3ø
Cafe Afrika,Green Card,Hans Zimmer,179.1ø
Brothers,Good Morning_ America!,Hans Zimmer,426.1ø
Tall Trees,Woodface,Crowded House,139.9ø
It's Only Natural,Recurring Dream - The Very Best Of Crowded House (International Only),Crowded House,212.6ø
How Will You Go (Contains Hidden Track 'I'm Still Here'),Woodface,Crowded House,285.7ø
As Sure As I Am,Woodface,Crowded House,173.5ø
Psalm 26,Uptown Ruler Soul Gestures In Southern Blue Vol. 2,Wynton Marsalis,88.9ø
Under The Suffer,Shadows Of The Past,Sentenced,317.9ø
True Confessions (Album Version),High Civilization,Bee Gees,314.2ø
Human Sacrifice (Album Version),High Civilization,Bee Gees,338.1ø
High Civilization (Album Version),High Civilization,Bee Gees,328.8ø
Happy Ever After (Album Version),High Civilization,Bee Gees,375.2ø
Dimensions (Album Version),High Civilization,Bee Gees,325.6ø
The World Keeps On Turning,Fleetwood Mac Live,Fleetwood Mac,242.2ø
Love Is Good With You,Put Me In Your Mix,Barry White,370.0ø
Let's Get Busy,Put Me In Your Mix,Barry White,284.0ø
Loving You,The Best of Stryper,Stryper,254.2ø
From Wrong To Right,The Best of Stryper,Stryper,230.2ø
You Love Us,GENERATION TERRORISTS,Manic Street Preachers,256.5ø
We Her Majesty's Prisoners,Lipstick Traces (A Secret History of Manic Street Preachers),Manic Street Preachers,322.8ø
Repeat,GENERATION TERRORISTS,Manic Street Preachers,189.7ø
If You Want My Love,The Best Of,Cheap Trick,210.3ø
Il quarto stato,Novecento - 1900 (Bande originale du film de Bernardo Bertolucci (1976)),Ennio Morricone,96.2ø
When Goodbye Was A Word,Hearts In Armor,Trisha Yearwood,188.3ø
Victim Of The Game,Trisha Yearwood,Trisha Yearwood,193.3ø
Like We Never Had A Broken Heart,Songbook: A Collection Of Hits,Trisha Yearwood,221.1ø
Lovable,Spotlight On Sam Cooke,Sam Cooke,146.8ø
I Don't Want To Cry,The Two Sides Of Sam Cooke,Sam Cooke,170.2ø
Any Day Now,Specialty Profiles: Sam Cooke & The Soul Stirrers,Sam Cooke,149.2ø
Lord Remember Me,You Send Me,Sam Cooke,179.9ø
Losing You,Classic Brenda Lee - The Universal Masters Collection,Brenda Lee,152.7ø
Hope And Pray,Keys Of The Kingdom,The Moody Blues,303.0ø
Celtic Sonant,Keys Of The Kingdom,The Moody Blues,302.1ø
Vomit the Soul,Butchered At Birth,Cannibal Corpse,268.2ø
Rancid Amputation,Butchered At Birth,Cannibal Corpse,195.0ø
Meathook Sodomy,Butchered At Birth,Cannibal Corpse,346.0ø
Innards Decay,Butchered At Birth,Cannibal Corpse,275.4ø
