Pongamos Que Hablo De Madrid,En Directo,Joaquin Sabina,250.4ø
Wait For The Blackout,Neat Neat Neat: The Alternative Anthology,The Damned,262.7ø
Twisted Nerve,The Black Album,The Damned,275.1ø
Therapy,The Black Album,The Damned,370.7ø
Love Song (Live),Live At Shepperton,The Damned,130.1ø
Follow Marcus Garvey,Best Of The Fittest,Burning Spear,264.3ø
African Teacher,Best Of The Fittest,Burning Spear,237.6ø
Where Did The Time Go,Special Things (With Bonus Track),The Pointer Sisters,186.5ø
He's So Shy,Best Of,The Pointer Sisters,215.8ø
Could I Be Dreamin',Fire! The Very Best of The Pointer Sisters,The Pointer Sisters,212.2ø
Tin Soldiers,The Story So Far,Stiff Little Fingers,287.5ø
Suspect Device (Live At Friars) (Explicit),Hanx!,Stiff Little Fingers,143.3ø
Nobody's Hero (Live At Friars),Hanx!,Stiff Little Fingers,243.7ø
Nobody's Hero,All The Best,Stiff Little Fingers,252.6ø
No Change,Back Against The Wall,Stiff Little Fingers,116.3ø
Fly The Flag,The Story So Far,Stiff Little Fingers,224.4ø
At the Edge,Live and Loud! / Fly the Flags,Stiff Little Fingers,278.4ø
Bijou Bijou,Live Tour '85,Alain Bashung,356.3ø
Operation,Live at the Fillmore 1982,Circle Jerks,88.3ø
When You Kisses Me,Classic - Joan Armatrading - The Universal Masters Collection,Joan Armatrading,197.9ø
I Need You,Me Myself I,Joan Armatrading,172.1ø
Tu,Aquarela Do Brasil,Gal Costa,224.3ø
Novo Amor,Aquarela Do Brasil,Gal Costa,141.4ø
No Tabuleiro Da Baiana,Aquarela Do Brasil,Gal Costa | Caetano Veloso,174.7ø
Folhas Mortas,Aquarela Do Brasil,Gal Costa,132.6ø
Faceira,Aquarela Do Brasil,Gal Costa,177.5ø
Camisa Amarela,Aquarela Do Brasil,Gal Costa,171.9ø
Landslide,Dexter Calling,Dexter Gordon,318.9ø
Blue Gardenia,The Very Best Of,Dexter Gordon,402.2ø
Warhead,Staffordshire Bull,UK Subs,262.3ø
Teenage,Demon Music UK Top 75 Hits Vol 3,UK Subs,157.3ø
Illegal 15,World War,UK Subs,67.5ø
Emotional Blackmail,Violent State,UK Subs,157.9ø
Sandstorm,The Early Tapes,Level 42,350.1ø
Mr. Pink,The Early Tapes,Level 42,321.9ø
Love Meeting Love,The Early Tapes,Level 42,382.9ø
Autumn (Paradise Is Free),Weave Your Spell: The Collection,Level 42,283.8ø
88,The Early Tapes / Level 42,Level 42,319.9ø
Paul Ist Tot,Monarchie Und Alltag,Fehlfarben,476.3ø
Hier Und Jetzt,Monarchie Und Alltag,Fehlfarben,165.7ø
Grauschleier,Live,Fehlfarben,165.3ø
Gottseidank Nicht In England,Live,Fehlfarben,165.9ø
Ein Jahr (Es Geht Voran),Monarchie Und Alltag,Fehlfarben,172.9ø
Das War Vor Jahren,Live,Fehlfarben,147.0ø
Das Sind Geschichten,Live,Fehlfarben,181.3ø
Apokalypse,Monarchie Und Alltag,Fehlfarben,191.8ø
Angst,Monarchie Und Alltag,Fehlfarben,138.4ø
All That Heaven Allows,Live,Fehlfarben,239.3ø
It's Alright,Early Years,Waylon Jennings and the Waylors,165.5ø
Stranded (Album Version),Chance,Manfred Mann's Earth Band,349.3ø
On The Run (Album Version),Chance,Manfred Mann's Earth Band,233.0ø
No Guarantee (Album Version),Chance,Manfred Mann's Earth Band,230.0ø
Lies (Through The 80's) (Album Version),Chance,Manfred Mann's Earth Band,276.6ø
Hello_ I Am Your Heart (Album Version),Chance,Manfred Mann's Earth Band,318.7ø
Heart On The Street (Album Version),Chance,Manfred Mann's Earth Band,296.0ø
Fritz The Blank (Album Version),Chance,Manfred Mann's Earth Band,171.8ø
For You (Album Version),Chance,Manfred Mann's Earth Band,340.5ø
Adolescent Dream (Album Version),Chance,Manfred Mann's Earth Band,162.5ø
Let's Play House,The Best Of Parliament: Give Up The Funk,Parliament,217.4ø
Agony Of DeFeet,Gold,Parliament,265.7ø
Two For The Road,Late Night Guitar,Earl Klugh,263.3ø
Triste,Late Night Guitar,Earl Klugh,125.4ø
Tenderly,Late Night Guitar,Earl Klugh,112.6ø
Sweet Rum And Starlight,Love Songs,Earl Klugh,244.8ø
Nice To Be Around (Nice To Have Around),Late Night Guitar,Earl Klugh,180.0ø
Mirabella,Late Night Guitar,Earl Klugh,168.0ø
Like A Lover,Love Songs,Earl Klugh,163.0ø
Laura,Late Night Guitar,Earl Klugh,104.6ø
Dream Come True,Ballads,Earl Klugh,216.5ø
Amazon,Best Of Earl Klugh,Earl Klugh,242.7ø
Try Your Love,The Longest Road,Seals and Crofts,257.7ø
Stars,The Longest Road,Seals and Crofts,358.8ø
Kite Dreams,The Longest Road,Seals and Crofts,230.1ø
If And Any Love,The Longest Road,Seals and Crofts,241.7ø
Rockin' In Rhythm,Night Passage,Weather Report,182.1ø
Port Of Entry,Night Passage,Weather Report,309.0ø
Night Passage,Night Passage,Weather Report,392.0ø
Forlorn,Night Passage,Weather Report,235.2ø
Fast City,Night Passage,Weather Report,377.3ø
Chant,Second Edition,Public Image Ltd,301.1ø
World Up My Ass,Group Sex,Circle Jerks,77.2ø
What's Your Problem,Group Sex,Circle Jerks,57.1ø
Wasted,Live at the Fillmore 1982,Circle Jerks,42.9ø
Paid Vacation,Group Sex,Circle Jerks,88.9ø
Live Fast Die Young,Group Sex,Circle Jerks,93.3ø
I Just Want Some Skank,Group Sex,Circle Jerks,69.5ø
Group Sex,Group Sex,Circle Jerks,63.5ø
Don't Care,Group Sex,Circle Jerks,35.5ø
Beverly Hills,Group Sex,Circle Jerks,66.1ø
Behind the Door,Group Sex,Circle Jerks,85.9ø
Back Against the Wall,Group Sex,Circle Jerks,95.2ø
Hymn,G. I. Gurdjieff: Sacred Hymns,Keith Jarrett,150.6ø
I Still Believe In Anarchy,Oi! The Album,The Exploited,121.4ø
Fuck The Mods,Singles & Rarities 1980-1983,Exploited,120.3ø
Crashed Out,Live And Loud,Exploited,154.9ø
Uomo Sex Al Apache,Wild In The U.S.A.,Bow Wow Wow,216.7ø
Sun Sea And Piracy,Girl Bites Dog_ Your Digital Pet,Bow Wow Wow,177.9ø
Sexy Eiffel Towers,Wild In The USA,Bow Wow Wow,156.1ø
Louis Quatorze,The Best Of Bow Wow Wow,Bow Wow Wow,169.6ø
I Want My Baby On Mars,Girl Bites Dog_ Your Compact Disc Pet,Bow Wow Wow,145.3ø
