Daydreamer (album),19,Adele,220.5ø
This Land Is Your Land,Johnny Cash's America,Johnny Cash,172.5ø
Things Ain't Like They Used To Be,Attack & Release,The Black Keys,276.4ø
Strange Times,Give Me Some Rock'n'roll,The Black Keys,189.4ø
Something On My MInd,Strange Times,The Black Keys,221.8ø
So She Won't Break,Attack & Release,The Black Keys,254.3ø
Same Old Thing,Attack & Release,The Black Keys,189.3ø
Remember When (Side B),Attack & Release,The Black Keys,131.0ø
Remember When (Side A),Attack & Release,The Black Keys,201.5ø
Lies,Attack & Release,The Black Keys,239.0ø
I Got Mine,Attack & Release,The Black Keys,239.1ø
All You Ever Wanted,Attack & Release,The Black Keys,176.2ø
Little T&A,Shine A Light,The Rolling Stones,249.4ø
Digital Girl,Intuition,Jamie Foxx featuring Kanye West & The-Dream,287.3ø
Singing In Vietnam Talking Blues,Johnny Cash's America,Johnny Cash,177.5ø
August Moon,Between The Lines: Sara Bareilles Live At The Fillmore,Sara Bareilles,240.2ø
Yours To Hold (Comes Alive Version),Comatose Comes Alive,Skillet,225.8ø
The Older I Get (Comes Alive Version),Comatose Comes Alive,Skillet,228.8ø
You Are What You Are (Beautiful),Keeps Gettin' Better: A Decade of Hits,Christina Aguilera,284.0ø
Keeps Gettin' Better ,Dance Nation,Christina Aguilera,315.6ø
Keeps Gettin' Better,Keeps Gettin' Better,Christina Aguilera,181.5ø
Genie 2.0,Keeps Gettin' Better: A Decade of Hits,Christina Aguilera,255.1ø
Dynamite,Keeps Gettin' Better: A Decade of Hits,Christina Aguilera,189.4ø
We Got It Going On,Lost Highway: Special Edition,Bon Jovi,263.3ø
Till We Ain't Strangers Anymore,Lost Highway,Bon Jovi,318.1ø
We Cry,We Cry,The Script,317.2ø
The Man Who Can't Be Moved ,Dance Nation,The Script,219.8ø
The Man Who Can't Be Moved,The Script,The Script,241.4ø
The End Where I Begin,The Script,The Script,214.0ø
Lose Yourself,Live Lounge 3,The Script,251.5ø
Fall for Anything,We Cry,The Script,276.6ø
Breakeven,Dance Nation Vol. 2,The Script,241.6ø
Before The Worst,Before The Worst,The Script,184.8ø
This I Love,Chinese Democracy,Guns N' Roses,334.3ø
There Was A Time,Chinese Democracy,Guns N' Roses,400.7ø
Street Of Dreams,Chinese Democracy,Guns N' Roses,286.3ø
Sorry,Chinese Democracy,Guns N' Roses,374.2ø
Shackler's Revenge,Chinese Democracy,Guns N' Roses,216.6ø
Prostitute,Chinese Democracy,Guns N' Roses,375.7ø
Madagascar,Chinese Democracy,Guns N' Roses,337.9ø
I.R.S.,Chinese Democracy,Guns N' Roses,267.9ø
Chinese Democracy,Chinese Democracy,Guns N' Roses,283.2ø
Catcher In The Rye,Chinese Democracy,Guns N' Roses,353.0ø
Stuck In the Middle,My Own Way,Jay Sean,218.0ø
Stay,My Own Way,Jay Sean,219.0ø
Runaway,My Own Way,Jay Sean,227.4ø
