There Won't Be Anymore,Very Special Love Songs,Charlie Rich,150.1ø
Little Girl,It Only Takes a Minute: A Lifetime with Tavares,Tavares,353.1ø
Check It Out,Bad Times - Tavares Live,Tavares,166.6ø
Le Service Militaire,Si Tu T'Appelles Melancolie,Joe Dassin,146.5ø
L'Amour Etc...,Si Tu T'Appelles Melancolie,Joe Dassin,157.4ø
Tercer Mundo,Dois Momentos,Secos And Molhados,158.0ø
Preto Velho,Dois Momentos,Secos And Molhados,63.5ø
Oh! Mulher Infiel,Dois Momentos,Secos And Molhados,92.6ø
O Hierofante,Dois Momentos,Secos And Molhados,137.3ø
O Doce E O Amargo,Dois Momentos,Secos And Molhados,114.5ø
Medo Mulato,Dois Momentos,Secos And Molhados,140.9ø
Flores Astrais,Warner 30 Anos,Secos And Molhados,228.4ø
Wildfire (LP Version),Miami,James Gang,210.3ø
Sleepwalker  (LP Version),Miami,James Gang,241.3ø
Praylude/Red Skies (LP Version),Miami,James Gang,360.0ø
Do It (The Way You Do It)  (LP Version),Miami,James Gang,221.4ø
I've Been Wanting You So Long,Free And Easy,Helen Reddy,221.3ø
Emotion,Free And Easy,Helen Reddy,254.5ø
Angie Baby,Feel So Young,Helen Reddy,240.2ø
Valley Of The Shadows,One,Bob James,582.0ø
Nautilus,The Essential Collection,Bob James,308.1ø
In The Garden,One,Bob James,189.0ø
This World Is Not My Home,All The Classic Releases 1937 - 1949,Bill Monroe and His Bluegrass Boys,200.4ø
Zumbi,Favourites: From Samba Esquema Novo 1963 To Africa Brasil 1976,Jorge Ben,211.7ø
The Fool And Me (2007 Digital Remaster),Bridge Of Sighs,Robin Trower,235.5ø
Little Bit Of Sympathy (2007 Digital Remaster),Bridge Of Sighs,Robin Trower,259.5ø
Day Of The Eagle,Sweden Rock Festival - Best Of 2005-2006 Vol.3,Robin Trower,287.1ø
Midnight At The Oasis,Karaoke: 70's Lovin' - Singing to the Hits,Maria Muldaur,211.7ø
It Ain't The Meat It's The Motion,The L Word: Season 3,Maria Muldaur,180.9ø
I'm A Woman,Mother's Golden Memories,Maria Muldaur,236.9ø
You Could Break My Heart,On Stage,Loggins & Messina,185.6ø
Move On,Mother Lode,Loggins & Messina,449.9ø
Lately My Love,Mother Lode,Loggins & Messina,212.4ø
Keep Me In Mind,Mother Lode,Loggins & Messina,218.2ø
Get A Hold,Mother Lode,Loggins & Messina,218.1ø
Changes,The Best: Loggins & Messina Sittin' In Again,Loggins & Messina,228.2ø
Be Free,Mother Lode,Loggins & Messina,421.7ø
Another Road,On Stage,Loggins & Messina,143.0ø
Space Children,Nightbirds,LaBelle,182.4ø
Somebody Somewhere,Nightbirds,LaBelle,204.8ø
Nightbird,Nightbirds,LaBelle,189.8ø
