Not Coming Home,Songs About Jane,Maroon 5,261.2ø
The Big Payback,The Essential Bruce Springsteen,Bruce Springsteen,117.5ø
None But The Brave,The Essential Bruce Springsteen,Bruce Springsteen,336.9ø
From Small Things (Big Things One Day Come),The Essential Bruce Springsteen,Bruce Springsteen,160.4ø
Smile Like You Mean It,Hot Fuss,The Killers,455.4ø
On Top,Hot Fuss,The Killers,258.9ø
You Don't Know My Name,Unplugged,Alicia Keys,215.8ø
If I Ain't Got You,Unplugged,Alicia Keys,246.0ø
Heartburn,The Diary Of Alicia Keys,Alicia Keys,208.0ø
Mr. Brightside,All These Things That I've Done,The Killers,501.7ø
Some How Some Way,Blueprint 2.1,Jay-Z | Beanie Sigel | Scarface,335.8ø
Public Service Announcement (Interlude),The Black Album,Jay-Z,173.1ø
Moment Of Clarity,The Black Album,Jay-Z,264.1ø
Dirt Off Your Shoulder,The Black Album,Jay-Z,227.1ø
99 Problems,The Black Album,Jay-Z,234.7ø
Wasted Time,Youth And Young Manhood,Kings Of Leon,165.5ø
Spiral Staircase,Youth And Young Manhood,Kings Of Leon,174.6ø
Red Morning Light,Youth And Young Manhood,Kings Of Leon,179.4ø
The Conspiracy (Freestyle),Business,Eminem,172.1ø
Superman,The Eminem Show,Eminem | Dina Rae,350.1ø
Somewhere I Belong (Live in Texas),Live In Texas,Linkin Park,217.8ø
Runaway (Live In Texas),Live In Texas,Linkin Park,187.6ø
Points Of Authority (Live In Texas),Live In Texas,Linkin Park,205.1ø
Papercut (Live In Texas),Live In Texas,Linkin Park,186.1ø
One Step Closer (Live In Texas),Live In Texas,Linkin Park,253.1ø
Numb (Live In Texas),Live In Texas,Linkin Park,186.8ø
Nobody's Listening (Album Version),Meteora,Linkin Park,178.9ø
Lying From You [Live LP Underground Tour 2003],Meteora,Linkin Park,184.5ø
Lying From You (Live In Texas),Live In Texas,Linkin Park,187.5ø
Lying From You (Album Version),Meteora,Linkin Park,175.0ø
In The End (Live In Texas),Live In Texas,Linkin Park,211.7ø
From The Inside [Live LP Underground Tour 2003],Meteora,Linkin Park,176.0ø
Figure.09 (Album Version),Meteora,Linkin Park,197.5ø
Faint (Live In Texas),Live In Texas,Linkin Park,166.3ø
Easier To Run [Live LP Underground Tour 2003],Meteora,Linkin Park,202.5ø
Easier To Run (Album Version),Meteora,Linkin Park,204.2ø
Don't Say (Album Version),Meteora,Linkin Park,187.9ø
Crawling (Live In Texas),Live In Texas,Linkin Park,213.9ø
Breaking The Habit (Album Version),Meteora,Linkin Park,196.1ø
Iz U,Iz U,Nelly,263.3ø
If,Da Derrty Versions: The Re-invention,Nelly,198.8ø
Boy (I Need You),Boy (I Need You),Mariah Carey | Cam'Ron | Juelz Santana | Jimmy Jones | Freeway,331.1ø
What More Can I Say,The Black Album,Jay-Z,265.3ø
Threat,The Black Album,Jay-Z,245.7ø
My 1st Song,My 1st Song,Jay-Z,266.8ø
Coming Of Age,Vol. 2 Hard Knock Life,Jay-Z featuring Memphis Bleek,261.4ø
Change Clothes,R&B Love Collection Summer 2009,Jay-Z,259.1ø
The Unnamed Feeling (Explicit Version),St. Anger,Metallica,427.9ø
Some Kind Of Monster,St. Anger,Metallica,505.5ø
My World (Explicit Version),St. Anger,Metallica,345.5ø
Dirty Window,St. Anger,Metallica,324.9ø
See You At The Show (Album Version),The Long Road,Nickelback,244.1ø
Believe It Or Not (Album Version),The Long Road,Nickelback,248.0ø
Another Hole In The Head (Album Version),The Long Road,Nickelback,215.5ø
Wake Up,The Diary Of Alicia Keys,Alicia Keys,267.1ø
Slow Down,The Diary Of Alicia Keys,Alicia Keys,258.4ø
Nobody Not Really (Interlude),The Diary Of Alicia Keys,Alicia Keys,176.7ø
Karma,The Diary Of Alicia Keys,Alicia Keys,256.0ø
Harlem's Nocturne,The Diary Of Alicia Keys,Alicia Keys,103.9ø
Feeling U_ Feeling Me (Interlude),The Diary Of Alicia Keys,Alicia Keys,127.9ø
Allure,The Black Album,Jay-Z,290.5ø
Tourniquet,Fallen,Evanescence,277.9ø
My Immortal (Album Version),Fallen,Evanescence,263.8ø
Hello,Fallen,Evanescence,220.2ø
Everybody's Fool,Fallen,Evanescence,195.5ø
Bring Me To Life,Fallen,Evanescence,237.1ø
