Prime Time,The Best Of Don McLean,Don McLean,299.0ø
They Can't Take That Away From Me,Lover Man,Charlie Parker,199.5ø
Easy To Love,Jazz Big Band Collection Vol.2,Charlie Parker,132.6ø
Tonight At Noon,This Is The Modern World,The Jam,181.0ø
The Modern World,The Jam Story,The Jam,150.6ø
Sounds From The Street,In The City,The Jam,193.0ø
London Traffic,This Is The Modern World,The Jam,109.1ø
In The City,Dig The New Breed,The Jam,137.7ø
Don't Tell Them You're Sane,This Is The Modern World,The Jam,220.6ø
Carnaby Street,Direction Reaction Creation,The Jam,145.0ø
Bricks And Mortar,The Jam At The BBC,The Jam,95.7ø
Batman Theme,In The City,The Jam,89.4ø
Away From The Numbers,Live Jam,The Jam,209.7ø
Art School,In The City,The Jam,121.1ø
All Around The World,Compact Snap!,The Jam,144.0ø
Prelude [Little One],Chicago XI,Chicago,52.2ø
Time To Get It Together,Got To Give It Up - The Funk Collection,Marvin Gaye,233.0ø
Standards,Dig The New Breed,The Jam,149.8ø
Serpentine Fire,The Best Of Earth_ Wind & Fire-Vol. II,Earth_ Wind & Fire,229.0ø
Got To Get You Into My Life,Super Hits,Earth_ Wind & Fire,249.4ø
Be Ever Wonderful,Original Album Classics,Earth_ Wind & Fire,308.5ø
The Whale,Flashback,Electric Light Orchestra,305.1ø
Steppin' Out,Out Of The Blue,Electric Light Orchestra,280.5ø
Mr. Blue Sky,Electric Light Orchestra II,Electric Light Orchestra,301.7ø
It's Over,Out Of The Blue,Electric Light Orchestra,248.9ø
Birmingham Blues,Out Of The Blue,Electric Light Orchestra,263.7ø
Denis,Atomic: The Very Best Of Blondie,Blondie,138.7ø
You're Made That Way (LP Version),Livin' On The Fault Line,The Doobie Brothers,216.9ø
You Belong To Me (LP Version),Livin' On The Fault Line,The Doobie Brothers,186.5ø
There's A Light (LP Version),Livin' On The Fault Line,The Doobie Brothers,254.5ø
Nothin' But A Heartache (LP Version),Livin' On The Fault Line,The Doobie Brothers,191.2ø
Livin' On The Fault Line (LP Version),Livin' On The Fault Line,The Doobie Brothers,288.9ø
Larry The Logger Two-Step (LP Version),Livin' On The Fault Line,The Doobie Brothers,78.2ø
Sweet Talkin' Woman,Out Of The Blue,Electric Light Orchestra,229.9ø
Sweet Is The Night,Out Of The Blue,Electric Light Orchestra,207.9ø
Standin' In The Rain,Out Of The Blue,Electric Light Orchestra,239.9ø
Night In The City,Out Of The Blue,Electric Light Orchestra,243.9ø
Jungle,Out Of The Blue,Electric Light Orchestra,233.3ø
Across The Border,Out Of The Blue,Electric Light Orchestra,233.8ø
Summer And Lightning,Out Of The Blue,Electric Light Orchestra,255.0ø
It Fills You Up,A Night In San Francisco,Van Morrison,283.1ø
It Amazes Me,The Essential John Denver,John Denver,157.2ø
I Want To Live,Take Me Home,John Denver,226.7ø
I Feel Love,Lost And Found: Disco Volume 1,Donna Summer,494.5ø
Fairy Tale High,Live And More,Donna Summer,140.3ø
Back In Love Again,I Remember Yesterday,Donna Summer,235.7ø
Full Moon Boogie,Jeff Beck With The Jan Hammer Group Live,Jeff Beck,369.0ø
Earth(Still Our Only Home),Jeff Beck With The Jan Hammer Group Live,Jeff Beck,276.5ø
Repetition,Charlie Parker With Strings,Charlie Parker,195.3ø
Laura,No Noise Vol. 4,Charlie Parker,172.1ø
East of the Sun,Charlie Parker_ Vol. 3 (Bird's Treasure),Charlie Parker,220.4ø
William Tell Overture,The Mike Oldfield Collection,Mike Oldfield,233.6ø
That Woman's Gonna Break Your Heart,Bad Reputation,Thin Lizzy,211.5ø
Dear Lord,Bad Reputation,Thin Lizzy,270.1ø
Soldier Of Fortune,Bad Reputation,Thin Lizzy,319.8ø
Opium Trail,Bad Reputation,Thin Lizzy,241.2ø
Spiral,Spiral,Vangelis,417.9ø
Break It Down,Short Eyes - Original Motion Picture Soundtrack,Curtis Mayfield,260.7ø
The Tenth World  (LP Version),Don Juan's Reckless Daughter,Joni Mitchell,405.3ø
The Silky Veils Of Ardor (LP Version),Don Juan's Reckless Daughter,Joni Mitchell,241.1ø
Otis And Marlena (LP Version),Don Juan's Reckless Daughter,Joni Mitchell,249.3ø
Dreamland (LP Version),Don Juan's Reckless Daughter,Joni Mitchell,279.5ø
The Spider,Point Of Know Return,Kansas,125.4ø
Sparks Of The Tempest,Original Album Classics,Kansas,316.5ø
Portrait (He Knew),Point Of Know Return,Kansas,291.1ø
Point Of Know Return,Point Of Know Return,Kansas,192.8ø
Paradox,Two For The Show,Kansas,246.1ø
Nobody's Home,Point Of Know Return,Kansas,283.6ø
Dust In The Wind,There's Know Place Like Home,Kansas,262.0ø
Closet Chronicles,Two For The Show (30th Anniversary Edition),Kansas,415.5ø
With A Little Help From My Friends (Edit) (Live),Greatest Hits,Joe Cocker,355.7ø
Let The Healing Begin (Radio Edit),Greatest Hits,Joe Cocker,255.0ø
High Time We Went,The Anthology,Joe Cocker,270.8ø
Sweet Jane,Walk On The Wild Side - The Best Of Lou Reed,Lou Reed,269.3ø
Hopelessly Human,Point Of Know Return,Kansas,428.3ø
Ballad,3 Originals,Vangelis,508.1ø
3 + 3,3 Originals,Vangelis,575.6ø
Child For A Day,On The Road To Find Out (Repackaged),Cat Stevens,264.9ø
(Remember The Days Of The) Old Schoolyard,Remember Cat Stevens - The Ultimate Collection (Ecopac),Cat Stevens,163.2ø
(I Never Wanted) To Be A Star,On The Road To Find Out (Repackaged),Cat Stevens,184.5ø
If You Could See Me Now,You Can't Go Home Again,Chet Baker,285.8ø
Lightning's Hand,Original Album Classics,Kansas,264.4ø
Caras E Bocas,Divino Maravilhoso - Gal Costa Interpreta Caetano Veloso,Gal Costa,246.5ø
The Best Thing For You,Two A Day,Chet Baker,491.6ø
Tired Of Tryin',Nothin' But The Blues,Johnny Winter,220.8ø
It Was Rainin',Nothin' But The Blues,Johnny Winter,303.1ø
Rigor Mortis,Anthology,Cameo,324.4ø
Post Mortem,Gold,Cameo,260.2ø
