Grocery Soldier,Recital,Lee Michaels,148.0ø
Why Am I Lovin' You,The Complete Introduction To Northern Soul,Debbie Dean,164.3ø
Somebody Keeps Calling My Name,Baby Grandmothers,Baby Grandmothers,554.2ø
Being Is More Than Life,Baby Grandmothers,Baby Grandmothers,340.8ø
What's the Point of Leaving,Elmer Gantry's Velvet Opera,Elmer Gantry's Velvet Opera,130.0ø
Walter Sly Meets Bill Bailey,Elmer Gantry's Velvet Opera,Elmer Gantry's Velvet Opera,188.7ø
Volcano,Elmer Gantry's Velvet Opera,Elmer Gantry's Velvet Opera,156.4ø
Reactions of a Young Man,Elmer Gantry's Velvet Opera,Elmer Gantry's Velvet Opera,158.6ø
Mother Writes,Elmer Gantry's Velvet Opera,Elmer Gantry's Velvet Opera,125.3ø
Mary Jane,Elmer Gantry's Velvet Opera,Elmer Gantry's Velvet Opera,145.3ø
Lookin' for a Happy Life,Elmer Gantry's Velvet Opera,Elmer Gantry's Velvet Opera,180.7ø
Long Nights of Summer,Elmer Gantry's Velvet Opera,Elmer Gantry's Velvet Opera,155.5ø
Intro,Elmer Gantry's Velvet Opera,Elmer Gantry's Velvet Opera,60.0ø
I Was Cool,Elmer Gantry's Velvet Opera,Elmer Gantry's Velvet Opera,177.9ø
Flames,Elmer Gantry's Velvet Opera,Elmer Gantry's Velvet Opera,191.1ø
Dream Starts,Elmer Gantry's Velvet Opera,Elmer Gantry's Velvet Opera,180.0ø
A Quick B,Elmer Gantry's Velvet Opera,Elmer Gantry's Velvet Opera,180.8ø
Try A Little Tenderness,The Motown Anthology,Bobby Taylor | The Vancouvers,175.8ø
Malinda,The Motown Anthology,Bobby Taylor | The Vancouvers,165.4ø
It's Growing,Big Hits & Hard To Find Classics,Bobby Taylor & The Vancouvers,176.1ø
If You Love Her,The Motown Anthology,Bobby Taylor | The Vancouvers,156.8ø
I Am Your Man,The Motown Anthology,Bobby Taylor | The Vancouvers,209.4ø
Fading Away,The Motown Anthology,Bobby Taylor | The Vancouvers,171.0ø
