Henry Lee,Murder_ Theft and Devilish Deals,Dick Justice,205.5ø
Lovely (Everything's Lovely Street Edit),Blood_ Sweat & Tears,Raw Breed,250.3ø
The Wizard,Kill The Moonlight: The Motion Picture Soundtrack,The Powder Monkeys,255.9ø
You Go To My Head,Louis Armstrong Meets Oscar Peterson,Louis Armstrong & Oscar Peterson,385.7ø
There's No You,Louis Armstrong Meets Oscar Peterson,Louis Armstrong & Oscar Peterson,138.1ø
Blues In The Night,Louis Armstrong Meets Oscar Peterson,Louis Armstrong & Oscar Peterson,313.6ø
You're Gonna Get Your Way,This Little Girl's Gone Rockin',Glenda Collins,200.7ø
Yeah Yeah Yeah,This Little Girl's Gone Rockin',Glenda Collins,88.5ø
This Little Girl's Gone Rockin',This Little Girl's Gone Rockin',Glenda Collins,108.6ø
Something I Got To Tell You,This Little Girl's Gone Rockin',Glenda Collins,165.6ø
Sing C'est La Vie,This Little Girl's Gone Rockin',Glenda Collins,152.3ø
Self Portrait,This Little Girl's Gone Rockin',Glenda Collins,209.4ø
Run To Me,This Little Girl's Gone Rockin',Glenda Collins,151.9ø
Paradise For Two,This Little Girl's Gone Rockin',Glenda Collins,118.9ø
Oh How I Miss You Tonight,This Little Girl's Gone Rockin',Glenda Collins,170.1ø
Nice_ Wasn't It,This Little Girl's Gone Rockin',Glenda Collins,153.6ø
My Heart Didn't Lie,This Little Girl's Gone Rockin',Glenda Collins,137.3ø
Lollipop,Meeks-Ville (Joe Meek Produces),Glenda Collins,138.9ø
Johnny Love Me,This Little Girl's Gone Rockin',Glenda Collins,162.4ø
In The First Place,This Little Girl's Gone Rockin',Glenda Collins,136.2ø
I Lost My Heart At The Fairground,This Little Girl's Gone Rockin',Glenda Collins,157.6ø
I Feel So Good,This Little Girl's Gone Rockin',Glenda Collins,113.3ø
Head Over Heels In Love,This Little Girl's Gone Rockin',Glenda Collins,106.4ø
Find Another Fool,This Little Girl's Gone Rockin',Glenda Collins,159.8ø
Everybody's Got To Fall In Love,This Little Girl's Gone Rockin',Glenda Collins,87.1ø
Crazy Guy,This Little Girl's Gone Rockin',Glenda Collins,145.0ø
