Crow Jane,The Folkways Years_ 1944-1963,Sonny Terry,122.3ø
Sitting Up Pretty,The Shadow Knows + Live In Berlin,Roger Chapman,280.6ø
Ready To Roll,The Shadow Knows + Live In Berlin,Roger Chapman,352.3ø
I'm A Good Boy Now,The Shadow Knows + Live In Berlin,Roger Chapman,174.3ø
I Think Of You Now,The Shadow Knows + Live In Berlin,Roger Chapman,313.1ø
How How How,The Shadow Knows + Live In Berlin,Roger Chapman,341.2ø
Someone,The Essential,Eurogliders,208.7ø
Never Say,The Essential,Eurogliders,217.7ø
Another Day In The Big World,The Essential,Eurogliders,265.7ø
Young At Heart,The Singles Collection,The Bluebells,328.2ø
Will She Always Be Waiting,The Singles Collection,The Bluebells,259.5ø
The Patriot Game,The Singles Collection,The Bluebells,247.1ø
I'm Falling,The Singles Collection,The Bluebells,322.0ø
Everybody's Somebody's Fool,The Singles Collection,The Bluebells,149.1ø
Cath,The Singles Collection,The Bluebells,230.5ø
You Can Feel The Groove,Classic Masters,T-Connection,300.1ø
Take It To The Limit,Classic Masters,T-Connection,273.3ø
Warlord,Walpurgis Night,STORMWITCH,266.5ø
Walpurgis Night,Walpurgis Night,STORMWITCH,180.3ø
Thunderland,Walpurgis Night,STORMWITCH,270.2ø
Priest Of Evil,Walpurgis Night,STORMWITCH,276.8ø
Flour In The Wind,Walpurgis Night,STORMWITCH,285.7ø
Excalibur,Walpurgis Night,STORMWITCH,224.7ø
Cave of Steenfoll,Walpurgis Night,STORMWITCH,187.8ø
I Had a Dream,State of Our Reunion,The Long Ryders,245.4ø
Olha O Fado,Por Este Rio Acima,Fausto,221.4ø
O Romance De Diogo Soares,Por Este Rio Acima,Fausto,335.1ø
Lembra-Me Um Sonho Lindo,Por Este Rio Acima,Fausto,388.5ø
Como Um Sonho Acordado,Por Este Rio Acima,Fausto,362.9ø
Waltz,Echoes,Wally Badarou,225.0ø
Voices,Echoes,Wally Badarou,199.9ø
Mambo,Echoes,Wally Badarou,295.1ø
Keys,Echoes,Wally Badarou,149.0ø
Jungle,Echoes,Wally Badarou,294.2ø
Hi-Life,Echoes,Wally Badarou,277.8ø
Endless Race,Echoes,Wally Badarou,231.9ø
Chief Inspector,Echoes,Wally Badarou,193.2ø
Canyons,Echoes,Wally Badarou,206.0ø
What I Like Most About You Is Your Girlfriend (2002 Digital Remaster),In The Studio,The Special AKA,290.2ø
War Crimes (The Crime Remains The Same) (2002 Digital Remaster),In The Studio,The Special AKA,373.5ø
The Lonely Crowd (2002 Digital Remaster),In The Studio,The Special AKA,232.0ø
Racist Friend (2002 Digital Remaster),In The Studio,The Special AKA,229.1ø
Racist Friend,The Singles,The Special AKA,225.0ø
Nite On The Tiles (2002 Digital Remaster),In The Studio,The Special AKA,183.8ø
Nelson Mandela (2002 Digital Remaster),In The Studio,The Special AKA,247.4ø
Nelson Mandela,The Singles,The Special AKA,273.2ø
Housebound (2002 Digital Remaster),In The Studio,The Special AKA,252.7ø
Bright Lights (2002 Digital Remaster),In The Studio,The Special AKA,251.5ø
Break Down The Door (2002 Digital Remaster),In The Studio,The Special AKA,214.3ø
Break Down The Door,Stereo-Typical,The Special AKA,227.9ø
Alcohol (2002 Digital Remaster),In The Studio,The Special AKA,300.9ø
Little Girl Blue,The Richard Rodgers Album With Lorenz Hart,Margaret Whiting,194.3ø
Hit You Hard,Grown Up Wrong,The Real Kids,155.4ø
Helpless Heart,The Paul Brady Songbook,Paul Brady,273.7ø
Crazy Dreams,The Paul Brady Songbook,Paul Brady,326.5ø
SHE'S GONNA WIN YOUR HEART,LIVE IN CONCERT,Eddy Raven,246.5ø
I GOT MEXICO,LIVE IN CONCERT,Eddy Raven,149.4ø
I COULD USE ANOTHER YOU,LIVE IN CONCERT,Eddy Raven,223.3ø
Tonight I'm Gonna Rock You Tonight,Back From the Dead,Spinal Tap,162.1ø
Stonehenge,Back From the Dead,Spinal Tap,270.6ø
Sex Farm,This Is Spinal Tap,Spinal Tap,200.9ø
Rock And Roll Creation,This Is Spinal Tap,Spinal Tap,247.1ø
Hell Hole,This Is Spinal Tap,Spinal Tap,187.6ø
Gimme Some Money,Back From the Dead,Spinal Tap,153.3ø
Cups and Cakes,Back From the Dead,Spinal Tap,100.0ø
Big Bottom,This Is Spinal Tap,Spinal Tap,212.3ø
(Listen To The) Flower People,This Is Spinal Tap,Spinal Tap,155.5ø
Prisoners,Beyond The Sunset,Rain Parade,206.7ø
No Easy Way Down,Beyond The Sunset,Rain Parade,394.1ø
Blue,Beyond The Sunset,Rain Parade,153.6ø
You Did It Again,Intimate Connection,Kleeer,271.1ø
Tonight,Intimate Connection,Kleeer,310.7ø
Ride It,Intimate Connection,Kleeer,340.0ø
Next Time It's For Real,Intimate Connection,Kleeer,324.1ø
Intimate Connection,Intimate Connection,Kleeer,286.0ø
Go For It,Intimate Connection,Kleeer,305.4ø
Do You Want To?,Intimate Connection,Kleeer,262.9ø
Break,Intimate Connection,Kleeer,302.7ø
Warlords,Complete Decry 82-86,Decry,136.1ø
Ludmila,Elija Y Gane,Spinetta Jade,228.6ø
Camafeo,Elija Y Gane,Spinetta Jade,232.9ø
WOMAN,Chinese Wall,Philip Bailey,306.2ø
Walking On The Chinese Wall,Chinese Wall,Philip Bailey,308.8ø
TIME IS A WOMAN,Chinese Wall,Philip Bailey,272.5ø
Show You The Way To Love,Chinese Wall,Philip Bailey,281.7ø
PHOTOGENIC MEMORY,Chinese Wall,Philip Bailey,328.1ø
GO,Chinese Wall,Philip Bailey,271.1ø
FOR EVERY HEART THAT'S BEEN BROKEN,Chinese Wall,Philip Bailey,254.5ø
Children Of The Ghetto,Chinese Wall,Philip Bailey,409.8ø
Two Silhouettes,Russ Ballard,Russ Ballard,259.2ø
Playing With Fire,Russ Ballard,Russ Ballard,309.2ø
In The Night,Russ Ballard,Russ Ballard,250.0ø
I Can't Hear You No More,Russ Ballard,Russ Ballard,352.2ø
Day To Day,Russ Ballard,Russ Ballard,233.2ø
A Woman Like You,Russ Ballard,Russ Ballard,266.3ø
Happy Children,Happy Children 2K,P.Lion,360.7ø
Viejos Pateticos,P.E.A.C.E / War,Los Violadores,95.8ø
Night Air,Brussels/USA: The Best of Blaine L. Reininger_ Vol. 1,Blaine L. Reininger,239.3ø
Mystery and Confusion,Brussels/USA: The Best of Blaine L. Reininger_ Vol. 1,Blaine L. Reininger,241.3ø
Intermission,Night Air,Blaine L. Reininger,127.9ø
El mensajero divino,Brussels/USA: The Best of Blaine L. Reininger_ Vol. 1,Blaine L. Reininger,337.3ø
Crash (45 Version),Night Air,Blaine L. Reininger,329.4ø
Beak People,Night Air,Blaine L. Reininger,286.5ø
You Gotta Go,Shocking Shades Of Claw Boys Claw,Claw Boys Claw,147.5ø
Wankin Fun,Shocking Shades Of Claw Boys Claw,Claw Boys Claw,184.3ø
Venus,Shocking Shades Of Claw Boys Claw,Claw Boys Claw,204.8ø
Understanding Her,Shocking Shades Of Claw Boys Claw,Claw Boys Claw,168.0ø
So Mean,Shocking Shades Of Claw Boys Claw,Claw Boys Claw,217.5ø
Shake It On The Rocks,Shocking Shades Of Claw Boys Claw,Claw Boys Claw,213.6ø
Phantom Shark,Shocking Shades Of Claw Boys Claw,Claw Boys Claw,234.7ø
