The Way We Operate,The Dawn of My Death,Before Their Eyes,207.3ø
When Santa Comes To Town,Don't Come Home For Christmas,Jeff Dunham ft. The Whole Gang,145.9ø
The Other White  Meat,Spark of Insanity,Jeff Dunham,423.6ø
Sweet Daddy Santa Claus,Don't Come Home For Christmas,Jeff Dunham ft. Sweet Daddy D,166.6ø
Superpowers,Spark of Insanity,Jeff Dunham,350.7ø
Superfriends,Spark of Insanity,Jeff Dunham,256.7ø
Song For Jeff,Don't Come Home For Christmas,Jeff Dunham ft. Peanut,171.5ø
Santa Is A Redneck,Don't Come Home For Christmas,Jeff Dunham ft. Bubba J,159.4ø
Roadkill Christmas,Don't Come Home For Christmas,Jeff Dunham ft. Bubba J,162.4ø
Premature Detonation,Spark of Insanity,Jeff Dunham,332.7ø
Light The Fire,Don't Come Home For Christmas,Jeff Dunham ft. Sweet Daddy D,182.6ø
Jingle Bombs,Don't Come Home For Christmas,Jeff Dunham ft. Achmed,154.5ø
I Hate Christmas,Don't Come Home For Christmas,Jeff Dunham ft. Walter,132.0ø
Hummer vs. Prius,Spark of Insanity,Jeff Dunham,352.6ø
From Us To You,Don't Come Home For Christmas,Jeff Dunham ft. The Whole Gang,216.1ø
Coming to  America,Spark of Insanity,Jeff Dunham,192.5ø
Christmas With The Achmed Family,Don't Come Home For Christmas,Jeff Dunham ft. Achmed,125.2ø
Christmas Outside The Box,Don't Come Home For Christmas,Jeff Dunham ft. Guitar Guy,180.6ø
An American Christmas,Don't Come Home For Christmas,Jeff Dunham ft. Jose,206.3ø
A Terrifying Terrorist,Spark of Insanity,Jeff Dunham,345.0ø
Dying 2 Live,X Files - I Want To Believe / OST,Xzibit,241.1ø
