Diggin' My Potatoes,Sonny Is King,Sonny Terry,223.0ø
Well Git It,On The Radio,Tommy Dorsey & His Orchestra,356.2ø
Trombonology,The Post-War Era,Tommy Dorsey & His Orchestra,178.8ø
Tom Foolery,Tommy Dorsey & His Orchestra,Tommy Dorsey & His Orchestra,194.2ø
The Song Is You,The Post-War Era,Tommy Dorsey & His Orchestra,207.8ø
The Hucklebuck,Tommy Dorsey & His Orchestra,Tommy Dorsey & His Orchestra,177.5ø
Pussy Willow,Tommy Dorsey & His Orchestra,Tommy Dorsey & His Orchestra,194.2ø
Piccalilly Dilly,The Post-War Era,Tommy Dorsey & His Orchestra,202.9ø
I'm in the Mood for Love,Greatest Hits,Tommy Dorsey & His Orchestra,200.0ø
Birmingham Bounce,Tommy Dorsey & His Orchestra,Tommy Dorsey & His Orchestra,176.1ø
Bingo_ Bango_ Boffo,The Post-War Era,Tommy Dorsey & His Orchestra,199.7ø
Heaven (Must Be There),The Essential,Eurogliders,220.7ø
Dream Merchant,The Very Best Of The,The New Birth,265.5ø
Feel the Rhythm,Feel the Rhythm,Jinny,355.0ø
Orange Peel,Blue Break Beats,Reuben Wilson,397.3ø
Medley pop,Julie est trop prude,Thierry Hazard,409.2ø
Julie est trop prude,Julie est trop prude,Thierry Hazard,337.7ø
Tu Me Acostumbraste,Bis,Nana Caymmi,215.4ø
La Puerta,Bis,Nana Caymmi,235.4ø
Move Me - Move Me,For The Real Feeling,Shirley Brown,252.0ø
Cath (Remix),The Singles Collection,The Bluebells,189.8ø
Tonight As We Dance,Solid Ground,Dolores Keane,258.0ø
The Finer Things,Solid Ground,Dolores Keane,235.6ø
Telling Me Lies,Solid Ground,Dolores Keane,229.9ø
Summer Of My Dreams,Solid Ground,Dolores Keane,239.9ø
Storm In My Heart,Celtic Woman 3,Dolores Keane,272.6ø
Solid Ground,Solid Ground,Dolores Keane,231.2ø
Nothing To Show,Solid Ground,Dolores Keane,231.5ø
Never Be The Sun,Solid Ground,Dolores Keane,220.8ø
I Courted A Soldier,Solid Ground,Dolores Keane,267.9ø
Emigrant Eyes,Solid Ground,Dolores Keane,253.2ø
Little Star,2002 Millennium Collection,Randy & The Rainbows,146.1ø
Mi A Go Ride,Strictly The Best Vol.9,Ninjaman,231.1ø
Vine Street Boogie,Radio Days 4,Jay McShann,157.4ø
Swingmatism,Swingmatism,Jay McShann,264.0ø
Wet Pavement,Primordia,Brainbox,265.5ø
The First Principle,Primordia,Brainbox,322.1ø
Salt & Velvet,Primordia,Brainbox,374.5ø
Nashira,Primordia,Brainbox,350.4ø
Marshall Planet,Primordia,Brainbox,504.4ø
Lovemotor,Primordia,Brainbox,397.7ø
Indigo,Primordia,Brainbox,326.9ø
Figure Five,Primordia,Brainbox,280.1ø
Astroasis,Primordia,Brainbox,479.2ø
Alterindigo,Primordia,Brainbox,546.7ø
The Auchengeich Disaster,The Iron Muse - A Panorama of Industrial Folk Music,Dick Gaughan,138.1ø
Both Sides Of The Tweed,Experience Scotland,Dick Gaughan,220.8ø
The Fool,The Sound Of The Hit Parade,The Hit Parade,291.3ø
So This Is London,The Sound Of The Hit Parade,The Hit Parade,205.2ø
She's Lost Everything,The Sound Of The Hit Parade,The Hit Parade,202.0ø
She Won't Come Back,The Sound Of The Hit Parade,The Hit Parade,242.3ø
On The Road To Beaconsfield,The Sound Of The Hit Parade,The Hit Parade,208.5ø
House Of Sarah,The Sound Of The Hit Parade,The Hit Parade,175.4ø
Hello Hannah Hello,The Sound Of The Hit Parade,The Hit Parade,225.4ø
Farewell My Lido,The Sound Of The Hit Parade,The Hit Parade,218.7ø
Crying,The Sound Of The Hit Parade,The Hit Parade,212.5ø
As I Lay Dying,The Sound Of The Hit Parade,The Hit Parade,184.8ø
Never Gonna Be Your Lady,Live Med Folkoperans Orkester,Louise Hoffsten,256.8ø
Let The Best Man Win,Hits,Louise Hoffsten,288.6ø
Forbidden Fruit,Hits,Louise Hoffsten,182.9ø
Who Knows Why,Sweet Mystery,Liane Foly,232.2ø
Tear Of Desire,Sweet Mystery,Liane Foly,222.4ø
No Sweat,Sweet Mystery,Liane Foly,264.0ø
J'irai Tranquille,Les Petites Notes,Liane Foly,259.3ø
Anywhere Anyplace Anytime,Sweet Mystery,Liane Foly,318.1ø
A Trace Of You (Doucement),Sweet Mystery,Liane Foly,266.6ø
Romance Del Amargo,Los Gitanos Cantan A Lorca Vol.2,Remedios Amaya,274.8ø
Classical Music,Gaol Ferry Bridge,Action Painting!,109.7ø
What I Like Most About You Is Your Girlfriend,Stereo-Typical,The Special AKA,244.9ø
War Crimes (The Crime Remains The Same),Stereo-Typical,The Special AKA,368.9ø
Version,Stereo-Typical,The Special AKA,222.7ø
Racist Friend (Instrumental),Stereo-Typical,The Special AKA,249.7ø
Can't Get A Break,Stereo-Typical,The Special AKA,388.9ø
Bright Lights (Instrumental),Stereo-Typical,The Special AKA,279.9ø
The Way of Love,Brave Combo Live at Cat's Cradle 03/13/2005,Brave Combo,289.3ø
Hernando's Hideaway,Brave Combo Live at Cat's Cradle 03/13/2005,Brave Combo,171.4ø
Where Do You Start?,Evolution,Kitty Margolis,380.0ø
When Lights Are Low,Evolution,Kitty Margolis,285.9ø
Tristeza De Amar,Evolution,Kitty Margolis,308.8ø
Someone Else Is Steppin' In,Evolution,Kitty Margolis,228.7ø
Please Send Me Someone To Love,Evolution,Kitty Margolis,327.0ø
Nothing Like You,Evolution,Kitty Margolis,213.1ø
Midnight Sun,Evolution,Kitty Margolis,310.8ø
I'm Old Fashioned,Evolution,Kitty Margolis,291.9ø
Gone With The Wind,Evolution,Kitty Margolis,251.1ø
Firm Roots (Are What You Need To Win),Evolution,Kitty Margolis,309.9ø
Anthropology,Evolution,Kitty Margolis,241.9ø
Ancient Footprints,Evolution,Kitty Margolis,326.2ø
Night Out,Nightout,Ellen Foley,318.3ø
Mercy,Forever Rock 'N' Roll,The Collins Kids,125.0ø
Bustalk,A Bronx Tale - Music From The Motion Picture,Bobby Watson,92.2ø
Blue World,The Paul Brady Songbook,Paul Brady,272.7ø
Railway,More Songs About Frustration And Self Hate,Boyracer,202.7ø
Monticello,Jazz Remixed (Jazz Club),Monty Alexander,328.7ø
Already It's Heaven,After Closing Time,David Houston,155.9ø
With These Hands,Les Is More,Les McCann,358.8ø
Vacushna,The Truth (the Whole Truth & Nothing But the Truth),Les McCann,186.6ø
Boo-Go-Loo,Talkin' Verve,Les McCann,170.2ø
Waterdome (Interlude Mix),Conviction,SIGNAL AOUT 42,108.7ø
Waterdome (Brilliant Mix),Conviction,SIGNAL AOUT 42,406.4ø
Virgin Blood,Conviction,SIGNAL AOUT 42,265.6ø
