Drown,SINGLES - Original Motion Picture Soundtrack,Smashing Pumpkins,499.9ø
Bullet Train To Osaka,Rarities & B-Sides,The Smashing Pumpkins,265.9ø
Symphony Of Destruction (2004 Digital Remaster),Countdown To Extinction,Megadeth,328.9ø
Psychotron (2004 Digital Remaster) (),Countdown To Extinction,Megadeth,327.1ø
Crown Of Worms (2004 Digital Remaster),Countdown To Extinction,Megadeth,197.0ø
Countdown To Extinction (2004 Digital Remaster),Countdown To Extinction,Megadeth,258.4ø
Captive Honour (24-Bit Digitally Remastered 04) (),Countdown To Extinction,Megadeth,254.4ø
Breakpoint,Hidden Treasures,Megadeth,209.4ø
Ashes In Your Mouth (2004 Digital Remaster),Countdown To Extinction,Megadeth,373.6ø
Session,Punk-O-Rama,The Offspring,152.5ø
Jesus Loves Me,The Bodyguard - Original Soundtrack Album,Whitney Houston,312.5ø
I'm Every Woman,The Ultimate Collection,Whitney Houston,280.6ø
Point of View,Buddha,Blink-182,71.7ø
Tomorrow (Album Version),Generator,Bad Religion,117.8ø
No Direction (Album Version),Generator,Bad Religion,196.5ø
Fertile Crescent (bonus track),Generator,Bad Religion,138.5ø
Terrapin,Rarities & B-Sides,The Smashing Pumpkins,178.2ø
Pass The Mic,Check Your Head,Beastie Boys,257.1ø
Chimaera (Album Version),Generator,Bad Religion,149.9ø
Wish,Broken EP,Nine Inch Nails,226.7ø
Suck,Broken EP,Nine Inch Nails,307.1ø
Last,Broken EP,Nine Inch Nails,284.5ø
Happiness In Slavery,Fixed,Nine Inch Nails,368.8ø
First Fuck,Fixed,Nine Inch Nails,439.6ø
The Maestro,Check Your Head,Beastie Boys,172.2ø
The Blue Nun,Check Your Head,Beastie Boys,32.2ø
Namaste,Check Your Head,Beastie Boys,241.2ø
Mark On The Bus,Check Your Head,Beastie Boys,65.6ø
Live At P.J.'s,Check Your Head,Beastie Boys,198.2ø
Lighten Up,The In Sound From Way Out!,Beastie Boys,165.7ø
Jimmy James,Anthology:  The Sounds Of Science,Beastie Boys,185.6ø
Hollow Log,One Foot In The Grave,Beck,114.1ø
Winter,Legs and Boots: Chicago_ IL - November 6_ 2007,Tori Amos,516.5ø
Tear In Your Hand,Legs and Boots: Phoenix_ AZ - December 11_ 2007,Tori Amos,349.6ø
Precious Things,Legs and Boots: Phoenix_ AZ - December 11_ 2007,Tori Amos,414.1ø
Little Earthquakes (LP Version),Little Earthquakes,Tori Amos,411.6ø
Leather,Legs and Boots: San Diego_ CA - December 12_ 2007,Tori Amos,246.0ø
Happy Phantom (LP Version),Little Earthquakes,Tori Amos,197.0ø
Crucify,Legs and Boots: Montreal_ QC - October 21_ 2007,Tori Amos,458.8ø
China,Legs and Boots: Boston_ MA - October 19_ 2007,Tori Amos,366.2ø
Time,Buddha,Blink-182,166.2ø
Reebok Commercial,Buddha,Blink-182,155.9ø
Sugar,Legs and Boots: Lied Center - Lawrence_ KS - November 9_ 2007,Tori Amos,292.2ø
Smells Like Teen Spirit,LIVE AT MONTREUX,Tori Amos,216.5ø
Stand Together,Check Your Head,Beastie Boys,167.5ø
In 3's,The In Sound From Way Out!,Beastie Boys,139.0ø
Liza And Louise,Punk-O-Rama,NOFX,142.0ø
