A Day Without Me,Boy,U2,193.2ø
She's So Cold (1994 Digital Remaster),Emotional Rescue,The Rolling Stones,253.6ø
Stay Awhile,Greatest Hits Live,Journey,146.6ø
Any Way You Want It,Time3,Journey,203.7ø
Walks Like A Lady,Time3,Journey,432.5ø
Line Of Fire,Live In Houston 1981: The Escape Tour,Journey,193.1ø
Marriage Of Dale And Ming (And Flash Approaching) (1994 Digital Remaster),Flash Gordon,Queen,124.7ø
The Hero (1994 Digital Remaster),Flash Gordon,Queen,210.5ø
Need Your Loving Tonight (1994 Digital Remaster),The Game,Queen,168.8ø
Football Fight (1994 Digital Remaster),Flash Gordon,Queen,88.7ø
Crash Dive On Mingo City (1994 Digital Remaster),Flash Gordon,Queen,60.9ø
