Le Rapt,Live 98 En Passant,Jean-Jacques Goldman,302.3ø
Where Do We Go From Here,The Last Great Soul Man,Bobby Womack,397.2ø
So Many Sides Of You,The Poet,Bobby Womack,225.5ø
Secrets,The Poet,Bobby Womack,185.2ø
Lay Your Lovin' On Me,The Poet,Bobby Womack,243.0ø
Just My Imagination,The Last Great Soul Man,Bobby Womack,307.2ø
If You Think You're Lonely Now,The Last Great Soul Man,Bobby Womack,329.6ø
Games,The Poet,Bobby Womack,282.1ø
Funny Feeling,Cured,Steve Hackett,246.4ø
Starlife,The Best Of Kurtis Blow,Kurtis Blow,325.1ø
When I'm Away From You,Mistaken Identity,Kim Carnes,214.9ø
Still Hold On,Gypsy Honeymoon,Kim Carnes,277.7ø
My Old Pals,Mistaken Identity,Kim Carnes,196.8ø
Mistaken Identity,Gypsy Honeymoon,Kim Carnes,287.8ø
Miss You Tonite,Mistaken Identity,Kim Carnes,308.9ø
Draw Of The Cards,Mistaken Identity,Kim Carnes,294.6ø
Don't Call It Love,Mistaken Identity,Kim Carnes,187.9ø
Break The Rules Tonite (Out Of School),Mistaken Identity,Kim Carnes,195.0ø
Bette Davis Eyes,Gypsy Honeymoon,Kim Carnes,225.7ø
Swans On Glass (AD 6A),Mesh & Lace,Modern English,275.4ø
Smiles And Laughter (AD 110),Mesh & Lace,Modern English,192.1ø
Mesh And Lace (AD 110),Mesh & Lace,Modern English,259.3ø
Black Houses,Mesh & Lace,Modern English,344.6ø
Yes Indeed,It Must Be Magic,Teena Marie,298.1ø
Someday We'll All Be Free,It Must Be Magic,Teena Marie,117.2ø
Revolution,It Must Be Magic,Teena Marie,276.8ø
Portuguese Love,Greatest Hits,Teena Marie,472.3ø
Dead On Arrival,Live At The Ace_ Brixton,GBH,105.8ø
Dancing On The Floor (Hooked On Love),Reggae Ambassadors: 20th Anniversary Collection,Third World,336.1ø
We Can And Shall,Compass Point,Desmond Dekker,240.7ø
Moving On,Compass Point,Desmond Dekker,167.4ø
Isabella,Compass Point,Desmond Dekker,201.0ø
I'll Get By,Compass Point,Desmond Dekker,168.0ø
I Do Believe,Compass Point,Desmond Dekker,196.8ø
Hurts So Bad,Compass Point,Desmond Dekker,176.0ø
Come Back To Me,Compass Point,Desmond Dekker,185.1ø
Cindy,Compass Point,Desmond Dekker,188.6ø
Big-Headed,Compass Point,Desmond Dekker,210.7ø
Your Agent Man (Live At The Lyceum),Live At The Lyceum,Cabaret Voltaire,251.5ø
Sluggin' For Jesus (Live At The Lyceum),Live At The Lyceum,Cabaret Voltaire,318.0ø
The Lilies Of The Field,Troubadour of the King,John Michael Talbot,346.5ø
Prayer For Guidance,Troubadour of the King,John Michael Talbot,144.0ø
Ode Of The Bridegroom,For the Bride,John Michael Talbot,278.2ø
Let Us Adore The Lord,Master Collection_ Vol. 1,John Michael Talbot,324.0ø
How Many And Wonderful,Troubadour of the King,John Michael Talbot,216.3ø
Canticle Of The Groom,For the Bride,John Michael Talbot,359.8ø
Hymn To The Praises Of God,Quiet Reflections,John Michael Talbot,271.3ø
Canticle Of The Bride,For the Bride,John Michael Talbot,256.9ø
Roda Baiana,Fantasia - Gal Costa,Gal Costa,187.4ø
Massa Real,Divino Maravilhoso - Gal Costa Interpreta Caetano Veloso,Gal Costa,163.6ø
I'm Just Too Shy,Big Brother Jermaine - The Jermaine Jackson Collection,Jermaine Jackson,225.2ø
I Can't Take No More,Big Brother Jermaine - The Jermaine Jackson Collection,Jermaine Jackson,198.8ø
Savoir Faire,The Gold Collection,Sheena Easton,190.7ø
Morning Train (Nine to Five),Greatest Hits,Sheena Easton,199.1ø
Just Another Broken Heart,The Gold Collection,Sheena Easton,205.5ø
The Elephants Graveyard,Mondo Bongo,The Boomtown Rats,225.2ø
Never In A Million Years,The Very Best Of,The Boomtown Rats,230.3ø
The Steamin' Feelin',The Very Best Of Bob James,Bob James,320.8ø
Sign Of The Times,The Essential Collection,Bob James,338.9ø
Wordy Rappinghood,Tom Tom Club - Deluxe Edition,Tom Tom Club,388.4ø
Under The Boardwalk,Tom Tom Club - Deluxe Edition,Tom Tom Club,346.8ø
Tom Tom Theme,Tom Tom Club - Deluxe Edition,Tom Tom Club,80.8ø
On On On On...,Tom Tom Club,Tom Tom Club,214.1ø
Lorelei,Tom Tom Club - Deluxe Edition,Tom Tom Club,305.8ø
L Elephant,Tom Tom Club,Tom Tom Club,290.3ø
Genius Of Love,Island Records Post Punk Box Set - Out Come The Freaks,Tom Tom Club,334.6ø
Booming And Zooming,Tom Tom Club - Deluxe Edition,Tom Tom Club,274.3ø
As Above So Below,Tom Tom Club,Tom Tom Club,324.1ø
Push,Slip In And Out Of Phenomenon,Liquid Liquid,119.6ø
Lock Groove (In),Slip In And Out Of Phenomenon,Liquid Liquid,242.9ø
Wild Thing,A Bestiary Of,The Creatures,190.0ø
Thumb,A Bestiary Of,The Creatures,238.7ø
So Unreal,A Bestiary Of,The Creatures,135.3ø
Mad Eyed Screamer,A Bestiary Of,The Creatures,114.1ø
But Not Them,A Bestiary Of,The Creatures,200.0ø
Women Around The World At Work,Faraway In Time,Martha And The Muffins,239.0ø
This Is The Ice Age,Faraway In Time,Martha And The Muffins,447.5ø
Yeah Right,The Collection,Girlschool,200.1ø
Tush,The Collection,Girlschool,131.3ø
Morning Lake,To Be Continued,Terje Rypdal,445.1ø
867-5309/Jenny,Playlist: The Very Best '80s Radio Hits,Tommy Tutone,224.2ø
Wrecking Crew,The COMPLETE Demos 1980-2001,Adolescents,116.1ø
Word Attack,Adolescents,Adolescents,67.9ø
Who Is Who,The COMPLETE Demos 1980-2001,Adolescents,88.7ø
Welcome To Reality,Adolescents,Adolescents,131.1ø
Things Start Moving,Adolescents,Adolescents,185.6ø
Self Destruct,The COMPLETE Demos 1980-2001,Adolescents,41.8ø
Rip It Up,Adolescents,Adolescents,131.2ø
No Way,Adolescents,Adolescents,123.3ø
No Friends,The COMPLETE Demos 1980-2001,Adolescents,139.7ø
Losing Battle,Adolescents,Adolescents,94.7ø
L.A. Girl,Adolescents,Adolescents,108.8ø
Kids Of The Black Hole,Live At The House Of Blues,Adolescents,370.7ø
I Hate Children,Adolescents,Adolescents,105.3ø
Democracy,Live At The House Of Blues,Adolescents,153.1ø
Creatures,The COMPLETE Demos 1980-2001,Adolescents,105.0ø
Besame Mucho,Anything Goes-Live,Herb Alpert | Lani Hall,284.1ø
Another Great Divide,The Collection,Split Enz,219.0ø
You're Welcome,Positive Touch,The Undertones,167.9ø
When Saturday Comes,Positive Touch,The Undertones,176.2ø
The Positive Touch,Positive Touch,The Undertones,141.4ø
Life's Too Easy,Positive Touch,The Undertones,160.3ø
Kiss In The Dark,Positive Touch,The Undertones,154.2ø
