Alfabed,Hollands Glorie,Ramses Shaffy,128.4ø
Virkamies Virtanen,Irwinismi,Irwin Goodman,171.6ø
Tyydyn kohtaloon,Irwinismi,Irwin Goodman,159.9ø
Sotilas,Ei tippa tapa,Irwin Goodman,137.0ø
Raha ratkaisee,Lauluja elokuvasta Rentun Ruusu,Irwin Goodman,119.1ø
Marcello Magaroni,Irwinismi,Irwin Goodman,165.7ø
Autolla Kanarian saarille,Irwinismi,Irwin Goodman,112.2ø
You Can't Tell A Book By The Cover  (LP Version),Take A Little Walk With Me,Tom Rush,219.1ø
Who Do You Love  (LP Version),Take A Little Walk With Me,Tom Rush,205.4ø
Turn Your Money Green (LP Version),Take A Little Walk With Me,Tom Rush,229.9ø
Too Much Monkey Business  (LP Version),Take A Little Walk With Me,Tom Rush,140.2ø
Sugar Babe (LP Version),Take A Little Walk With Me,Tom Rush,118.4ø
Statesboro Blues(LP Version),Take A Little Walk With Me,Tom Rush,144.9ø
On The Road Again  (LP Version),Take A Little Walk With Me,Tom Rush,214.1ø
Money Honey  (LP Version),Take A Little Walk With Me,Tom Rush,171.2ø
Love's Made a Fool Of You  (LP Version),Take A Little Walk With Me,Tom Rush,134.4ø
Joshua Gone Barbados (LP Version),Take A Little Walk With Me,Tom Rush,252.9ø
Joshua Gone Barbados,The Very Best of Tom Rush: No Regrets 1962-1999,Tom Rush,253.0ø
Galveston Flood (LP Version),Take A Little Walk With Me,Tom Rush,319.8ø
Galveston Flood,The Very Best of Tom Rush: No Regrets 1962-1999,Tom Rush,321.2ø
Dio come ti amo,Non ho l'eta',Gigliola Cinquetti,199.1ø
O Holy Night (Cantique De Noel),For Christmas This Year,The Lettermen,155.3ø
Better Use Your Head,25 Greatest Hits,Little Anthony & The Imperials,168.6ø
When We're Together,Take Two Plus,Marvin Gaye | Kim Weston,158.3ø
What Good Am I Without You,The Complete Motown Singles_ Volume 4: 1964,Marvin Gaye | Kim Weston,172.7ø
Secret Love,Take Two Plus,Marvin Gaye | Kim Weston,165.1ø
Love Fell On Me,Take Two Plus,Marvin Gaye | Kim Weston,144.9ø
It's Got To Be A Miracle (This Thing Called Love),Take Two Plus,Marvin Gaye | Kim Weston,208.8ø
I Want You 'Round,Take Two Plus,Marvin Gaye | Kim Weston,143.2ø
Baby Say Yes,Take Two Plus,Marvin Gaye | Kim Weston,193.1ø
So Many Reasons,Shake A Tail Feather! The Best Of James And Bobby Purify,James & Bobby Purify,158.4ø
I'm Your Puppet,Ultimate Soul,James & Bobby Purify,179.1ø
Willow Weep For Me,Lonesome Traveler,Ray Bryant,317.0ø
These Boots Were Made For Walkin',Lonesome Traveler,Ray Bryant,216.2ø
The Blue Scimitar,Lonesome Traveler,Ray Bryant,259.3ø
Gettin' Loose,Lonesome Traveler,Ray Bryant,221.6ø
Brother This 'N' Sister That,Lonesome Traveler,Ray Bryant,287.1ø
Stay In My Lonely Arms,Big Motown Hits & Hard To Find Classics - Volume 3,The Elgins,178.1ø
Put Yourself In My Place,The Motown Anthology,The Elgins,146.7ø
No Time For Tears,The Motown Anthology,The Elgins,180.0ø
It's Gonna Be Hard Times,The Motown Anthology,The Elgins,153.1ø
I Understand My Man,The Motown Anthology,The Elgins,185.5ø
Heaven Must Have Sent You,The Complete Motown Singles_ Vol. 6: 1966,The Elgins,152.1ø
Good Lovin',The Motown Anthology,The Elgins,164.4ø
Darling Baby,The Complete Motown Singles_ Volume 5: 1965,The Elgins,155.6ø
