Leave Me Tonight,Rock Ballads - Rock Dreams,Tyran`Pace,261.4ø
Waterlilly,Misty Forest Morning,David & Steve Gordon,539.9ø
Voice of the River,Misty Forest Morning,David & Steve Gordon,581.0ø
Spring of Life,Misty Forest Morning,David & Steve Gordon,494.5ø
Out of the Mist,Sound Peace: The 25th Anniversary Collection_ Vol. 2,David & Steve Gordon,361.7ø
Savages,Another Disaster,Legion of Parasites,177.6ø
Party Time,Another Disaster,Legion of Parasites,116.2ø
Hypocrite,Another Disaster,Legion of Parasites,101.0ø
Dying World,Another Disaster,Legion of Parasites,118.6ø
Death Watch,Another Disaster,Legion of Parasites,123.2ø
Condemned To Live In Fear,Another Disaster,Legion of Parasites,89.1ø
