Four Men in the Rain,Early Plague Years,Thinking Plague,153.4ø
The Roots,Large Music 1.0,Solar House*,471.2ø
Your Amazing Life,Some Stupid With A Flare Gun,Ass Ponys,279.7ø
X-tra Nipple,Some Stupid With A Flare Gun,Ass Ponys,255.8ø
Swallow you Down,Some Stupid With A Flare Gun,Ass Ponys,233.8ø
Sidewinder,Some Stupid With A Flare Gun,Ass Ponys,235.4ø
Magnus,Some Stupid With A Flare Gun,Ass Ponys,215.0ø
Love Tractor,Some Stupid With A Flare Gun,Ass Ponys,176.2ø
Kitten,Some Stupid With A Flare Gun,Ass Ponys,367.0ø
Fighter Pilot,Some Stupid With A Flare Gun,Ass Ponys,192.1ø
Casper's Coming Home,Some Stupid With A Flare Gun,Ass Ponys,306.9ø
Between the Trees,Some Stupid With A Flare Gun,Ass Ponys,219.7ø
Astronaut,Some Stupid With A Flare Gun,Ass Ponys,263.4ø
If All the World,Myopia,THE EYE,220.2ø
The Love Of Christ,Simply Wes King,Wes King,250.0ø
Boom Diddle Boom,The Very Best Of The El Dorados,The El Dorados,132.0ø
A Child Is Born,Jazz For Dads,Jon Faddis,422.2ø
Tidigt en sommarmorgon,Guldkorn,Family Four,167.2ø
Nu ska jag tala om,Guldkorn,Family Four,196.9ø
Mr Bonjangles,Guldkorn,Family Four,332.7ø
Heja Mamma,Guldkorn,Family Four,150.2ø
Familje lycka,Guldkorn,Family Four,185.7ø
Du som vandrar genom livet,Guldkorn,Family Four,158.2ø
I'll Try to Love Again,Numbers,F.R. David,200.5ø
Memories Of You,Classic Years,Frank Chacksfield,168.3ø
Flirtation Waltz,Classic Years,Frank Chacksfield,182.1ø
Irimo,Dimension Latina '76 Salsa Brava,Dimension Latina,184.5ø
One Boy,Classic Pop Orchestra and All-Star Singers,Joanie Sommers,183.0ø
Voz of Babilon,Escena Alterlatina,Hechos Contra El Decoro,239.2ø
Rockin' Rollin' Stone,100 Greatest Rockabilly Hits,Andy Starr,170.9ø
Here Comes the Rain,Morning Way,Trader Horne,156.0ø
Goodbye Mercy Kelly,Morning Way,Trader Horne,195.4ø
Down and Out Blues,Morning Way,Trader Horne,266.8ø
