Turn Out The Stars,The Complete Fantasy Recordings,Bill Evans Trio,307.9ø
Love Ballad,True Soul 3 CD Set,L.T.D.,219.9ø
Soldier And Police War,Island Records Reggae Box Set - War Ina Babylon,Jah Lion,248.6ø
Sera Di Gallipoli,Eppure Soffia,Pierangelo Bertoli,287.2ø
Due Occhi Blu,Eppure Soffia,Pierangelo Bertoli,179.1ø
Watching the Apples Grow,Fogarty's cove,Stan Rogers,112.3ø
The Wreck of the Athens Queen,Fogarty's cove,Stan Rogers,181.3ø
The Rawdon Hills,Fogarty's cove,Stan Rogers,218.2ø
The Maid on the Shore,Fogarty's cove,Stan Rogers,224.2ø
Plenty of Hornpipe,Fogarty's cove,Stan Rogers,115.6ø
Giant,Fogarty's cove,Stan Rogers,215.9ø
Forty-Five Years,Fogarty's cove,Stan Rogers,212.6ø
Fogarty's Cove,Fogarty's cove,Stan Rogers,134.2ø
Fisherman's Wharf,Fogarty's cove,Stan Rogers,241.6ø
Finch's Complaint/Giant: Reprise,Fogarty's cove,Stan Rogers,187.3ø
Barrett's Privateers,Between the Breaks& Live!,Stan Rogers,272.2ø
Good Hearted Woman,The Essential Waylon Jennings,Waylon Jennings & Willie Nelson,179.5ø
Everybody Have A Good Time,The Greatest Hits Of Philadelphia International,Archie Bell & The Drells,373.4ø
Don't Let Love Get You Down,The Greatest Hits Of Philadelphia International,Archie Bell & The Drells,232.5ø
Kleines Testament,Der Rebell,Hannes Wader,485.2ø
It Don't Have to Be Funky,Anthology (Salsoul) Vol.2,The Salsoul Orchestra,231.4ø
Why Should I Love You (Original Version),Phonography,R. Stevie Moore,233.9ø
I've Begun To Fall In Love,Phonography,R. Stevie Moore,123.9ø
I Wish I Could Sing,Phonography,R. Stevie Moore,252.8ø
I Want You In My Life (Original Version),Phonography,R. Stevie Moore,145.6ø
I Not Listening,Phonography,R. Stevie Moore,193.9ø
Hobbies Galore,Meet The R. Stevie Moore!,R. Stevie Moore,254.8ø
Forecast,Phonography,R. Stevie Moore,120.7ø
Malcolm x,A place called jamaica,Earl Sixteen,224.8ø
Squeeze Bees,Jammy Smears,Ivor Cutler,144.6ø
Paddington Town,Jammy Smears,Ivor Cutler,94.1ø
Lemon Flower,Jammy Smears,Ivor Cutler,62.7ø
Beautiful Cosmos,Jammy Smears,Ivor Cutler,130.2ø
Barabadabada,Jammy Smears,Ivor Cutler,62.2ø
Thompson's / Cottage In The Grove,Drive The Cold Winter Away,Horslips,163.9ø
The Snow And The Frost Are All Over / Paddy Fahey's,Drive The Cold Winter Away,Horslips,170.5ø
The Piper In The Meadow Straying,Drive The Cold Winter Away,Horslips,156.5ø
Rug Muire Mac Do Dhia (Mary Bore A Son To God),Drive The Cold Winter Away,Horslips,113.9ø
Ny Kirree Fo Naghtey (The Sheep 'neath The Snow),Drive The Cold Winter Away,Horslips,142.6ø
Lullaby,Drive The Cold Winter Away,Horslips,146.8ø
Drive The Cold Winter Away,Drive The Cold Winter Away,Horslips,152.5ø
Do'n Oiche Ud I Mbeithil (That Night In Bethlehem),Drive The Cold Winter Away,Horslips,211.9ø
Denis O'Connor,Drive The Cold Winter Away,Horslips,170.5ø
Crabs In The Skillet,Drive The Cold Winter Away,Horslips,138.9ø
Rape,All American Alien Boy,Ian Hunter,244.4ø
Promiscuity,Live UK Tour '76,The Groundhogs,393.2ø
Eleventh Hour,Live UK Tour '76,The Groundhogs,348.6ø
My Babe,25 Rockin' Hits,Mickey Gilley,131.8ø
Young Waters,Airs and Graces,June Tabor,312.0ø
The Band Played Waltzing Matilda,Airs and Graces,June Tabor,384.4ø
Reynardine,Airs and Graces,June Tabor,178.4ø
Plains of Waterloo,Airs and Graces,June Tabor,280.7ø
Bonny May,Airs and Graces,June Tabor,298.7ø
Verdandi,Complete Originals Recordings,Tommy Flanagan,135.2ø
Lament,Jazz Poet,Tommy Flanagan_ George Mraz_ Kenny Washington,309.4ø
You Can Be What You Wanna Be,Life On Mars + What The World Is Coming To,Dexter Wansel,307.3ø
Together Once Again,Life On Mars + What The World Is Coming To,Dexter Wansel,264.7ø
Theme From The Planets,Life On Mars + What The World Is Coming To,Dexter Wansel,292.9ø
Stargazer,Life On Mars + What The World Is Coming To,Dexter Wansel,202.4ø
Rings Of Saturn,Life On Mars + What The World Is Coming To,Dexter Wansel,225.3ø
One Million Miles From The Ground,Life On Mars + What The World Is Coming To,Dexter Wansel,303.6ø
Life On Mars,Life On Mars + What The World Is Coming To,Dexter Wansel,352.5ø
A Prophet Named K.G.,Life On Mars + What The World Is Coming To,Dexter Wansel,264.2ø
The Rock That Doesn't Roll,In Another Land,Larry Norman,216.7ø
Asturias,Mucho Mas Que Dos (Live In Concert),Victor Manuel,277.8ø
You Mean To Say,Wanted! - The Outlaws,Jessi Colter,148.8ø
I'm Looking For Blue Eyes,Wanted! - The Outlaws,Jessi Colter,136.2ø
I Thought I Heard You Calling My Name,Jessi Colter Collection,Jessi Colter,232.9ø
What's The Point,A Stone Alone - The Solo Anthology 1974-2002,Bill Wyman,150.2ø
Soul Satisfying,A Stone Alone - The Solo Anthology 1974-2002,Bill Wyman,155.7ø
Quarter To Three,Stone Alone,Bill Wyman,169.0ø
Peanut Butter Time,A Stone Alone - The Solo Anthology 1974-2002,Bill Wyman,228.5ø
No More Foolin',Stone Alone,Bill Wyman,211.3ø
If You Wanna Be Happy,Stone Alone,Bill Wyman,165.5ø
Get It On,Stone Alone,Bill Wyman,213.0ø
Every Sixty Seconds,Stone Alone,Bill Wyman,249.4ø
Back To School,Stone Alone,Bill Wyman,160.8ø
Apache Woman,Stone Alone,Bill Wyman,181.8ø
Three Pieces By O'Carolan,The Hermit,John Renbourn,306.1ø
The Hermit,The Hermit,John Renbourn,197.8ø
Pavanna (Anna Bannana),The Hermit,John Renbourn,220.1ø
Faro's Rag,Nobody's Fault But Mine,John Renbourn,156.2ø
Theme From King Kong,Unlimited,The Love Unlimited Orchestra,482.8ø
My Sweet Summer Suite,Unlimited,The Love Unlimited Orchestra,427.7ø
Brazilian Love Song,Lifestyle2 - Soul Grooves Vol 2,The Love Unlimited Orchestra,365.5ø
Blues Concerto,The Best Of Love Unlimited Orchestra,The Love Unlimited Orchestra,219.7ø
Walk The Streets,Trojan Rocksteady Collection,Derrick Harriott,202.7ø
The Loser,Trojan Rocksteady Collection,Derrick Harriott,216.5ø
Since I Lost My Baby,Trojan Lovers Collection,Derrick Harriott,159.6ø
Message From A Black Man,Reggae Chartbusters Vol. 2,Derrick Harriott | The Chosen Few,231.5ø
Eighteen With A Bullet,Reggae Chartbusters Vol. 5,Derrick Harriott,220.0ø
Born To Love You,Tighten Up Volume 1,Derrick Harriott,146.1ø
What I've Got In Mind,Country Memory,Billie Jo Spears,174.4ø
Misty Blue,Country Greats,Billie Jo Spears,159.8ø
The Booty,Night Fever,THE FATBACK BAND,262.2ø
No More Room For Dancing,Night Fever,THE FATBACK BAND,245.0ø
Night Fever,Night Fever,THE FATBACK BAND,324.5ø
If That's The Way You Want It,Night Fever,THE FATBACK BAND,266.0ø
Disco Crazy,Night Fever,THE FATBACK BAND,258.0ø
A Little Funky Dance,Night Fever,THE FATBACK BAND,319.7ø
Dec-63,Night Fever,THE FATBACK BAND,294.0ø
Just Too Many People,Platinum & Gold Collection,Melissa Manchester,218.7ø
La Berta,Donatella Rettore,Donatella Rettore,179.7ø
Twilight Capers,Modern Music,Be Bop Deluxe,265.3ø
The Gold At The End Of My Rainbow,Modern Music,Be Bop Deluxe,234.2ø
The Bird Charmers Destiny,Modern Music,Be Bop Deluxe,80.7ø
Sleep That Burns,Raiding The Divine Archive: The Best Of Be Bop Deluxe,Be Bop Deluxe,318.5ø
Ships In The Night,Original Hits - Seventies,Be Bop Deluxe,246.3ø
Orphans Of Babylon,Modern Music,Be Bop Deluxe,195.7ø
Modern Music,Raiding The Divine Archive: The Best Of Be Bop Deluxe,Be Bop Deluxe,226.6ø
Make The Music Magic,Modern Music,Be Bop Deluxe,112.8ø
Lost In The Neon World,Modern Music,Be Bop Deluxe,48.0ø
Like An Old Blues,Sunburst Finish,Be Bop Deluxe,207.5ø
Life In The Air-Age,Sunburst Finish,Be Bop Deluxe,239.8ø
Kiss Of Light,Modern Music,Be Bop Deluxe,191.5ø
Honeymoon On Mars,Modern Music,Be Bop Deluxe,82.0ø
Heavenly Homes,Sunburst Finish,Be Bop Deluxe,216.5ø
Forbidden Lovers,Raiding The Divine Archive: The Best Of Be Bop Deluxe,Be Bop Deluxe,280.6ø
Fair Exchange,Raiding The Divine Archive: The Best Of Be Bop Deluxe,Be Bop Deluxe,289.7ø
Down On Terminal Street,Modern Music,Be Bop Deluxe,240.4ø
Dancing In The Moonlight (All Alone),Modern Music,Be Bop Deluxe,129.5ø
Dance Of The Uncle Sam Humanoids,Modern Music,Be Bop Deluxe,132.1ø
Crystal Gazing,Sunburst Finish,Be Bop Deluxe,204.5ø
Crying To The Sky,Sunburst Finish,Be Bop Deluxe,237.5ø
Bring Back The Spark,Modern Music,Be Bop Deluxe,218.1ø
Blazing Apostles,Sunburst Finish,Be Bop Deluxe,269.5ø
Beauty Secrets,Sunburst Finish,Be Bop Deluxe,167.6ø
You Got The Love,We Came To Funk You Out: Disco From The United Artists Label,Maxine Nightingale,279.5ø
Right Back Where We Started From,Original Hits - Seventies,Maxine Nightingale,191.1ø
Save Your Kisses For Me,Pop Masters: Angelo,Brother Hood Of Man,184.7ø
Tobacco Road (Album Version),Love Is All Around,Eric Burdon & War,396.2ø
Love Is All Around (Album Version),Love Is All Around,Eric Burdon & War,254.4ø
Home Dream (Album Version),Love Is All Around,Eric Burdon & War,435.6ø
Sinbad,Sinbad,Weldon Irvine,383.4ø
Music Is The Key,Sinbad,Weldon Irvine,456.0ø
I Love You,Sinbad,Weldon Irvine,184.7ø
Gospel Feeling,Sinbad,Weldon Irvine,257.6ø
Don't You Worry 'Bout A Thing,Sinbad,Weldon Irvine,352.6ø
Do Something For Yourself,The Vibe! Vol. 2,Weldon Irvine,286.6ø
Soundpool,Last,Agitation Free,350.0ø
Your Turn Now (Album Version),Black Rose,J.D. Souther,224.6ø
Silver Blue (Album Version),Black Rose,J.D. Souther,249.3ø
Midnight Prowl (Album Version),Black Rose,J.D. Souther,302.8ø
If You Have Crying Eyes (Album Version),Black Rose,J.D. Souther,302.3ø
Doors Swing Open (Album Version),Black Rose,J.D. Souther,274.3ø
Black Rose (Album Version),Black Rose,J.D. Souther,233.5ø
Banging My Head Against The Moon (Album Version),Black Rose,J.D. Souther,215.4ø
Baby Come Home (Album Version),Black Rose,J.D. Souther,224.8ø
Mendocino,Liebt Euch,Michael Holm,231.7ø
The Fever,I Don'T Want To Go Home,Southside Johnny & The Asbury Jukes,306.1ø
This Is My City,The Collection,Skyhooks,219.0ø
Million Dollar Riff,The Collection,Skyhooks,228.7ø
Crazy Heart,The Collection,Skyhooks,295.6ø
