Comin' To Your City (Album Version),Comin' To Your City,Big & Rich,210.0ø
Und dann: ein Blick,Einer Nacht Gewesenes,Adversus,84.2ø
Stille atmet leise Nacht,Einer Nacht Gewesenes,Adversus,56.9ø
Spinnenbein und Falkenherz,Einer Nacht Gewesenes,Adversus,347.1ø
Schlafe wohl,Einer Nacht Gewesenes,Adversus,112.0ø
Morgenstille,Einer Nacht Gewesenes,Adversus,76.0ø
Komm'_ oh Tod,Einer Nacht Gewesenes,Adversus,178.2ø
Kalt_ dieser Morgen,Einer Nacht Gewesenes,Adversus,456.2ø
Ein Sehnen,Einer Nacht Gewesenes,Adversus,262.0ø
Dies ist offensichtlich,Einer Nacht Gewesenes,Adversus,204.2ø
Die Zeit steht still,Einer Nacht Gewesenes,Adversus,106.0ø
Die Nihilistenhymne,Einer Nacht Gewesenes,Adversus,498.3ø
Die letzte Glocke,Einer Nacht Gewesenes,Adversus,355.9ø
Borderlineprinzessin,Einer Nacht Gewesenes,Adversus,401.3ø
Abendklang,Einer Nacht Gewesenes,Adversus,99.4ø
Quick Broken Harp (Single Version),Sunburnt Eyelids,Kelpe,112.4ø
Cross Legged Breakfast (Single Version),Sunburnt Eyelids,Kelpe,278.0ø
Deadbeat Moms,The Calm,Insane Clown Posse,187.4ø
Nothing Bothers Me,Soul Deep,Sizzla,174.6ø
