The Abyss,Steel Meets Steel - 10 Years Of Glory,HAMMERFALL,135.2ø
Barbie Girl,Mental Madness pres. Pure Hands Up! Vol. 4,Rob Mayth,382.2ø
Moonlight Shadow,Counting Down The Days,ItaloBrothers,374.9ø
Counting Down The Days,Counting Down The Days,ItaloBrothers,334.7ø
Christians In Black,Asleep At Heaven's Gate,Rogue Wave,234.1ø
El Ano Que Viene,Cuban Legends - The Essential Voices Of Cuba,Issac Delgado,282.8ø
Alkutarina,Ilta Savoyssa,Maija Vilkkumaa,185.3ø
Backfire At The Disco [KGB Remix],Backfire At The Disco,The Wombats,336.1ø
La Raya,Es Un Secreto...No Se Lo Digas A Nadie,Maldita Nerea,243.1ø
Hace Tiempo Que Dices,Es Un Secreto...No Se Lo Digas A Nadie,Maldita Nerea,221.7ø
El Secreto De Las Tortugas,Es Un Secreto...No Se Lo Digas A Nadie,Maldita Nerea,247.8ø
Con Trocitos,Es Un Secreto...No Se Lo Digas A Nadie,Maldita Nerea,247.9ø
Victoire [remix],Victoire,Shy'm,205.7ø
Victoire [Edit Radio],Victoire,Shy'm,196.0ø
Therapy Caravan Of The Fair Room,Memphis May Fire,Memphis May Fire,232.5ø
Neutron Cameras VS. Smuggled Nuclear Bombs,Memphis May Fire,Memphis May Fire,221.1ø
History Of Mercia,Memphis May Fire,Memphis May Fire,231.3ø
Cowbell's Makin' A Comeback,Memphis May Fire,Memphis May Fire,272.3ø
Conjunctions_ Conjunctions_ Everybody Loves Them,Memphis May Fire,Memphis May Fire,177.9ø
Yeah Ya Can,Misery Loves Kompany,TECH N9NE feat. Big Krizz Kaliko & Shadow,260.5ø
That Box,Misery Loves Kompany,TECH N9NE feat. Kutt Calhoun_ Big Krizz Kaliko_ Snug Brim_ Greed_ and Skatterman,349.9ø
2 Piece,Misery Loves Kompany,TECH N9NE feat. Big Scoob _ Joe Vertigo_ & Big Krizz Kaliko,304.5ø
Lighthouse (feat. Elles de Graaf),Again (Special Edition),Bobina,475.5ø
Komodo,Komodo,Comiccon,215.8ø
Y Ahora,Tercera Parada,Manuel Carrasco,254.5ø
Listen,T57 Deluxe Edition,Trin-I-Tee 5:7,200.8ø
Mondo Time,Vivian Wheeler,Format: B,390.5ø
Kom dan naar MIJ,Slimmer dan de zanger,Bart Peeters,141.0ø
Ukjend By,Spissrotgang,Hellbillies,227.8ø
Mot Straumen,Spissrotgang,Hellbillies,265.0ø
