Patrol Wagon Blues,Blues on My Radio,Lazy Lester,230.2ø
Tante Sien,Het Meisje Van De Slijterij,Herman Finkers,91.7ø
Niemand Kan Zo Teder Zingen (lied),EHBO is mijn lust en mijn leven,Herman Finkers,206.5ø
In De Sneeuw Van Tirol,Het Meisje Van De Slijterij,Herman Finkers,135.8ø
Ik Ben Mij Er Eentje,EHBO is mijn lust en mijn leven,Herman Finkers,548.0ø
Het E.H.B.O.-lied,EHBO is mijn lust en mijn leven,Herman Finkers,192.9ø
Condooms - of- 'N Niet Onmogelijke Liefde,Het Meisje Van De Slijterij,Herman Finkers,263.9ø
Dolce Vita,100% Dance Vol. 1 - 100% Dance Music - Pure Gold Hits,Music Makers,278.3ø
Waltz,Music For Solo Piano,Steven Brown,92.2ø
The Ghost Sonata (Take 2),Music For Solo Piano,Steven Brown,390.2ø
The Ghost Sonata (Take 1),Music For Solo Piano,Steven Brown,301.6ø
Rotterdam Lullabye,Music For Solo Piano,Steven Brown,500.2ø
R.W.F.,Music For Solo Piano,Steven Brown,207.4ø
Piano No. 1,Music For Solo Piano,Steven Brown,156.1ø
Music No. 2 (1983 Recording),Music For Solo Piano,Steven Brown,185.9ø
Hold Me While I'm Naked,Music For Solo Piano,Steven Brown,194.0ø
Fantasie for Clarinet & Violin,Music For Solo Piano,Steven Brown,504.7ø
Fanfare,Music For Solo Piano,Steven Brown,239.6ø
Egypt,Music For Solo Piano,Steven Brown,262.3ø
Close Little Sixes,Music For Solo Piano,Steven Brown,56.5ø
Work Song,Duke Ellington - Caravan,Duke Ellington,279.0ø
Tonight I Shall Sleep (with a Smile on My Face),The Complete RCA Victor Mid-Forties Recordings,Duke Ellington & His Famous Orchestra,175.6ø
Carnegie Blues,Treasury Shows Vol. 12,Duke Ellington And His Orchestra,186.7ø
Percussion Island,Sunstorm - Best Of! Vol. 2,Software,352.8ø
Oceans Breath,Sunstorm - Best Of! Vol. 2,Software,558.5ø
Magic Beach,Sunstorm - Best Of! Vol. 2,Software,322.1ø
Island Sunrise,Sunstorm - Best Of! Vol. 2,Software,391.6ø
Little Woman,I Love The 60's - 1969,Bobby Sherman,145.2ø
Whispers,Ultravox!/ Visage/ Soft Cell,Visage,337.9ø
Suspicion,Master Control,Liege Lord,208.2ø
Soldier's Fortune,Master Control,Liege Lord,182.5ø
Rapture,Master Control,Liege Lord,266.0ø
Master Control,Master Control,Liege Lord,307.9ø
Feel The Blade,Master Control,Liege Lord,212.6ø
Fear Itself,Master Control,Liege Lord,265.6ø
Fallout,Master Control,Liege Lord,344.6ø
Eye Of The Storm,Master Control,Liege Lord,256.2ø
Broken Wasteland,Master Control,Liege Lord,254.6ø
The Red Wind,In Angel City,Charlie Haden Quartet West,299.5ø
Sunday ... At The Hillcrest,In Angel City,Charlie Haden Quartet West,384.9ø
Live Your Dreams,In Angel City,Charlie Haden Quartet West,394.1ø
Fortune's Fame,In Angel City,Charlie Haden Quartet West,493.3ø
First Song (For Ruth),In Angel City,Charlie Haden Quartet West,420.6ø
Blue In Green,In Angel City,Charlie Haden Quartet West,441.1ø
Alpha,In Angel City,Charlie Haden Quartet West,390.4ø
Puerta Del Principe,Flamenco,Manolo Sanlucar,219.1ø
Oracion,Tauromagia - Manolo Sanlucar,Manolo Sanlucar,278.5ø
Maletilla,Tauromagia - Manolo Sanlucar,Manolo Sanlucar | Isidro Sanlucar,245.0ø
Maestranza,Tauromagia - Manolo Sanlucar,Manolo Sanlucar,243.8ø
Banderillas,Tauromagia - Manolo Sanlucar,Manolo Sanlucar,197.9ø
Sensasjon (1994 Digital Remaster),Klovn Uten Scene,Jahn Teigen,275.9ø
Klovn Uten Scene,Klovn Uten Scene,Jahn Teigen,340.0ø
Glasnost,Klovn Uten Scene,Jahn Teigen,181.0ø
En Annen Virkelighet,Klovn Uten Scene,Jahn Teigen,224.4ø
Det Vakreste Som Fins (1994 Digital Remaster),Klovn Uten Scene,Jahn Teigen,309.9ø
