Conspiracy,Sweden Rock Festival - Best Of 2005-2006 Vol.1,Treat,262.2ø
Ode to Billie Joe,Midnight Melodies,Fausto Papetti,169.0ø
Voila C'est Fini,Bleu Blanc Vert,Jean-Louis Aubert,307.7ø
Musika Maya,Bleu Blanc Vert,Jean-Louis Aubert,38.6ø
Le Bout Du Rouleau,Bleu Blanc Vert,Jean-Louis Aubert,248.9ø
Je N'veux Pas Te Faire Mal,Bleu Blanc Vert,Jean-Louis Aubert,277.4ø
Alternative,Bleu Blanc Vert,Jean-Louis Aubert,346.1ø
Baby baby baby,Black list,Alex Chilton,264.3ø
Rivederci E Grazie (live),La Vita Mia,Amedeo Minghi,422.3ø
Quando L'Estate Verra' (live),La Vita Mia,Amedeo Minghi,232.7ø
Canzoni (live),La Vita Mia,Amedeo Minghi,242.3ø
Anni '60 (live),La Vita Mia,Amedeo Minghi,258.7ø
West Wind,Can't Keep Lovin' You,Walter Horton,186.8ø
Walters' Boogie (Instrumental),Can't Keep Lovin' You,Walter Horton,188.3ø
Tin Pan Alley,Can't Keep Lovin' You,Walter Horton,286.4ø
The Honeydripper (Instrumental),Can't Keep Lovin' You,Walter Horton,222.8ø
Sugar Mama,Can't Keep Lovin' You,Walter Horton,196.4ø
Little Boy Blue,Mouth Harp Maestro,Walter Horton,178.7ø
Getting' Outta Town (Instrumental),Can't Keep Lovin' You,Walter Horton,170.3ø
Careless Love,Can't Keep Lovin' You,Walter Horton,280.7ø
Can't Keep Lovin' You,Can't Keep Lovin' You,Walter Horton,167.1ø
Got To Get You Back,Original Hits - The Girls,Kym Mazelle,193.5ø
Laura,An Introduction To Barney Kessel Vol 2,Barney Kessel,209.0ø
Jordu,The Poll Winners,Barney Kessel,209.8ø
Maid Marion,Secrets,Allan Holdsworth,436.3ø
54 Duncan Terrace,Secrets,Allan Holdsworth,274.5ø
That Was Yesterday,Feeling Free,Sydney Youngblood,264.3ø
Sit And Wait,Feeling Free,Sydney Youngblood,240.5ø
Not Just A Lover But A Friend,Feeling Free,Sydney Youngblood,235.7ø
Kiss And Say Goodbye,Feeling Free,Sydney Youngblood,211.6ø
If Only I Could,Feeling Free,Sydney Youngblood,213.2ø
I'm Your Lover,Feeling Free,Sydney Youngblood,204.5ø
I'd Rather Go Blind,Feeling Free,Sydney Youngblood,257.4ø
Good Times Bad Times,Feeling Free,Sydney Youngblood,217.9ø
Could It Be (I'm In Love),Feeling Free,Sydney Youngblood,293.6ø
Congratulations,Feeling Free,Sydney Youngblood,241.9ø
Ain't No Sunshine,Feeling Free,Sydney Youngblood,238.1ø
Wish You Were Here,Oh My Papa,Eddie Fisher,123.1ø
Oh! My Pa-Pa (O Mein Papa),Greatest Hits,Eddie Fisher,185.6ø
Lady Of Spain,The Fabulous Fifties Vol 6,Eddie Fisher,196.6ø
Any time,Young At Heart,Eddie Fisher,155.6ø
Lost John,1956 Radio Hits,Lonnie Donegan,161.3ø
Vicious Waltz (2005 Digital Remaster),Softwood Music Under Slow Pillars,Sielun Veljet,165.0ø
The Beast Has Taken Over My Mind Again (2005 Digital Remaster),Softwood Music Under Slow Pillars,Sielun Veljet,267.0ø
