Pon de Replay,Pon de Replay,Rihanna | Elephant Man,219.4ø
Here I Go Again,Music Of The Sun,Rihanna | J-Status,251.2ø
White Shadows,X & Y,Coldplay,328.2ø
Twisted Logic,X & Y,Coldplay,271.7ø
Til Kingdom Come,X & Y,Coldplay,249.8ø
Things I Don't Understand,Speed Of Sound,Coldplay,295.7ø
The World Turned Upside Down,Fix You,Coldplay,269.3ø
Talk (Radio Edit),Talk,Coldplay,270.0ø
Talk (Francois K Dub),Talk,Coldplay,544.5ø
Square One,X & Y,Coldplay,287.1ø
Speed Of Sound (Live),Speed Of Sound,Coldplay,285.0ø
Speed Of Sound,Speed Of Sound,Coldplay,291.6ø
Sleeping Sun,Talk,Coldplay,191.0ø
Proof,Speed Of Sound,Coldplay,251.0ø
Low,X & Y,Coldplay,330.6ø
Fix You (Live),Fix You,Coldplay,368.1ø
Fix You,Hurricane Relief: Come Together Now,Coldplay,363.0ø
A Message,X & Y,Coldplay,284.4ø
You Don't Love Me (No_ No_ No),Music Of The Sun,Rihanna | Vybz Kartel,260.1ø
Willing To Wait,Music Of The Sun,Rihanna,277.9ø
The Last Time,Music Of The Sun,Rihanna,293.2ø
Music Of The Sun,Music Of The Sun,Rihanna,236.0ø
Let Me,Music Of The Sun,Rihanna,236.5ø
If It's Lovin' That You Want,A Girl Like Me,Rihanna | Cory Gunz,248.5ø
You Can Get It featuring T.I.,I Gotta Make It,Trey Songz,245.6ø
Ur Behind (Album Version),I Gotta Make It,Trey Songz,198.5ø
Ooo (Album Version),I Gotta Make It,Trey Songz,217.8ø
Make Love Tonight (Album Version),I Gotta Make It,Trey Songz,255.8ø
Kinda Lovin (Album Version),I Gotta Make It,Trey Songz,219.1ø
Just Wanna Cut Prelude (Album Version),I Gotta Make It,Trey Songz,46.2ø
Just Wanna Cut (Album Version),I Gotta Make It,Trey Songz,237.3ø
In The Middle (Album Version),I Gotta Make It,Trey Songz,239.9ø
Hatin Love (Album Version),I Gotta Make It,Trey Songz,226.4ø
Gotta Make It featuring Twista (Album Version),I Gotta Make It,Trey Songz,243.3ø
Gotta Go Reprise (Album Version),I Gotta Make It,Trey Songz,148.6ø
Gotta Go (Album Version),I Gotta Make It,Trey Songz,247.1ø
From A Woman's Hand (Album Version),I Gotta Make It,Trey Songz,223.5ø
Comin'  For You (Album Version),I Gotta Make It,Trey Songz,234.6ø
Cheat On You (Album Version),I Gotta Make It,Trey Songz,225.8ø
All The Ifs (Album Version),I Gotta Make It,Trey Songz,305.0ø
About Da Game,Coach Carter / Music From The Motion Picture,Trey Songz,217.8ø
A Message From Aretha (Album Version),I Gotta Make It,Trey Songz,30.6ø
Shake That,Curtain Call,Eminem | Nate Dogg,274.5ø
