The Sneaky Little Side Of Me,I Take A Lot Of Pride In What I Am,Dean Martin,162.2ø
The Big Rock Candy Mountain,Songs From Rock Candy Mountain,Burl Ives,156.5ø
Frankie And Johnny,Songs From Rock Candy Mountain,Burl Ives,201.1ø
Things Have Changed,Tell Tale Signs: The Bootleg Series Vol. 8,Bob Dylan,320.2ø
Texas Flood,Milk Cow Blues,Willie Nelson | Kenny Wayne Shepherd,528.4ø
Fool's Paradise,Milk Cow Blues,Willie Nelson | Dr. John,257.0ø
You Can't Take Me (Amended LP Version),Double Wide,Uncle Kracker,196.3ø
Yeah_ Yeah_ Yeah (Amended LP Version),Double Wide,Uncle Kracker,299.6ø
Who's Your Uncle? (Explicit LP Version),Double Wide,Uncle Kracker,236.3ø
Whiskey & Water (Amended LP Version),Double Wide,Uncle Kracker,283.1ø
What 'Chu Lookin' At? (Amended LP Version),Double Wide,Uncle Kracker,312.0ø
Steaks 'N Shrimp (Explicit LP Version),Double Wide,Uncle Kracker,253.5ø
Intro (Explicit LP Version),Double Wide,Uncle Kracker,80.0ø
Heaven [feat. Kid Rock & Paradime]  (Amended LP Version),Double Wide,Uncle Kracker,259.4ø
Follow Me (Explicit LP Version),Double Wide,Uncle Kracker,216.1ø
Better Days (Amended LP Version),Double Wide,Uncle Kracker,290.6ø
Aces & 8's (Explicit LP Version),Double Wide,Uncle Kracker,234.0ø
Until We Say Goodbye,Engines of Creation,Joe Satriani,271.9ø
Engines of Creation,Engines of Creation,Joe Satriani,357.8ø
Champagne?,Engines of Creation,Joe Satriani,366.6ø
Borg Sex,Live In San Francisco,Joe Satriani,329.0ø
The Power Cosmic 2000-Part I,Engines of Creation,Joe Satriani,129.9ø
Flavor Crystal 7,Engines of Creation,Joe Satriani,268.2ø
Black Night,Milk Cow Blues,Willie Nelson | Dr. John,322.1ø
Thinkin' With My Heart Again,I Hope You Dance,Lee Ann Womack,173.6ø
The Healing Kind,I Hope You Dance,Lee Ann Womack,184.5ø
Stronger Than I Am,I Hope You Dance,Lee Ann Womack,217.9ø
Lord I Hope This Day Is Good,I Hope You Dance,Lee Ann Womack,176.2ø
I Know Why The River Runs,I Hope You Dance,Lee Ann Womack,297.6ø
I Hope You Dance,I Hope You Dance,Lee Ann Womack | Sons Of The Desert,294.5ø
I Feel Like I'm Forgetting Something,I Hope You Dance,Lee Ann Womack,210.2ø
Does My Ring Burn Your Finger,I Hope You Dance,Lee Ann Womack,208.6ø
Ashes By Now,Greatest Hits,Lee Ann Womack,251.1ø
Shit On The Radio (Remember The Days),Whoa_ Nelly!,Nelly Furtado,234.2ø
Red Dunes,Blood/Reign Forever World,Vader,72.3ø
It Makes No Difference Now,Country Masters Vol 2,Burl Ives,158.0ø
Redukt,Strategies Against Architecture III,Einstuerzende Neubauten,580.7ø
Manifestation,The Prophecy,KATAKLYSM,237.3ø
Breeding the everlasting,The Prophecy,KATAKLYSM,234.3ø
Via Nocturna Part I_ Ii,Deggial,THERION,572.2ø
Eternal Return,Deggial,THERION,431.3ø
Deggial,Live Gothic,THERION,302.7ø
Pink Flag (r2),The Third Day,Wire,215.5ø
Silly Love Songs,All The Best,Wings,354.0ø
Neon Light Child,Infinite Visions,STRATOVARIUS,273.7ø
Infinity,Infinite,STRATOVARIUS,562.1ø
Hunting high and low,Infinite,STRATOVARIUS,248.9ø
Glory of the world,Infinite,STRATOVARIUS,293.1ø
Freedom,Infinite,STRATOVARIUS,303.6ø
To Be Young Gifted and Black,Protest Anthology,Nina Simone,220.0ø
It Don't Mean A Thing,Family/Friends/French Lesson,Nina Simone,186.3ø
Taste Of My Scythe,Follow The Reaper,Children Of Bodom,238.2ø
Northern Comfort,Follow The Reaper,Children Of Bodom,226.4ø
Hate Me!,Hellhounds on My Trail,Children Of Bodom,279.3ø
Don't Stop At The Top,Skeletons in the Closet,Children Of Bodom,204.7ø
Aces High,Are You Dead Yet?,Children Of Bodom,269.5ø
Will To Power,Incipit Satan,GORGOROTH,268.5ø
When Love Rages Wild In My Heart,Incipit Satan,GORGOROTH,343.0ø
Unchain My Heart,Incipit Satan,GORGOROTH,287.1ø
Incipit Satan,Destroyer / Incipit satan,GORGOROTH,273.2ø
