Sidonie,Le meilleur,Malavoi,303.0ø
Somebody Loan Me A Dime,Born With The Blues Double,Fenton Robinson,263.7ø
The Tramp,Cisco Houston Sings Songs of the Open Road,Cisco Houston,197.1ø
Vesper Hymn,Secret and Divine Signs: The Music of Craig Urquhart,Craig Urquhart,211.0ø
The Dalliance of Eagles,Secret and Divine Signs: The Music of Craig Urquhart,Craig Urquhart,181.5ø
Pas de Deux,Secret and Divine Signs: The Music of Craig Urquhart,Craig Urquhart,169.0ø
Tulsa Blues,Kansas City Jazz  (Bennie Moten Volume 1 1923-25),Bennie Moten's Kansas City Orchestra,169.4ø
Things Seem so Blue to Me,Kansas City Jazz  (Bennie Moten Volume 1 1923-25),Bennie Moten's Kansas City Orchestra,189.8ø
South,Kansas City Jazz  (Bennie Moten Volume 1 1923-25),Bennie Moten's Kansas City Orchestra,164.4ø
Sister Honky Tonk,Kansas City Jazz  (Bennie Moten Volume 1 1923-25),Bennie Moten's Kansas City Orchestra,156.4ø
Kater Street Rag,Dixieland Jazz Vol. 1,Bennie Moten?s Kansas City Orchestra,151.5ø
Goofy Dust,Kansas City Jazz  (Bennie Moten Volume 1 1923-25),Bennie Moten's Kansas City Orchestra,157.5ø
Elephant's Wobble,Kansas City Jazz  (Bennie Moten Volume 1 1923-25),Bennie Moten's Kansas City Orchestra,190.6ø
Crawdad Blues,Kansas City Jazz  (Bennie Moten Volume 1 1923-25),Bennie Moten's Kansas City Orchestra,173.1ø
Baby Dear,Kansas City Jazz  (Bennie Moten Volume 1 1923-25),Bennie Moten's Kansas City Orchestra,171.2ø
As I Like It,Kansas City Jazz  (Bennie Moten Volume 1 1923-25),Bennie Moten's Kansas City Orchestra,169.5ø
18th Street Strut,Kansas City Jazz  (Bennie Moten Volume 1 1923-25),Bennie Moten's Kansas City Orchestra,178.5ø
Teraz albo nigdy,Teraz albo Nigdy,One Million Bulgarians,248.0ø
Ptaszek,Teraz albo Nigdy,One Million Bulgarians,209.8ø
No destruction,Teraz albo Nigdy,One Million Bulgarians,157.2ø
Minimax absolut,Teraz albo Nigdy,One Million Bulgarians,245.5ø
Maski dystans,Teraz albo Nigdy,One Million Bulgarians,247.2ø
I don't like moving,Teraz albo Nigdy,One Million Bulgarians,286.8ø
Bonus polish mix!,Teraz albo Nigdy,One Million Bulgarians,245.1ø
Animal love,Teraz albo Nigdy,One Million Bulgarians,264.7ø
Hold It Up To The Mirror,The Essential,The Black Sorrows,343.1ø
Dancing In The City,Top Of The Pops - Seventies,Marshall Hain,224.5ø
Little Dutch Girl,Candy Kisses,George Morgan,136.4ø
I'm in Love Again,The Big Country - 1959,George Morgan,155.8ø
Cry Baby Heart,Candy Kisses,George Morgan,171.3ø
Candy Kisses,Kiss Me,George Candy,176.8ø
Almost,The Big Country - 1952,George Morgan,181.0ø
26 Miles (Santa Catalina),Unforgettable,The Four Preps,138.2ø
26 Miles,The Four Preps,The Four Preps,150.0ø
Waar Kom Jij Vandaan,Hier Komt De Storm,Frank Boeijen Groep,171.9ø
Echte Liefde,Hier Komt De Storm,Frank Boeijen Groep,278.3ø
Boze Tongen,2,Frank Boeijen Groep,285.5ø
Lonesome Bedroom Blues,Blues - Live From Mountain Stage,William Clarke,243.9ø
Way Up,Selfish Lover (Greensleeves 30th Anniversary Edition),J.C. Lodge,247.9ø
Selfish Lover,Selfish Lover (Greensleeves 30th Anniversary Edition),J.C. Lodge,232.8ø
