End Of Time,Danzig,Danzig,242.9ø
Main Titles,Charlie and the Chocolate Factory - Original Soundtrack,Danny Elfman,299.4ø
Main Title,Dolores Claiborne,Danny Elfman,165.4ø
The Street Beat,Bird Lives Volume 1,Charlie Parker,158.7ø
Donna Lee,BeBop Volume 1,Charlie Parker,156.6ø
Misery'n,Janis,Janis Joplin,247.8ø
We've Saved The Best For Last,Ultimate Kenny G,Kenny G,256.3ø
One Minute Of Silence,Ultramega OK,Soundgarden,61.9ø
Nazi Driver,Ultramega OK,Soundgarden,237.9ø
Mood For Trouble,Ultramega OK,Soundgarden,265.6ø
Circle Of Power,Ultramega OK,Soundgarden,126.4ø
Beyond The Wheel,Ultramega OK,Soundgarden,262.0ø
665,Ultramega OK,Soundgarden,97.4ø
You Make Me,Permanent Record: Al In The Box,Weird Al Yankovic,186.9ø
Velvet Elvis,Even Worse,Weird Al Yankovic,269.2ø
Twister,Even Worse,Weird Al Yankovic,66.1ø
Stuck In A Closet With Vanna White,Even Worse,Weird Al Yankovic,301.7ø
(This Song's Just) Six Words Long,Even Worse,Weird Al Yankovic,218.1ø
Deeper Than The Holler,Deeper Than The Holler / It's Out Of My Hands [Digital 45],Randy Travis,219.1ø
Wake Up Sunshine (Remastered LP Version),Chicago II,Chicago,149.2ø
Victorious (Album Version),Chicago 19,Chicago,362.8ø
To Be Free  (Remastered LP Version),Chicago II,Chicago,74.8ø
P.M. Mourning (Remastered LP Version),Chicago II,Chicago,118.0ø
It Better End Soon_ 3rd Movement (Remastered LP Version),Chicago II,Chicago,198.4ø
It Better End Soon_ 1st Movement (Remastered LP Version),Chicago II,Chicago,153.4ø
25 Or 6 To 4 (Remastered LP Version),Chicago II,Chicago,289.8ø
The Man That Got Away,Get Happy: The Harold Arlen Centennial Celebration,Ella Fitzgerald,318.6ø
The Nearness Of You,Sarah Vaughan In Hi-Fi,Sarah Vaughan,201.5ø
Street Of Dreams,After Hours,Sarah Vaughan,184.7ø
Pinky,The Divine One,Sarah Vaughan,163.3ø
Nice Work If You Can Get It,The Essential Sarah Vaughan Collection,Sarah Vaughan,157.3ø
Totally Nude,Naked,Talking Heads,251.1ø
Cool Water,Naked,Talking Heads,322.3ø
Bill,Naked,Talking Heads,202.4ø
(Nothing But) Flowers (Lillywhite Mix),Remixed,Talking Heads,452.2ø
Two Weeks In Another Town,Creator,Lemonheads,92.5ø
Postcard,Creator,Lemonheads,190.9ø
Die Right Now,Creator,Lemonheads,146.9ø
Clang Bang Clang,Creator,Lemonheads,136.4ø
Who Cares Wins,Anthrology: No Hit Wonders (1985-1991),Anthrax,458.2ø
Now It's Dark,Live: The Island Years,Anthrax,352.4ø
Misery Loves Company,State Of Euphoria,Anthrax,341.5ø
Make Me Laugh,Colour Collection,Anthrax,341.2ø
Finale,Anthrology: No Hit Wonders (1985-1991),Anthrax,351.1ø
Antisocial,Music Of Mass Destruction,Anthrax,291.4ø
13,State Of Euphoria,Anthrax,51.2ø
Sax And Violins (2005 Digital Remaster),Naked,Talking Heads,317.5ø
Ruby Dear,Naked,Talking Heads,230.3ø
Facts Of Life,Naked,Talking Heads,387.6ø
Alaska And Me,The John Denver Collection_ Vol. 5: Calypso,John Denver,164.7ø
Buttermilk Biscuits (Keep On Square Dancin'),Playlist: The Very Best Of Sir Mix-A-Lot,Sir Mix-A-Lot,209.7ø
THAT'S THE WAY I WANNA ROCK AND ROLL,Blow Up Your Video,AC|DC,225.0ø
Vox (Extended Version),Touch,Sarah McLachlan,409.7ø
Vox,Closer: The Best Of Sarah McLachlan,Sarah McLachlan,292.2ø
Sad Clown,Touch,Sarah McLachlan,268.9ø
Out Of The Shadows,Touch,Sarah McLachlan,299.2ø
Twist Y Gritos (Twist & Shout),El Ritmo Mundial,Los Fabulosos Cadillacs,151.9ø
Tengo Solamente Dos Maneras De Estar Cerca Del Cielo,El Ritmo Mundial,Los Fabulosos Cadillacs,179.0ø
Siempre Me Hablaste De Ella,Obras Cumbres (Parte 2),Los Fabulosos Cadillacs,153.1ø
Revolution Rock,El Ritmo Mundial,Los Fabulosos Cadillacs,298.7ø
Nro. 2 En Tu Lista,Obras Cumbres,Los Fabulosos Cadillacs,232.3ø
For You,The Classics,John Denver,199.4ø
Turn My Back On You,Stronger Than Pride,Sade,366.7ø
Siempre Hay Esperanza,Stronger Than Pride,Sade,316.0ø
Paradise,Lovers Live,Sade,272.0ø
Nothing Can Come Between Us,Stronger Than Pride,Sade,262.8ø
Love Is Stronger Than Pride,The Best Of Sade,Sade,260.2ø
Keep Looking,Stronger Than Pride,Sade,321.6ø
I Never Thought I'd See The Day,Stronger Than Pride,Sade,253.2ø
Give it Up,Stronger Than Pride,Sade,230.6ø
Clean Heart,Stronger Than Pride,Sade,241.7ø
Send Me The Pillow,Buenas Noches From A Lonely Room,Dwight Yoakam,180.5ø
One More Name,Buenas Noches From A Lonely Room,Dwight Yoakam,186.2ø
Floyd County,Buenas Noches From A Lonely Room,Dwight Yoakam,175.7ø
The song is you,The Quintessence Vol.2 : New-York-Los Angeles-Toronto 1947-1954,Charlie Parker,179.5ø
Salt Peanuts,Jazz At Massey Hall,Charlie Parker Quintet,464.5ø
Riff Raff,The Very Best Of Charlie Parker,Charlie Parker,134.4ø
Ko ko,The Quintessence Vol.2 : New-York-Los Angeles-Toronto 1947-1954,Charlie Parker,305.5ø
I Can't Get Started,Lover Man,Charlie Parker,187.2ø
Hot House,Groovin' High,Charlie Parker,191.1ø
Groovin' High,Greatest Hits,Charlie Parker,344.5ø
Confirmation,The Quintessence Vol.2 : New-York-Los Angeles-Toronto 1947-1954,Charlie Parker,183.2ø
Blues for alice,The Quintessence Vol.2 : New-York-Los Angeles-Toronto 1947-1954,Charlie Parker,172.3ø
Ballade,Charlie Parker,Charlie Parker,181.0ø
April In Paris,Bird Feathers,Charlie Parker,188.2ø
People Get Ready [Live In Europe],Live In Europe,Curtis Mayfield,218.8ø
Don't Walk Away,Pat Benatar-The Collection,Pat Benatar,290.4ø
Crawling King Snake,Rock With Me,John Lee Hooker,237.3ø
Till Then (Time Stands Still),Hold Me In Your Arms,Rick Astley,197.1ø
Take Me To Your Heart,Playlist: The Very Best Of Rick Astley,Rick Astley,207.3ø
She Wants To Dance With Me,Hold Me In Your Arms,Rick Astley,196.4ø
I'll Never Let You Down,The Best Of,Rick Astley,237.2ø
I Don't Want To Lose Her,Hold Me In Your Arms,Rick Astley,213.3ø
I Don't Want To Be Your Lover,3 Originals,Rick Astley,241.1ø
Hold Me In Your Arms,Greatest Hits,Rick Astley,261.7ø
Giving Up On Love,Platinum & Gold Collection,Rick Astley,247.4ø
Dial My Number,Love Songs,Rick Astley,249.4ø
Ain't Too Proud To Beg,Hold Me In Your Arms,Rick Astley,258.1ø
Limehouse,Pod,The Breeders,105.1ø
Fortunately Gone,Pod,The Breeders,104.9ø
Doe,Pod,The Breeders,126.8ø
Satin Doll,Three Classic Albums & More (Historically Speaking - The Duke / Duke Ellington Presents / Ellington 55) (Digitally Remastered),Duke Ellington,181.8ø
Jitterbug's Lullaby,Ellington Sidemen,Duke Ellington,181.0ø
Elsewhere,Direct,Vangelis,342.9ø
Pyramid,Blue Light,Duke Ellington,171.5ø
In a Sentimental Mood,Blue Feeling - The Complete Recordings 1933 - 1936,Duke Ellington,196.8ø
For Phoebe Still A Baby,Blue Bell Knoll (Remastered),Cocteau Twins,194.9ø
When Seasons Change [Live In Europe],Live In Europe,Curtis Mayfield,319.9ø
We've Only Just Begun [Live In Europe],Live In Europe,Curtis Mayfield,234.1ø
Move On Up [Live In Europe],Live In Europe,Curtis Mayfield,491.7ø
It's All Right/Amen [Live In Europe],Live In Europe,Curtis Mayfield,233.6ø
Gypsy Woman [Live In Europe],Live In Europe,Curtis Mayfield,253.4ø
[Don't Worry] If There's A Hell Below_ We're All Going To Go,Live In Europe,Curtis Mayfield,325.5ø
Peace In Our Time,The Universal Masters Collection,Big Country,276.2ø
Longest Day,Peace In Our Time,Big Country,398.0ø
Julio Iglesias,Hairway To Steven,Butthole Surfers,185.1ø
Fast,Hairway To Steven,Butthole Surfers,95.8ø
Backass,Hairway To Steven,Butthole Surfers,367.6ø
Polka Dots And Moonbeams,Sings Standards,Cassandra Wilson,346.2ø
I'm Old Fashioned,Total Woman,Cassandra Wilson,189.0ø
The Pirate Of Penance (LP Version),Joni Mitchell,Joni Mitchell,164.3ø
The Dawntreader (LP Version),Joni Mitchell,Joni Mitchell,304.2ø
Song To A Seagull (LP Version),Joni Mitchell,Joni Mitchell,231.5ø
Nathan La Franeer (LP Version),Joni Mitchell,Joni Mitchell,200.7ø
My Secret Place,Chalk Mark In A Rain Storm,Joni Mitchell,301.9ø
Botella De Humo,Obras Cumbres (Parte 2),Los Fabulosos Cadillacs,147.6ø
When The Night Comes,One Night Of Sin,Joe Cocker,318.4ø
Threw It Away,Allman Bros Band/ Eric Clapton/ Joe Cocker,Joe Cocker,210.0ø
Why? (LP Version),Tracy Chapman,Tracy Chapman,126.4ø
Talkin' Bout A Revolution (LP Version),Tracy Chapman,Tracy Chapman,159.1ø
She's Got Her Ticket (LP Version),Tracy Chapman,Tracy Chapman,234.5ø
Mountains O' Things  (LP Version),Tracy Chapman,Tracy Chapman,279.4ø
If Not Now... (LP Version),Tracy Chapman,Tracy Chapman,181.3ø
For You (LP Version),Tracy Chapman,Tracy Chapman,189.5ø
For My Lover (LP Version),Tracy Chapman,Tracy Chapman,192.4ø
Fast Car (LP Version),Tracy Chapman,Tracy Chapman,296.1ø
Behind The Wall (LP Version),Tracy Chapman,Tracy Chapman,109.5ø
Baby Can I Hold You (LP Version),Tracy Chapman,Tracy Chapman,193.1ø
Across The Lines (LP Version),Tracy Chapman,Tracy Chapman,204.7ø
I've Grown Accustomed To His Face,Women,Cassandra Wilson,312.8ø
These Early Days,Idlewild,Everything But The Girl,230.2ø
The Night I Heard Caruso Sing,Home Movies - The Best of Everything But The Girl,Everything But The Girl,175.5ø
Tears All Over Town,Idlewild,Everything But The Girl,275.3ø
Shadow On A Harvest Moon,Idlewild,Everything But The Girl,219.5ø
Oxford Street,Idlewild,Everything But The Girl,200.1ø
Love Is Here Where I Live,Idlewild,Everything But The Girl,228.9ø
Goodbye Sunday,Idlewild,Everything But The Girl,240.1ø
Each And Everyone,Eden,Everything But The Girl,167.6ø
Blue Moon Rose,Idlewild,Everything But The Girl,217.3ø
September,Revolutions,Jean Michel Jarre,233.3ø
They Call Me Muddy Waters,Rollin' Stone - A Golden Anniversary,Muddy Waters,202.1ø
She's All Right,One More Mile,Muddy Waters,147.7ø
Just To Be With You,Muddy Waters Long Distant Call,Muddy Waters,302.8ø
Hoochie Coochie Man,One More Mile / Chess Collectibles_ Vol. 1,Muddy Waters,148.6ø
Crawlin' Kingsnake,One More Mile / Chess Collectibles_ Vol. 1,Muddy Waters,151.5ø
(I'm Your) Hoochie Coochie Man,Chess Pieces: The Very Best Of Chess Records,Muddy Waters,172.0ø
Blue Room,Two A Day,Chet Baker,473.0ø
Work For Your Money,The Chess Box,Howlin' Wolf,141.3ø
My Mind Is Ramblin',Louis_ Dust My Broom On The Killing Floor,Howlin' Wolf,166.1ø
Little Red Rooster,Evil,Howlin' Wolf,375.8ø
Just My Kind,I'm The Wolf,Howlin' Wolf,190.3ø
I'm The Wolf,Sings The Blues,Howling Wolf,183.6ø
I Didn't Know,The Chess Box,Howlin' Wolf,157.6ø
Hidden Charms,The Chess Box,Howlin' Wolf,143.5ø
Goin' Down Slow,Evil,Howlin' Wolf,490.8ø
When I Was A Painter,Pod,The Breeders,204.2ø
Glorious,Pod,The Breeders,204.4ø
Tweedle Dee,Ike & Tina Turner's Big Beat Box_ Vol. 1,Ike & Tina Turner,191.4ø
The Loco-motion,The Best Of (Digitally Remastered),Ike & Tina Turner,129.1ø
Something's Got A Hold On Me,So Fine,Ike_ Tina Turner,220.4ø
Louie Louie,The Ike & Tina Turner Archive Series : Hits & Classics Vol.1 & 2,Ike & Tina Turner,161.6ø
Ain't That A Shame,The Archive Series Vol. 3 - Movin',Ike & Tina Turner,148.1ø
You Gonna Wreck My Life,His Best_ Vol.2,Howlin' Wolf,153.1ø
Tell Me I'm Not Dreaming,LIVE AT THE APOLLO,Robert Palmer,212.3ø
More Than Ever,LIVE AT THE APOLLO,Robert Palmer,181.7ø
Change His Ways,LIVE AT THE APOLLO,Robert Palmer,179.9ø
Between Us,LIVE AT THE APOLLO,Robert Palmer,201.4ø
The Will Of The Wind,Direct,Vangelis,284.1ø
