I Wanna Get To Know You,It's Real,K-Ci & JoJo,280.4ø
These Are They,How Sweet it Was,Mahalia Jackson,210.0ø
Virpi,ua ua,Zen Cafe,189.8ø
Surullinen aina,ua ua,Zen Cafe,229.1ø
Harri,ua ua,Zen Cafe,224.5ø
Aikuinen,ua ua,Zen Cafe,234.9ø
1/2/03,ua ua,Zen Cafe,226.2ø
La Vida es un Carnaval,La Formula,Issac Delgado,305.6ø
La Sandunguita,Grandes Exitos Vol. 1,Isaac Delgado,233.0ø
Largometraje,Largometraje,La Habitacion Roja,264.3ø
Invierno,Largometraje,La Habitacion Roja,329.5ø
Shecan (Jamie Anderson Remix),Shecan,L.S.G.,394.7ø
Shecan,Shecan,L.S.G.,533.5ø
Phorous (John Johnson Remix),Into Deep Remixes,L.S.G.,429.0ø
El Tiburon (Holy Ghost Remix),Into Deep Remixes,L.S.G.,336.2ø
HINMANN OG EG,CoolTur,Hellbillies,275.2ø
What Will I Do,The Best Of Clannad,Clannad,330.9ø
Weary Blues,The Very Best of the McGuire Sisters,The McGuire Sisters,164.8ø
Valonkantaja,Valonkantaja (2009 Remix Bundle),Tehosekoitin,260.5ø
Ote irtoaa,Kaikki Nuoret Tyypit - 18 Suosikkia,Tehosekoitin,255.3ø
Laura,Kaikki Nuoret Tyypit - 18 Suosikkia,Tehosekoitin,367.0ø
Asfaltti polttaa,Kaikki Nuoret Tyypit - 18 Suosikkia,Tehosekoitin,218.5ø
Una Fiebra (vivo),Vivo,Joe Vasconcellos,184.8ø
Suelta La Pepa (vivo),Vivo,Joe Vasconcellos,121.8ø
Sed De Gol (vivo),Vivo,Joe Vasconcellos,185.0ø
Quieto (vivo),Vivo,Joe Vasconcellos,276.8ø
Preemergencia (vivo),Vivo,Joe Vasconcellos,188.3ø
Me Demoro (vivo),Vivo,Joe Vasconcellos,255.9ø
La Funa (vivo),Vivo,Joe Vasconcellos,145.1ø
Induce (vivo),Vivo,Joe Vasconcellos,270.8ø
Huellas (vivo),Vivo,Joe Vasconcellos,375.0ø
De Terror (vivo),Vivo,Joe Vasconcellos,230.7ø
Conciencia (vivo),Vivo,Joe Vasconcellos,167.7ø
Ciudad Traicionera (vivo),Vivo,Joe Vasconcellos,276.4ø
Ciudad traicionera,Taxi para 3,Joe Vasconcellos,251.1ø
You Be My Everything,Two Teardrops,Steve Wariner,205.0ø
Two Teardrops,Two Teardrops,Steve Wariner,269.9ø
The Harry Shuffle (Instrumental),Two Teardrops,Steve Wariner,98.5ø
Tattoos Of Life,Two Teardrops,Steve Wariner,190.4ø
So Much,Two Teardrops,Steve Wariner,186.0ø
Since You Walked Away,Two Teardrops,Steve Wariner,252.7ø
If You Don't Know By Now,Two Teardrops,Steve Wariner,209.6ø
I'll Always Have Denver,Two Teardrops,Steve Wariner,278.0ø
Hands Of Time,Two Teardrops,Steve Wariner,158.4ø
Travelogue,Keep It Unreal,Mr. Scruff,325.9ø
My Midnight,Live In Brussels,Steve Wynn & The Dragon Bridge Orchestra,328.6ø
Nothing Hits Your Heart Like Soul Music,The Best Of,Mica Paris,266.4ø
These Three Words,For Once In My Life,Trijntje Oosterhuis,330.2ø
My Cherie Amour,For Once In My Life,Trijntje Oosterhuis,243.4ø
Living For The City,For Once In My Life,Trijntje Oosterhuis,301.9ø
Il Rosso Amore,IL Rosso Amore,Filippa Giordano,274.8ø
Dove Andiamo Noi,IL Rosso Amore,Filippa Giordano,272.2ø
Che Luce Sei,IL Rosso Amore,Filippa Giordano,272.5ø
Problemas,Os Replicantes,Os Replicantes,232.5ø
Frankestein Bonito,Os Replicantes,Os Replicantes,207.9ø
Un Mundo Perdido,Largometraje,La Habitacion Roja,341.0ø
Eurovision,Largometraje,La Habitacion Roja,274.6ø
Espiral,Largometraje,La Habitacion Roja,272.2ø
Cronico,Largometraje,La Habitacion Roja,313.6ø
Ahora,Largometraje,La Habitacion Roja,252.7ø
23,Largometraje,La Habitacion Roja,231.7ø
Bring It All Back,S Club,S Club 7,216.2ø
Viaggio Al Centro Del Mondo - Eiffel 65 Rmx  ( Gabry Ponte Radio Cut ),Viaggio Al Centro Del Mondo,883,259.2ø
Nient'altro che noi,Grazie mille,883,271.9ø
La rana e lo scorpione,Grazie mille,883,329.1ø
Grazie Mille,Love life L'amore e la vita al tempo degli 883,883,243.2ø
Dopo il solito bip,Grazie mille,883,292.1ø
Almeno una volta,Grazie mille,883,220.4ø
Weather With An Edge (LP Version),Boom Dot Bust,The Firesign Theatre,88.5ø
Three Schnooks In A Boat (LP Version),Boom Dot Bust,The Firesign Theatre,292.7ø
The Good_ The Fatt and The Ugly (LP Version),Boom Dot Bust,The Firesign Theatre,279.4ø
The Digging Of Elmertown (LP Version),Boom Dot Bust,The Firesign Theatre,77.9ø
Kane (LP Version),Boom Dot Bust,The Firesign Theatre,84.7ø
Inside The Money Bubble (LP Version),Boom Dot Bust,The Firesign Theatre,125.5ø
Gov. Bill Williams Tornado Preserve (LP Version),Boom Dot Bust,The Firesign Theatre,103.2ø
Dishnet Sports Wrap-Up (LP Version),Boom Dot Bust,The Firesign Theatre,80.9ø
Buy The Numbers (LP Version),Boom Dot Bust,The Firesign Theatre,66.7ø
Boom Dot Bust (LP Version),Boom Dot Bust,The Firesign Theatre,35.8ø
Back Room At The Ash 'N' Onion (LP Version),Boom Dot Bust,The Firesign Theatre,216.1ø
We Go Together,Backline Volume 64,The Moonglows,162.9ø
Most Of All,Doo Wop Classics Vol. 9,The Moonglows,185.6ø
Mi vecina,Los Mejores,Grupo Gale,262.4ø
Homenaje,Galeria,Grupo Gale,377.2ø
Beso A Beso,15 Aniversario,Grupo Gale,294.6ø
Amor secreto,Los Mejores,Grupo Gale,281.4ø
Your Goodness,Reality Check,LMS,256.5ø
Wicked Manslaughter,Reality Check,LMS,218.3ø
Wicked Man Clique,Reality Check,LMS,235.9ø
Think Twice,Reality Check,LMS,258.7ø
Sound In The Air,Reality Check,LMS,292.5ø
Saddle Up,Reality Check,LMS,234.3ø
Here We Come,Reality Check,LMS,228.6ø
Girl From Kingston Town,Reality Check,LMS,294.5ø
