This Time,"The Songs Of Dwight Yoakam ""Will Sing For Food",David Ball,224.2ø
Orange Colored Sky,Somebody Loves Me,Betty Hutton,162.9ø
X-Static Floatations,Music From The Aural Exciter,Big Muff,327.7ø
X-Static,Music From The Aural Exciter,Big Muff,288.9ø
Vavavoom,Music From The Aural Exciter,Big Muff,239.2ø
To The Bone,Music From The Aural Exciter,Big Muff,353.1ø
Soultown,Music From The Aural Exciter,Big Muff,229.1ø
Pornstar,Pornstar,Big Muff,425.8ø
Poppy's Song,Music From The Aural Exciter,Big Muff,317.8ø
Feel What You Know,Feel What You Know,Big Muff,258.5ø
Erotic Manifesto,Music From The Aural Exciter,Big Muff,282.5ø
Divine Intervention,Music From The Aural Exciter,Big Muff,493.7ø
If My Complaints Could Passions Move,The Renaissance Album,Keola Beamer,142.0ø
Take Me Back To East St. Louis,The Moon Is Rising,Earl Hooker,253.3ø
Swingin' At Theresa's,The Moon Is Rising,Earl Hooker,469.2ø
Strung Out Woman Blues,The Moon Is Rising,Earl Hooker,298.7ø
Little Carey's Jump,The Moon Is Rising,Earl Hooker,231.5ø
Improvisations On Frosty,The Moon Is Rising,Earl Hooker,400.8ø
Improvisations On Dust My Broom,The Moon Is Rising,Earl Hooker,463.3ø
Hooker N' Steve,The Moon Is Rising,Earl Hooker,405.2ø
Guitar Rumba,Chess Blues Guitar / Two Decades Of Killer Fretwork_ 1949-1969,Earl Hooker,177.7ø
Can't Hold Out Much Longer,The Moon Is Rising,Earl Hooker,553.8ø
We Are Everywhere,Completely Dehumanized,December Wolves,251.6ø
To Kill Without Emotion,Completely Dehumanized,December Wolves,230.2ø
Time Flies When You Wish You Were Dead,Completely Dehumanized,December Wolves,163.1ø
The Guard Division,Completely Dehumanized,December Wolves,315.4ø
Not With Tainted Blood,Completely Dehumanized,December Wolves,271.7ø
My Bible,Completely Dehumanized,December Wolves,245.1ø
Friday The 13th,Completely Dehumanized,December Wolves,185.7ø
Conditioned By The Thoughts That I Send To You,Completely Dehumanized,December Wolves,30.2ø
Completely Dehumanized,Completely Dehumanized,December Wolves,174.0ø
Nada Que Perder,Nueva Era,Amistades Peligrosas,257.6ø
Vagabundo,Ostinato,Dominique Dalcan,238.6ø
Transatlantique,Ostinato,Dominique Dalcan,229.0ø
Ritmo 2,Ostinato,Dominique Dalcan,128.4ø
Ritmo 1,Ostinato,Dominique Dalcan,177.8ø
Ma Peau Est Noire,Ostinato,Dominique Dalcan,236.7ø
La Valse de l'Amour,Ostinato,Dominique Dalcan,223.1ø
La Petite Mort,Ostinato,Dominique Dalcan,200.8ø
L'Amour Eclaire,Ostinato,Dominique Dalcan,332.4ø
L'Air De Rien,Music Hall,Dominique Dalcan,208.7ø
Individualistic,Ostinato,Dominique Dalcan,224.8ø
33,Ostinato,Dominique Dalcan,242.1ø
Tu Sais I Know,Kamikaze,Ysa Ferrer,220.4ø
Tie Dye,Kamikaze,Ysa Ferrer,237.4ø
Sur La Balance,Kamikaze,Ysa Ferrer,288.6ø
Les Yeux Dans Les Yeux,Kamikaze,Ysa Ferrer,215.6ø
Kamikaze Love Affair,Kamikaze,Ysa Ferrer,253.1ø
Ideal,Kamikaze,Ysa Ferrer,289.0ø
Circonstanciel,Kamikaze,Ysa Ferrer,267.5ø
Tossin' n Turnin',Deep 3,Cigar Store Indians,148.7ø
Overboard,Rock Don't Run Vol. 3,The Fathoms,166.0ø
Love Bug,The Funk Jazz Brothers,Reuben Wilson,490.1ø
The Entertainer,Scott Joplin Greatest Hits,Dick Hyman,267.5ø
Illinois Blues,The Soul Of A Man - A Film By Wim Wenders,Alvin Youngblood Hart,253.4ø
Moment 99,Moments,Lull,162.6ø
Moment 98,Moments,Lull,84.9ø
Moment 94,Moments,Lull,44.6ø
Moment 93,Moments,Lull,46.3ø
Moment 88,Moments,Lull,71.3ø
Moment 87,Moments,Lull,102.9ø
Moment 86,Moments,Lull,34.0ø
Moment 85,Moments,Lull,61.1ø
Moment 84,Moments,Lull,49.9ø
Moment 83,Moments,Lull,43.3ø
Moment 82,Moments,Lull,48.2ø
Moment 81,Moments,Lull,32.9ø
Moment 71,Moments,Lull,54.8ø
Moment 63,Moments,Lull,44.3ø
Moment 62,Moments,Lull,55.9ø
Moment 61,Moments,Lull,60.9ø
Moment 60,Moments,Lull,43.1ø
Moment 59,Moments,Lull,31.2ø
Moment 58,Moments,Lull,41.4ø
Moment 57,Moments,Lull,37.5ø
Moment 50,Moments,Lull,76.1ø
Moment 49,Moments,Lull,50.2ø
Moment 48,Moments,Lull,45.0ø
Moment 41,Moments,Lull,44.3ø
Moment 4,Moments,Lull,47.9ø
Moment 39,Moments,Lull,42.7ø
Moment 36,Moments,Lull,55.3ø
Moment 35,Moments,Lull,54.5ø
Moment 3,Moments,Lull,57.7ø
Moment 24,Moments,Lull,35.7ø
Moment 23,Moments,Lull,54.2ø
Moment 22,Moments,Lull,32.4ø
Moment 21,Moments,Lull,32.5ø
Moment 2,Moments,Lull,94.7ø
Moment 17,Moments,Lull,32.5ø
Moment 15,Moments,Lull,37.3ø
Moment 14,Moments,Lull,35.2ø
Moment 13,Moments,Lull,46.3ø
Moment 12,Moments,Lull,80.9ø
Moment 1,Moments,Lull,68.4ø
Diarabi,Sya,Issa Bagayogo,376.7ø
Your Presence Is My Favorite Gift,Crowd Favorites,Claire Lynch,145.1ø
Who Do You Know,Friends For A Lifetime,Claire Lynch,157.5ø
There Is A Fountain,Friends For A Lifetime,Claire Lynch,242.4ø
Paul And Peter Walked,Friends For A Lifetime,Claire Lynch,154.4ø
My Name Is Judas,Friends For A Lifetime,Claire Lynch,182.5ø
He Leadeth Me,Friends For A Lifetime,Claire Lynch,245.5ø
God Spoke His Name,Friends For A Lifetime,Claire Lynch,131.4ø
Go And Do The Same,Friends For A Lifetime,Claire Lynch,221.5ø
Friends For A Lifetime,Friends For A Lifetime,Claire Lynch,176.0ø
Between The Two Of Them,Friends For A Lifetime,Claire Lynch,183.0ø
After The Storm,Friends For A Lifetime,Claire Lynch,228.2ø
Nordfjorloftet,Herrelaus,YGGDRASIL,190.7ø
Kongstunen,Herrelaus,YGGDRASIL,186.0ø
Gydaljod,Herrelaus,YGGDRASIL,202.5ø
Greven Av Bar Bakke,Herrelaus,YGGDRASIL,269.0ø
