Seven Days Too Long,The Complete Introduction To Northern Soul,Chuck Wood,144.2ø
Shangri-La,The Complete Hits Of Vic Dana,Vic Dana,126.0ø
Red Roses For A Blue Lady,The Complete Hits Of Vic Dana,Vic Dana,169.7ø
Love Is All We Need,The Complete Hits Of Vic Dana,Vic Dana,144.1ø
Little Altar Boy,The Complete Hits Of Vic Dana,Vic Dana,197.1ø
I Will,The Complete Hits Of Vic Dana,Vic Dana,161.0ø
Crystal Chandelier,The Complete Hits Of Vic Dana,Vic Dana,176.0ø
Bring A Little Sunshine (To My Heart),The Complete Hits Of Vic Dana,Vic Dana,158.0ø
Como Ayer,20 Exitos De Oro,Duo Dinamico,150.2ø
Amor Amargo,20 Exitos De Oro,Duo Dinamico,155.1ø
Weak Spot,I'll Run Your Hurt Away,Ruby Johnson,152.0ø
Tic-Tocative,Bert & John,Bert Jansch | John Renbourn,113.5ø
The Time Has Come,Bert & John,Bert Jansch | John Renbourn,170.7ø
Stepping Stones,Bert & John,Bert Jansch | John Renbourn,159.9ø
Soho,Bert & John,Bert Jansch | John Renbourn,177.4ø
Red's Favourite,Bert & John,Bert Jansch | John Renbourn,91.0ø
Piano Tune,Bert & John,Bert Jansch | John Renbourn,96.8ø
Orlando,Bert & John,Bert Jansch | John Renbourn,97.4ø
Goodbye Pork Pie Hat,Pentangling,Bert Jansch | John Renbourn,228.1ø
East Wind,Bert & John,Bert Jansch | John Renbourn,82.6ø
Along The Way,Bert & John,Bert Jansch | John Renbourn,120.2ø
After The Dance,Bert & John,Bert Jansch | John Renbourn,143.8ø
