Turkey In The Straw,Favorites & Rarities (World),Don McLean,39.3ø
BIRTH RITUAL,SINGLES - Original Motion Picture Soundtrack,Soundgarden,368.9ø
Tiempo En Una Botella,Animal Nocturno,Ricardo Arjona,145.9ø
Quien Diria,Animal Nocturno,Ricardo Arjona,233.1ø
Primera Vez,Animal Nocturno,Ricardo Arjona,224.7ø
Mujeres,Animal Nocturno,Ricardo Arjona,206.0ø
Libre,Historias,Ricardo Arjona,210.9ø
Como Olvidarte,Animal Nocturno,Ricardo Arjona,222.9ø
Baila Conmigo,Animal Nocturno,Ricardo Arjona,225.2ø
The Descent Of Long Satan and Babylon,All Dolled Up Like Christ,Current 93,170.0ø
A Sadness Song,All Dolled Up Like Christ,Current 93,257.5ø
You're All I Need To Get By,The Very Best Of Marvin Gaye,Tammi Terrell | Marvin Gaye,170.6ø
Spring,16 Biggest Hits,Tanya Tucker,234.3ø
An Old Fashioned Christmas,Christmas Collection,Carpenters,134.6ø
Gambler's Blues,Icons: B. B. King,B.B. King,286.6ø
You Won't See Me Cry,Shadows And Light,Wilson Phillips,232.5ø
Where Are You?,Shadows And Light,Wilson Phillips,322.6ø
This Doesn't Have To Be Love,Shadows And Light,Wilson Phillips,280.0ø
It's Only Life,Shadows And Light,Wilson Phillips,323.1ø
I Hear You,Shadows And Light,Wilson Phillips,126.1ø
Goodbye Carmen,Shadows And Light,Wilson Phillips,316.4ø
Give It Up,Shadows And Light,Wilson Phillips,289.6ø
Fueled for Houston,Shadows And Light,Wilson Phillips,254.4ø
Flesh And Blood,Shadows And Light,Wilson Phillips,334.8ø
Don't Take Me Down,Shadows And Light,Wilson Phillips,281.7ø
Alone,Shadows And Light,Wilson Phillips,316.3ø
All the Way from New York,Shadows And Light,Wilson Phillips,216.2ø
Volando solo,Deltoya,Extremoduro,211.3ø
Sol de invierno,Deltoya,Extremoduro,288.8ø
Papel secante,Deltoya,Extremoduro,298.2ø
Deltoya,Deltoya,Extremoduro,342.8ø
De acero,Deltoya,Extremoduro,223.7ø
Love Under Fire,Live In Japan,Asia,365.2ø
Aqua Part Two,Aqua,Asia,134.1ø
Ama_ Ama_ Ama Y Ensancha El Alma,Deltoya,Extremoduro,155.2ø
Over The Rainbow,Alpha Dog,Eva Cassidy,266.8ø
Niji Baby,Live In Japan,B.B. King,385.5ø
Lullabye,Patience,Over The Rhine,129.4ø
I've Been Slipping,Patience,Over The Rhine,297.7ø
How Does It Feel (Reprise),Patience,Over The Rhine,133.0ø
Circle Of Quiet,Best Of The IRS Years,Over The Rhine,255.8ø
Carrie,'Til Their Eyes Shine... The Lullaby Album,Rosanne Cash,203.4ø
Ode To Boy,Singles,Alison Moyet,187.2ø
T-R-O-U-B-L-E,T-R-O-U-B-L-E / Leave My Girl Alone [Digital 45],Travis Tritt,181.3ø
Leave My Girl Alone,T-R-O-U-B-L-E / Leave My Girl Alone [Digital 45],Travis Tritt,531.7ø
Ostatni Ciezki Rok (2003 Digital Remaster),The Singles,Dzem,236.1ø
Czlowieku_ Co Sie Z Toba Dzieje (2003 Digital Remaster),The Singles,Dzem,184.2ø
Someone Is Waiting,On Avery Island,Neutral Milk Hotel,151.7ø
Gardenhead / Leave Me Alone,On Avery Island,Neutral Milk Hotel,193.9ø
(I'm A) Stand By My Woman Man,Ronnie Milsap Sings His Best Hits For Capitol Records,Ronnie Milsap,184.2ø
Chi Ruba Nei Supermercati?,Canzoni D'Amore,Francesco De Gregori,297.1ø
Little Rich Boy,Live In Germany,Asia,293.4ø
Lay Down your Arms,Live In Japan,Asia,267.1ø
Back In Town,Live In Germany,Asia,249.4ø
The Cave Of Wonders,Aladdin Original Soundtrack Special Edition,Alan Menken,297.4ø
Marketplace,Aladdin Original Soundtrack Special Edition,Alan Menken,157.2ø
Happy End In Agrabah,Aladdin Original Soundtrack Special Edition,Alan Menken,255.0ø
Spaceman,Bigger_ Better_ Faster_ More !,4 Non Blondes,220.1ø
Pleasantly Blue,Bigger_ Better_ Faster_ More !,4 Non Blondes,148.4ø
Youth And Greed,Thunderheart,Wolfsheim,251.6ø
This Time,Hamburg-Rom (Live),Wolfsheim,201.0ø
Listen!,No Happy View,Wolfsheim,134.5ø
It's Not Too Late,No Happy View,Wolfsheim,218.4ø
Following You,No Happy View,Wolfsheim,298.9ø
Angry Today,No Happy View,Wolfsheim,236.1ø
A Look Into Your Heart,Thunderheart,Wolfsheim,224.8ø
...Can Manage...,No Happy View,Wolfsheim,245.7ø
Where The Runes Still Speak,Chapter VI,CANDLEMASS,522.0ø
The End Of Pain,Chapter VI,CANDLEMASS,272.5ø
The Ebony Throne,Chapter VI,CANDLEMASS,264.8ø
Temple Of The Dead,Chapter VI,CANDLEMASS,431.2ø
Julie Laughs No More,Chapter VI,CANDLEMASS,262.9ø
Brolopp Pa Hulda Johanssons Pensionat,Chapter VI,CANDLEMASS,165.3ø
Black Eyes,Chapter VI,CANDLEMASS,352.4ø
Aftermath,Chapter VI,CANDLEMASS,337.6ø
Quadrille,Anacrouse wind quintet (Danses 2),Cole Porter,89.3ø
Paranoimia (Featuring Max Headroom),The Best Of The Art Of Noise,Art Of Noise,199.5ø
O Holy Night,The Best Of Christmas,John Tesh,146.6ø
The Punisher,Don't Sweat The Technique,Eric B. & Rakim,250.2ø
