Outsider,Let's Get Pissed - It's Christmas,Terveet Kadet,47.1ø
Adieu,Something Wicked This Way Comes - Live at Claret Hall Farm & Stonehenge,The Enid,529.8ø
Zenica Blues,Sve Nase Godine 3,Zabranjeno Pusenje,144.4ø
Look At Me,Encore,Chris Bailey,206.4ø
Villivarsa,20 Suosikkia / Pure mua,Meiju Suvas,196.4ø
Disco Pocho,La Centralita de Informacion - Disco Libro,Derribos Arias,295.6ø
Your Uniform,Alma Mater Plus,Stockholm Monsters,177.2ø
Winter,Alma Mater Plus,Stockholm Monsters,190.0ø
Where I Belong,Alma Mater Plus,Stockholm Monsters,155.4ø
To Look At Her,Alma Mater Plus,Stockholm Monsters,289.8ø
Terror,Alma Mater Plus,Stockholm Monsters,174.5ø
Something's Got To Give,Alma Mater Plus,Stockholm Monsters,97.8ø
National Pastime,All At Once (Singles 1981-1987),Stockholm Monsters,160.8ø
Life's Two Faces,Alma Mater Plus,Stockholm Monsters,200.6ø
Five O'Clock,Alma Mater Plus,Stockholm Monsters,158.6ø
E.W.,Alma Mater Plus,Stockholm Monsters,211.7ø
Decalogue,Alma Mater Plus,Stockholm Monsters,330.0ø
All At Once,All At Once (Singles 1981-1987),Stockholm Monsters,175.1ø
Pork Chops,You Be Easy,Uzeb,341.3ø
On Top,You Be Easy,Uzeb,265.5ø
Fretless,You Be Easy,Uzeb,347.7ø
Vamos Muy Bien,El Que Mas,Obus,218.1ø
La Raya,El Que Mas,Obus,227.7ø
Juego Sucio,El Que Mas,Obus,269.5ø
F.M.,El Que Mas,Obus,146.3ø
Da Igual,El Que Mas,Obus,226.3ø
Autopista,El Que Mas,Obus,292.8ø
Alguien,El Que Mas,Obus,182.7ø
