Don't Smoke In Bed,Nina Simone In Concert / I Put A Spell On You,Nina Simone,327.0ø
Ronsard 58,Chansons de Paris_ vol.18,Serge Gainsbourg,116.3ø
L'Alcool,Chansons De Paris Vol.10,Serge Gainsbourg,247.3ø
La Recette De L'Amour Fou,Theatre Des Capucines,Serge Gainsbourg,110.2ø
La Femme Des Uns Sous Le Corps Des Autres,Theatre Des Capucines,Serge Gainsbourg,146.2ø
Sweet Little Sixteen,The Best of Chuck Berry,Chuck Berry,162.0ø
Reelin' And Rockin',Rock At The Philharmonic,Chuck Berry,192.6ø
Merry Christmas Baby,Backline - Special Christmas Edition 2,Chuck Berry,177.3ø
Johnny B. Goode,Sweet Little Rock & Roller - The Best of Chuck Berry - Remastered 2010,Chuck Berry,161.0ø
Guitar Boogie,Rock At The Philharmonic,Chuck Berry,137.1ø
Carol,Back In The Usa,Chuck Berry,166.6ø
Douze belles dans la peau,Chansons de Paris_ vol.16,Serge Gainsbourg,118.3ø
It's Only Make Believe,Kings & Queens Of Country,Conway Twitty,193.6ø
I'll Try,Super Hits,Conway Twitty,129.9ø
Baby Face,1959 Hit Parade,Little Richard,133.9ø
One O'Clock Jump,Benny Goodman: Very Best of Benny Goodman,Benny Goodman and His Orchestra,195.4ø
King Porter Stomp,The Swing Master,Benny Goodman,189.9ø
Celia,New York Sketchbook,Charles Mingus,469.1ø
Valley Of Tears,Valley Of Tears,Buddy Holly,129.4ø
Take Your Time,Not Fade Away: The Complete Studio Recordings And More,Buddy Holly,211.7ø
Rave On,Rock n Roll,Buddy Holly,108.8ø
I'm Gonna Love You Too,The Very Best Of Buddy Holly,Buddy Holly,134.4ø
Heartbeat,Love Songs - Buddy Holly,Buddy Holly,132.7ø
Twilight Time,Smoke Gets In Your Eyes,The Platters,215.2ø
Let It Roll,Little Richard,Little Richard,250.5ø
Heeby-Jeebies,He's Got It,Little Richard,136.3ø
By The Light Of The Silvery Moon,The Essential Little Richard,Little Richard,125.8ø
St. Louis Blues,Jazz Goes To Junior College,The Dave Brubeck Quartet,508.1ø
One Moment Worth Years,Jazz Goes To Junior College,The Dave Brubeck Quartet,537.0ø
My One Bad Habit,Plays For Lovers,Dave Brubeck,298.8ø
Slippin And Slidin',Little Richard,Little Richard,155.2ø
Good Golly Miss Molly,Talking 'Bout Soul,Little Richard,126.3ø
What Will I Tell My Heart,Backline Volume 61,Fats Domino,146.4ø
Thinking Of You,The Anthology,Fats Domino,133.3ø
Long Lonesome Journey,The Anthology,Fats Domino,151.7ø
Every Night About This Time,The Big Beat - The Early Hits Of Fats Domino,Fats Domino,127.6ø
Hong Kong Mambo,Vodoo Dance,Tito Puente,227.2ø
El Cayuco,Hoy y Ayer,Tito Puente,157.2ø
Varsity Drag,Hot Timpales,Tito Puente,170.0ø
Llego Mijan,Dance Mania,Tito Puente,196.1ø
Cuando Te Vea,Hot Timpales,Tito Puente,253.8ø
Spring Is Here,Mad About The Boy,Julie London,125.4ø
Little White Lies,Mad About The Boy,Julie London,168.5ø
If I'm Lucky,Mad About The Boy,Julie London,136.9ø
Hot Toddy,Sophisticated Lady,Julie London,111.9ø
Goody Goody,Mad About The Boy,Julie London,110.9ø
Wonderful! Wonderful!,Johnny Mathis,Johnny Mathis,169.5ø
Winter Wonderland,Merry Christmas,Johnny Mathis,198.0ø
White Christmas,Merry Christmas,Johnny Mathis,212.0ø
The First Noel,Merry Christmas,Johnny Mathis,228.1ø
The Christmas Song,Merry Christmas,Johnny Mathis,260.0ø
It's Not For Me To Say,Johnny'S Greatest Hits,Johnny Mathis,186.0ø
Blue Christmas,Merry Christmas,Johnny Mathis,182.1ø
Alligator Wine,High Heel Sneakers - Rock 'n' Roll Classics Vol. 2,Screamin' Jay Hawkins,224.7ø
Watusi Drums,In Your Own Sweet Way,Dave Brubeck Quartet,158.7ø
This Little Girl Of Mine,Rock 'n' Roll And Pop Hits_ The 50s_ Vol. 40,The Everly Brothers,135.2ø
That Silver Haired Daddy Of Mine,Spotlight On The Everly Brothers ,The Everly Brothers,190.2ø
Should We Tell Him,Forever The Everly Brothers,The Everly Brothers,126.2ø
Roving Gambler,The Second Album,Everly Brothers,219.8ø
Rip It Up,Be Bop A Lula,The Everly Brothers,136.1ø
Lightning Express,Spotlight On The Everly Brothers ,The Everly Brothers,123.0ø
Leave My Woman Alone,Rock-A-Hits,The Everly Brothers,171.7ø
I'm Here To Get My Baby Out Of Jail,Spotlight On The Everly Brothers ,The Everly Brothers,219.9ø
Hey Doll Baby,Forever The Everly Brothers,The Everly Brothers,125.9ø
Devoted To You,Rock & Roll Legenden (The Platters Vs. The Everly Brothers),The Everly Brothers,142.1ø
Claudette,Number 1 Hits Of 1958,Everly Brothers,136.1ø
Bird Dog,A Night At The Royal Albert Hall: The Complete Reunion Show,The Everly Brothers,168.0ø
All I Have To Do Is Dream,Number 1 Hits Of 1958,Everly Brothers,140.6ø
Yakety Yak,Rockin' Through the 50's,The Coasters,105.7ø
Tea For Two,Jazz Progressions,Oscar Peterson,178.0ø
Jo Jones Introduction,At Newport,Oscar Peterson,99.7ø
Autumn In New York,A Norman Granz Legacy: Songbooks Etcetera - Volumes 7 & 8,Oscar Peterson,236.1ø
's Wonderful,A Norman Granz Legacy: Songbooks Etcetera - Volumes 1 & 2,Oscar Peterson,160.0ø
