Let It Snow! Let It Snow! Let It Snow!,The Christmas Album,The Manhattan Transfer,274.6ø
Ye Kao Shei,My Way,Shirley Kwan,206.9ø
Xin Jian,My Way,Shirley Kwan,188.7ø
Xian Xuan Xing Guang Xia,My Way,Shirley Kwan,179.5ø
Tou Qu Wo Xin,My Way,Shirley Kwan,268.2ø
Shi Chu De Chuan Ji,My Way,Shirley Kwan,211.6ø
Rumour,My Way,Shirley Kwan,218.2ø
Ping Jing Li De Yi Zhan De,My Way,Shirley Kwan,250.9ø
Jing Shi Gan Jue,My Way,Shirley Kwan,243.2ø
Jin Zhang,My Way,Shirley Kwan,244.1ø
Gao Bie Lian Qu,My Way,Shirley Kwan,307.5ø
Chuang Nei Chuang Wai,My Way,Shirley Kwan,260.4ø
South Of The Valley,Mallard / In A Different Climate,Mallard,291.3ø
Wee Baby Blues,The Climax Chicago Blues Band,Climax Blues Band,203.9ø
Zahltag,Zahltag,Das Dritte Ohr,272.5ø
Shake Your Moneymaker,Pur,Das Dritte Ohr,211.3ø
