777,Danzig II-Lucifuge,Danzig,339.0ø
Kickin' And Stickin',I Can See You,Black Flag,84.3ø
Steamy Windows,The Platinum Collection,Tina Turner,244.8ø
World Gone Wild,Force Majeure,Doro,225.3ø
River Of Tears,Force Majeure,Doro,238.0ø
I Am What I Am,Force Majeure,Doro,158.0ø
Something About What Happens When We Talk,Car Wheels On A Gravel Road,Lucinda Williams,224.3ø
Bottom Line,Workin' Overtime,Diana Ross,245.0ø
Away From You,Encore,Sarah Brightman,209.1ø
One Shot At Love,Walking With A Panther,LL Cool J,258.9ø
Nitro,Walking With A Panther,LL Cool J,284.4ø
Jingling Baby,Mama Said Knock You Out,LL Cool J,300.0ø
Def Jam In The Motherland,Walking With A Panther,LL Cool J,275.3ø
Clap Your Hands,Walking With A Panther,LL Cool J,308.1ø
1-900 L.L. Cool J,Walking With A Panther,LL Cool J,181.6ø
La Javanaise,Theatre Des Capucines,Serge Gainsbourg,142.2ø
Jezebel,The Epic Masters Box Set,Shakin' Stevens,178.1ø
Blue Christmas,Hits And More,Shakin' Stevens,166.7ø
Your Love Stays With Me,Epic Recordings,Shelby Lynne,177.9ø
Till You Were Gone,Epic Recordings,Shelby Lynne,210.4ø
Thinking About You Again,Epic Recordings,Shelby Lynne,186.9ø
Let The Good Times Roll,Live At San Quentin,B.B. King,308.8ø
The Heretic (The Lost Child),The Headless Children,W.A.S.P.,442.9ø
Requiem Pour Un C...,Initials SG,Serge Gainsbourg,172.2ø
Wrath Of My Madness (Soulshock Remix),All Hail The Queen,Queen Latifah,334.1ø
Princess Of The Possee (DJ Mark  Remix),All Hail The Queen,Queen Latifah,246.5ø
Inside Out (LP Version),All Hail The Queen,Queen Latifah,256.2ø
Dance For Me (LP Version),All Hail The Queen,Queen Latifah,226.4ø
Come Into My House (LP Version),All Hail The Queen,Queen Latifah,258.0ø
Come Into My House,"Precious: Based On The Novel ""Push"" By Sapphire",Queen Latifah,252.6ø
Vamos A Bailar,Greatest Hits,Gipsy Kings,296.8ø
Trista Pena,Love Songs,Gipsy Kings,270.6ø
Soy,The Best Of,Gipsy Kings,189.8ø
Passion,Love Songs,Gipsy Kings,181.1ø
Camino,Gipsy Kings / Mosaique / Este mundo,Gipsy Kings,303.1ø
Basie Boogie,The Very Best Of,Count Basie,138.2ø
The Match Game,Tell The Truth,Otis Redding,175.3ø
Topaz (Album Version),Cosmic Thing,The B-52's,261.4ø
Rock Lobster (Live),Juliet of the Spirits,The B-52s,332.6ø
Junebug (Album Version),Cosmic Thing,The B-52's,305.9ø
Follow Your Bliss (Album Version),Cosmic Thing,The B-52's,249.3ø
Dry County (Album Version),Cosmic Thing,The B-52's,294.7ø
Deadbeat Club (Album Version),Cosmic Thing,The B-52's,296.0ø
Channel Z,Love Shack [edit] / Channel Z [Digital 45],The B-52's,290.4ø
Bushfire (Album Version),Cosmic Thing,The B-52's,297.1ø
Bushfire,Roam [Edit] / Bushfire [Digital 45],The B-52's,298.6ø
Beyond The Trees,Force Majeure,Doro,149.0ø
War Cry,The Headless Children,W.A.S.P.,332.6ø
The Real Me,The Headless Children,W.A.S.P.,200.1ø
The Neutron Bomber,The Headless Children,W.A.S.P.,249.0ø
Forever Free,The Best Of The Best,W.A.S.P.,308.8ø
For Whom The Bell Tolls,The Headless Children,W.A.S.P.,227.9ø
Nobody Knows Me,Live In Texas,Lyle Lovett,187.7ø
Here I Am,Live In Texas,Lyle Lovett,256.0ø
Chasing sheep is best left to shepherds,Nyman Brass,Michael Nyman,318.0ø
An Eye For Optical Theory,Film Music 1980 - 2001,Michael Nyman,310.7ø
This Is All I Ask (Album Version),Tenderly,George Benson,336.5ø
From Now On,This Is Jazz #9,George Benson,143.1ø
Body Talk,Body Talk,George Benson,560.4ø
Reach Out And Touch (Somebody's Hand) (Live),Greatest Hits Live,Diana Ross,223.9ø
The Watchtower,Preparing For War,Darkthrone,316.6ø
Eon,Preparing For War,Darkthrone,229.8ø
Archipelago,Preparing For War,Darkthrone,292.5ø
Accumulation Of Generalization,Preparing For War,Darkthrone,191.0ø
New Dawn,Archives Vol. 1,Delerium,291.6ø
My Time After A While,Roots Of Blues,Buddy Guy,186.0ø
Broken Hearted Blues,Blues Masterpieces Vol.3,Buddy Guy,194.6ø
Hooks In You (1997 Digital Remaster),Seasons End,Marillion,176.4ø
Stompin' At The Savoy,Music From The Motion Picture When Harry Met Sally...,Harry Connick_ Jr.,255.5ø
It Had To Be You (Big Band and Vocals),Music From The Motion Picture When Harry Met Sally...,Harry Connick_ Jr.,160.2ø
Autumn In New York,When Harry Met Sally... Music From The Motion Picture,Harry Connick_ Jr.,170.7ø
Year Of The Knife,The Seeds Of Love,Tears For Fears,431.9ø
Woman In Chains,Tears Roll Down (Greatest Hits 82-92),Tears For Fears | Oleta Adams,390.7ø
Swords And Knife,The Seeds Of Love,Tears For Fears,379.5ø
Standing On The Corner Of The Third World,The Seeds Of Love,Tears For Fears,334.5ø
My Life In The Suicide Ranks,Saturnine Martial & Lunatic,Tears For Fears,272.6ø
Boyz-N-The Hood,Eazy Duz It,Eazy-E,382.1ø
Summer Day Reflection Song,Summer Day Reflection Songs,Donovan,126.7ø
Nuovo Cinema Paradiso,Movie Classics (Favourites),Ennio Morricone,181.0ø
Falha Humana,Valsa Dos Detectives,GNR,249.1ø
1991,Valsa Dos Detectives,GNR,393.3ø
Waking The Dead,Controlled By Hatred/Feel Like Shit...  Deja-Vu,Suicidal Tendencies,414.6ø
