Down Seq,Down Seq,Rocha and Lewinger,449.8ø
Erdbeersaft,Disco Romance,Copy & Paste,139.3ø
I Don't Know Why I Care About You,Passing Through,Don Nix,245.4ø
System Collapse,Revolutionize Vol. 1: Dirt,Carphax Files,251.4ø
No More Man,Revolutionize Vol. 1: Dirt,Carphax Files,251.9ø
Laser Beams,Revolutionize Vol. 1: Dirt,Carphax Files,300.4ø
Kill Your Crush,Revolutionize Vol. 1: Dirt,Carphax Files,298.7ø
Godmakers,Revolutionize Vol. 1: Dirt,Carphax Files,238.1ø
God 3.0,Revolutionize Vol. 1: Dirt,Carphax Files,259.6ø
Constitutionalize,Revolutionize Vol. 1: Dirt,Carphax Files,263.0ø
What Sweeter Music,The Carols Album,The Choirboys,186.8ø
The Holly And The Ivy,The Carols Album,The Choirboys,211.5ø
Once In Royal David's City,The Carols Album,The Choirboys,187.5ø
O Little Town Of Bethlehem,The Carols Album,The Choirboys,210.0ø
O Come_ All Ye Faithfull,The Carols Album,The Choirboys,166.5ø
In The Bleak Midwinter,The Carols Album,The Choirboys,269.6ø
In Dulci Jubilo,The Carols Album,The Choirboys,108.5ø
Ding Dong! Merrily On High,The Carols Album,The Choirboys,129.4ø
Coventry Carol,The Carols Album,The Choirboys,216.5ø
Sirup,Blackbelt Andersen,Blackbelt Andersen,533.1ø
Quiero Cantarle Al Amor,Los Romanticos- Myriam Hernandez,Myriam Hernandez,192.9ø
Corazon Desorientado,Los Romanticos- Myriam Hernandez,Myriam Hernandez,189.4ø
Ay Amor,Los Romanticos- Myriam Hernandez,Myriam Hernandez,264.1ø
Rue Saint Malo,Les Temps Heureux,Les Ptits Yeux,241.4ø
Place Sainte Catherine,Les Temps Heureux,Les Ptits Yeux,183.5ø
Les Temps Heureux,Les Temps Heureux,Les Ptits Yeux,276.7ø
Les Ptits Yeux,Les Temps Heureux,Les Ptits Yeux,220.9ø
Le Dix Du Mois,Les Temps Heureux,Les Ptits Yeux,234.9ø
Le Croque Madame,Les Temps Heureux,Les Ptits Yeux,246.0ø
La Valse Du Bleizi Mor,Les Temps Heureux,Les Ptits Yeux,268.0ø
La Parisienne,Les Temps Heureux,Les Ptits Yeux,204.6ø
La Bourgeoise,Les Temps Heureux,Les Ptits Yeux,212.3ø
Gamin d'Vingt Ans,Les Temps Heureux,Les Ptits Yeux,350.7ø
Elsa,Les Temps Heureux,Les Ptits Yeux,343.8ø
Cinq Rue De La Gare,Les Temps Heureux,Les Ptits Yeux,265.0ø
Big City,Ultimate 60s,The Artwoods,129.1ø
Too Much Rock And Roll,Kitchen Table,Bex Marshall,194.5ø
Red Light,Kitchen Table,Bex Marshall,152.5ø
Kitchen Table,Kitchen Table,Bex Marshall,233.6ø
Hot Headed Man,Kitchen Table,Bex Marshall,204.7ø
Here Is My Heart,Kitchen Table,Bex Marshall,269.7ø
Head In The Clouds,Kitchen Table,Bex Marshall,193.2ø
Black Curtain,Kitchen Table,Bex Marshall,233.2ø
Bad Bad Girl,Kitchen Table,Bex Marshall,209.2ø
Winona Forever (The Tattoo Song),Guide To Personal Happiness,Lispector,177.8ø
Summer's Back,Guide To Personal Happiness,Lispector,196.2ø
Romantic At Heart,Guide To Personal Happiness,Lispector,113.5ø
Plane Traveller,Guide To Personal Happiness,Lispector,173.8ø
Palace Of My Soul,Guide To Personal Happiness,Lispector,132.3ø
Mixing You With Champagne,Guide To Personal Happiness,Lispector,235.5ø
Lispector Sur Une Balancoire,Guide To Personal Happiness,Lispector,165.7ø
Guide To Personal Happiness,Guide To Personal Happiness,Lispector,270.8ø
Wicked World,When The Beat Starts To Pound,Sub City Dwellers,110.2ø
When the Record Comes Kicking in,When The Beat Starts To Pound,Sub City Dwellers,223.6ø
Take Some Time,When The Beat Starts To Pound,Sub City Dwellers,294.0ø
Sweeya,When The Beat Starts To Pound,Sub City Dwellers,212.3ø
No More Lies,When The Beat Starts To Pound,Sub City Dwellers,319.5ø
Is This Normal?,When The Beat Starts To Pound,Sub City Dwellers,167.0ø
Go On!,When The Beat Starts To Pound,Sub City Dwellers,157.6ø
Give Up the Gun Tonight!,When The Beat Starts To Pound,Sub City Dwellers,152.5ø
Don't Believe It,When The Beat Starts To Pound,Sub City Dwellers,216.9ø
Chillin',When The Beat Starts To Pound,Sub City Dwellers,338.3ø
After My Heart,When The Beat Starts To Pound,Sub City Dwellers,261.0ø
Salome,Our Best Trips: 1998-2008,Spirits Burning,297.5ø
Every Gun Plays its own Tune,Our Best Trips: 1998-2008,Spirits Burning,194.4ø
Alien Injection,Our Best Trips: 1998-2008,Spirits Burning,329.2ø
En Esta Noche,Am goldenen Rhein,In Extremo,239.9ø
Trouble in Paradise,Bell's Digital Soundcheck,T.N.T,231.7ø
Stupide,Discorama,Bertrand Soulier,233.5ø
Post-It,Discorama,Bertrand Soulier,194.1ø
Pavillons sous Bois,Discorama,Bertrand Soulier,174.2ø
Morrison Suite,Discorama,Bertrand Soulier,133.0ø
Morrison Hotel,Discorama,Bertrand Soulier,201.9ø
Les amis de tes amis,Discorama,Bertrand Soulier,207.0ø
La vie de con,Discorama,Bertrand Soulier,137.2ø
L'abcd,Discorama,Bertrand Soulier,183.5ø
Discorama,Discorama,Bertrand Soulier,113.1ø
Atari,Discorama,Bertrand Soulier,179.2ø
Stuff In Your Pocket,Sticks and Stones,Underground Railroad,330.7ø
Sticks And Stones,Underground Railroad - Sticks And Stones,Underground Railroad,238.5ø
Six Pieds Sous Terre,Sticks and Stones,Underground Railroad,238.2ø
Poems For Freaks,Sticks and Stones,Underground Railroad,226.0ø
One More Hit,Sticks and Stones,Underground Railroad,183.8ø
NYC (Money Money),Sticks and Stones,Underground Railroad,243.8ø
New Variety,Sticks and Stones,Underground Railroad,162.0ø
Idealize,Sticks and Stones,Underground Railroad,223.0ø
25,Sticks and Stones,Underground Railroad,254.3ø
Castillian,Nick Warren - Lima - GU35,Thomas Sagstad,364.5ø
