Tired of Toein' the Line,Tired of Toein' the Line,Rocky Burnette,191.1ø
Tonight Ricky,B.A.B.Y - The Best Of Rachel Sweet,Rachel Sweet,201.6ø
Take Good Care Of Me,B.A.B.Y - The Best Of Rachel Sweet,Rachel Sweet,169.8ø
Spellbound,B.A.B.Y - The Best Of Rachel Sweet,Rachel Sweet,203.3ø
New Rose,B.A.B.Y - The Best Of Rachel Sweet,Rachel Sweet,134.1ø
New Age,B.A.B.Y - The Best Of Rachel Sweet,Rachel Sweet,255.8ø
Jealous,The Stiff Singles - Vol 5,Rachel Sweet,180.9ø
Foul Play,B.A.B.Y - The Best Of Rachel Sweet,Rachel Sweet,179.3ø
Your Little Pawn,Iron Curtain Innocence,Bobb Trimble,243.2ø
When The Raven Calls (demo version),Iron Curtain Innocence,Bobb Trimble,351.0ø
When The Raven Calls,Iron Curtain Innocence,Bobb Trimble,400.5ø
Through My Eyes (Hopeless As Hell: D.O.A.),Iron Curtain Innocence,Bobb Trimble,303.2ø
One Mile From Heaven (short version),Iron Curtain Innocence,Bobb Trimble,250.7ø
One Mile From Heaven (long version),Iron Curtain Innocence,Bobb Trimble,348.7ø
Night At The Asylum (demo version),Iron Curtain Innocence,Bobb Trimble,294.8ø
Night At The Asylum,Iron Curtain Innocence,Bobb Trimble,298.6ø
Killed By The Hands Of An Unknown Rock Starr,Iron Curtain Innocence,Bobb Trimble,335.1ø
Glass Menagerie Fantasies (demo version),Iron Curtain Innocence,Bobb Trimble,370.6ø
Glass Menagerie Fantasies,Iron Curtain Innocence,Bobb Trimble,353.4ø
Linda Lu,Bloomfield Blues,Mike Bloomfield,238.0ø
The Little Pot Stove,Penguin Eggs,Nic Jones,337.9ø
The Humpback Whale,Three Score & Ten - A Journey Back In Time,Nic Jones,365.3ø
The Flandyke Shore,Penguin Eggs,Nic Jones,173.5ø
The Drowned Lovers,Penguin Eggs,Nic Jones,387.0ø
Planxty Davis,Penguin Eggs,Nic Jones,171.0ø
Farewell To The Gold,Penguin Eggs,Nic Jones,317.9ø
Courting Is A Pleasure,Penguin Eggs,Nic Jones,317.3ø
Canadee - I - O,Penguin Eggs,Nic Jones,359.4ø
Barrack Street,Penguin Eggs,Nic Jones,269.0ø
White Rum,Trojan Dub Collection,Sly & The Revolutionaries,229.1ø
Marijuana,Trojan Dub Collection,Sly & The Revolutionaries,165.1ø
Black Ash,Trojan Dub Collection,Sly & The Revolutionaries,190.2ø
Wrong,More Great Hits!,Family Fodder,117.6ø
Symbols,More Great Hits!,Family Fodder,214.7ø
Philosophy,More Great Hits!,Family Fodder,168.5ø
Love Song,More Great Hits!,Family Fodder,131.1ø
Cerf Volant,More Great Hits!,Family Fodder,297.3ø
Bass Adds Bass,More Great Hits!,Family Fodder,317.5ø
Banana,More Great Hits!,Family Fodder,192.7ø
That's What John Said,Airport - The Motors Greatest Hits,The Motors,307.8ø
Tenement Steps,Airport - The Motors Greatest Hits,The Motors,282.5ø
Metropolis,Airport - The Motors Greatest Hits,The Motors,285.7ø
Love And Loneliness,Airport - The Motors Greatest Hits,The Motors,291.0ø
Here Comes The Hustler,Airport - The Motors Greatest Hits,The Motors,217.1ø
Starflight,Der Kommissar,After The Fire,271.9ø
Love Will Always Make You Cry,Der Kommissar,After The Fire,213.8ø
1980-F,Der Kommissar,After The Fire,153.7ø
Slow Down (LP Version),North South,The Paul Butterfield Blues Band,278.7ø
Living In Memphis (LP Version),North South,The Paul Butterfield Blues Band,247.7ø
I Let It Go (To My Head) (LP Version),North South,The Paul Butterfield Blues Band,174.8ø
I Get Excited (Album Version),North South,The Paul Butterfield Blues Band,214.8ø
Get Some Fun In Your Life (LP Version),North South,The Paul Butterfield Blues Band,240.1ø
Footprints On The Windshield Upside Down (LP Version),North South,The Paul Butterfield Blues Band,200.3ø
Catch A Train (LP Version),North South,The Paul Butterfield Blues Band,176.4ø
Bread And Butterfield (LP Version),North South,The Paul Butterfield Blues Band,268.1ø
Baby Blue (LP Version),North South,The Paul Butterfield Blues Band,307.6ø
Your Mother Was Right,Glory Road,Gillan,356.4ø
Trying To Get To You,Unchain Your Brain: The Best Of Gillan,Gillan,164.6ø
Trouble,Ultimate 80s,Gillan,160.1ø
Time And Again,Glory Road,Gillan,306.8ø
Sleeping On The Job,Unchain Your Brain: The Best Of Gillan,Gillan,193.9ø
Running_ White Face_ City Boy,Glory Road,Gillan,193.3ø
Redwatch,Glory Road,Gillan,205.8ø
Post Fade Brain Damage,Glory Road,Gillan,273.5ø
