Insoluble,Refrito,Pappo's Blues,215.2ø
To Live On Love,Love Songs,George Jones & Tammy Wynette,176.1ø
The Bargain,Lambertland,Tasavallan Presidentti,433.1ø
Lounge,Lambertland,Tasavallan Presidentti,503.5ø
Last Quarters,Lambertland,Tasavallan Presidentti,492.2ø
Lambertland,Lambertland,Tasavallan Presidentti,419.0ø
Dance,Lambertland,Tasavallan Presidentti,354.7ø
Celebration Of The Saved Nine,Lambertland,Tasavallan Presidentti,212.1ø
Treat Her Like A Lady,Karaoke: 70's Lovin' - Singing to the Hits,Cornelius Brothers & Sister Rose,163.7ø
Too Late To Turn Back Now,Summer! Soul! Sale!,Cornelius Brothers & Sister Rose,189.3ø
Let Me Down Easy,The Story of Cornelius Brothers & Sister Rose,Cornelius Brothers & Sister Rose,174.7ø
Just Ain't No Love (Like A Lady's),The Story of Cornelius Brothers & Sister Rose,Cornelius Brothers & Sister Rose,162.7ø
I'm Never Gonna Be Alone Anymore,The Story of Cornelius Brothers & Sister Rose,Cornelius Brothers & Sister Rose,153.8ø
Michele,French Hit Collection,Paul Mauriat And His Orchestra,190.5ø
Son Of My Father,Golden Groups & Glitter Sounds,Chicory Tip,195.6ø
Rocking Around The Christmas Tree,Son Of My Father,Chicory Tip,125.7ø
Merry Christmas Everybody,Son Of My Father,Chicory Tip,202.8ø
Dark Eyed Lady,Island Records Folk Box Set - Meet On The Ledge,Robin Williamson,241.3ø
Verso La Locanda,Quella Vecchia Locanda,Quella Vecchia Locanda,313.1ø
Un Villaggio_ Un'Illusione,Quella Vecchia Locanda,Quella Vecchia Locanda,232.9ø
Sogno_ Risveglio E...,Quella Vecchia Locanda,Quella Vecchia Locanda,314.4ø
Prologo,Quella Vecchia Locanda,Quella Vecchia Locanda,296.4ø
Immagini Sfocate,Quella Vecchia Locanda,Quella Vecchia Locanda,176.3ø
Il Cieco,Quella Vecchia Locanda,Quella Vecchia Locanda,248.2ø
Dialogo,Quella Vecchia Locanda,Quella Vecchia Locanda,219.0ø
Will The Serpent Be Unbroken (Will The Circle Be Unbroken),Good Morning Mr. Walker,Joseph Spence,140.7ø
The Lord's My Shepherd,Good Morning Mr. Walker,Joseph Spence,177.1ø
The Glory Of Love,Good Morning Mr. Walker,Joseph Spence,170.6ø
Sloop John B.,Good Morning Mr. Walker,Joseph Spence,211.1ø
Out On The Rolling Sea,Happy All The Time,Joseph Spence,323.2ø
Mary Ann,Good Morning Mr. Walker,Joseph Spence,182.6ø
If I Had The Wings Of A Dove,Good Morning Mr. Walker,Joseph Spence,185.0ø
I See Mary And Joseph,Good Morning Mr. Walker,Joseph Spence,165.2ø
Good Morning Mr. Walker,Good Morning Mr. Walker,Joseph Spence,147.5ø
Don't Let Nobody Burn Down Burma Road,Good Morning Mr. Walker,Joseph Spence,154.7ø
Coming in on a wing and a prayer,Joseph Spence: The Complete Folkways Recordings_ 1958,Joseph Spence,375.5ø
Bye And Bye,Good Morning Mr. Walker,Joseph Spence,117.0ø
Brown Skin Gal,Good Morning Mr. Walker,Joseph Spence,173.7ø
Be A Friend To Jesus,Good Morning Mr. Walker,Joseph Spence,177.8ø
All Hail The Power Of Jesus' Name,Good Morning Mr. Walker,Joseph Spence,131.9ø
