Disco Man,Molten Lager,The Damned,166.6ø
Hush Darling,Love Songs,Gregory Isaacs,179.2ø
Sweet Lover Man,Fire! The Very Best of The Pointer Sisters,The Pointer Sisters,250.6ø
Someday We'll Be Together,Fire! The Very Best of The Pointer Sisters,The Pointer Sisters,277.6ø
Slow Hand,I'm So Excited,The Pointer Sisters,295.5ø
Should I Do It,Hits!,The Pointer Sisters,231.2ø
Got To Find Love,Love Songs,The Pointer Sisters,244.2ø
Silver Lining,The Story So Far,Stiff Little Fingers,182.8ø
Go For It,All The Best,Stiff Little Fingers,186.9ø
Reviens Va-T'En,Pizza,Alain Bashung,193.1ø
Rebel,Pizza,Alain Bashung,235.9ø
Fan,Pizza,Alain Bashung,259.4ø
Sur Ma Vie,Charles Aznavour,Charles Aznavour,182.4ø
Marcha Da Tietagem,Luar,Gilberto Gil,216.3ø
O Amor,Divino Maravilhoso - Gal Costa Interpreta Caetano Veloso,Gal Costa,218.1ø
Canta Brasil,Classic Latino,Gal Costa,193.4ø
I Know About The Life,Black Ballads,Archie Shepp,318.9ø
Aie A Mwana,Deep Sea Skiving,Bananarama,216.5ø
Wish I Had Not Said That,Shades,J.J. Cale,202.1ø
Runaround,Shades,J.J. Cale,161.1ø
Love Has Been Gone,Shades,J.J. Cale,132.3ø
Deep Dark Dungeon,Shades,J.J. Cale,129.2ø
Cloudy Day,Shades,J.J. Cale,324.7ø
Violent City,Punk Can Take It,U.K. Subs,141.6ø
Perfect Girl,Punk Can Take It,U.K. Subs,112.7ø
Minus 8 x 5,Countdown,UK Subs,170.0ø
Kicks (Live),Countdown,UK Subs,75.4ø
Countdown,Time Warp:  Greatest Hits,UK Subs,259.8ø
All I Wanna Know (Live),Countdown,UK Subs,114.8ø
Turn It On,Level 42,Level 42,319.8ø
Wunderbar,33 Tage In Ketten (Remaster),Fehlfarben,251.9ø
Tanz Mit Dem Herzen,33 Tage In Ketten (Remaster),Fehlfarben,260.3ø
Schlaflos Nachts,Live - Hier Und Jetzt,Fehlfarben,246.6ø
Katze Zur Maus,33 Tage In Ketten (Remaster),Fehlfarben,169.6ø
Imitation Of Life,33 Tage In Ketten (Remaster),Fehlfarben,197.5ø
Ich Nicht Verstehen,33 Tage In Ketten (Remaster),Fehlfarben,236.0ø
Die Wilde Dreizehn,Live,Fehlfarben,212.8ø
Der Marsch,33 Tage In Ketten (Remaster),Fehlfarben,372.7ø
You Drive Me Crazy,The Hits Of Shakin' Stevens,Shakin' Stevens,165.8ø
This Time,The Epic Masters Box Set,Shakin' Stevens,173.5ø
Oh Julie,The Hits Of Shakin' Stevens,Shakin' Stevens,152.7ø
You Have Caught Me,The Sixties+Seventies+Eighties=TAXI=Sly & Robbie,Sly & Robbie,212.3ø
Only Sixteen,The Sixties+Seventies+Eighties=TAXI=Sly & Robbie,Sly & Robbie,190.9ø
