Easy To Be Hard,A Night In St. Lucia,Melba Moore,349.2ø
Things We Like,Things We Like,Jack Bruce,213.1ø
Statues,Cities Of The Heart,Jack Bruce,456.8ø
Sam Enchanted Dick Medley,Things We Like,Jack Bruce,445.7ø
Over The Cliff,Cities Of The Heart,Jack Bruce,226.7ø
HCKHH Blues,Things We Like,Jack Bruce,535.5ø
Ageing Jack Bruce_ Three_ From Scotland_ England,Things We Like,Jack Bruce,319.8ø
The Sun Is Bored,Still Some Light,Bill Fay,180.2ø
Tositarkoituksin,20 Suosikkia / Ryysyranta,Irwin Goodman,159.1ø
Rakkain,Irwin Goodman,Irwin Goodman,257.4ø
Pohjaan asti,20 Suosikkia  / Salainen agentti,Irwin Goodman,153.8ø
Pieni iltasatu,St. Pauli ja Reeperbahn,Irwin Goodman,268.1ø
Meni rahahommat pieleen,Irwin Goodman,Irwin Goodman,181.1ø
Balladi voivuoresta,20 Suosikkia  / Laulajan testamentti,Irwin Goodman,142.3ø
You'll Never Know Me/Release,Rebirth,Blonde On Blonde,467.2ø
Time Is Passing,Rebirth/Reflections Of Life,Blonde On Blonde,157.9ø
November,Rebirth,Blonde On Blonde,193.6ø
Heart Without A Home,Rebirth/Reflections Of Life,Blonde On Blonde,324.4ø
Circles,Castles In The Sky,Blonde On Blonde,210.8ø
Castles In The Sky,Castles In The Sky,Blonde On Blonde,215.3ø
Broken Hours,Rebirth,Blonde On Blonde,222.9ø
When Will She Tell Me She Needs Me,Soul Agenda,The Chairmen of the Board,185.9ø
Since The Days Of Pigtails (And Fairytales),Everything's Tuesday - The Best Of,Chairmen Of The Board,165.7ø
Pay to The Piper,Give Me Just A Little More Time + In Session&plus,Chairmen Of The Board,187.7ø
Patches,Soul Agenda,The Chairmen of the Board,210.7ø
My Way,Give Me Just A Little More Time + In Session&plus,Chairmen Of The Board,239.6ø
It Was Almost Something,A Little More Time - The Very Best OF Chairmen Of The Board,Chairmen Of The Board,160.0ø
I Can't Find Myself,Everything's Tuesday - The Best Of,Chairmen Of The Board,155.5ø
Hanging On To A Memory,A Little More Time - The Very Best OF Chairmen Of The Board,Chairmen Of The Board,253.0ø
Give Me Just A Little More Time,Jackie - The Annual 2010,Chairmen Of The Board,157.6ø
Everything's Tuesday,The Pop Years 1970 - 1971,Chairmen Of The Board,165.7ø
Children Of Today,Progressively Funky,Chairmen Of The Board,193.5ø
Chairman Of The Board,A Little More Time - The Very Best OF Chairmen Of The Board,Chairmen Of The Board,215.2ø
All We Need Is Understanding,A Little More Time - The Very Best OF Chairmen Of The Board,Chairmen Of The Board,175.2ø
(You've Got Me) Dangling On A String,Ultimate Pop,Chairmen Of The Board,176.4ø
Unhooked Generation,Band Of Gold + Contact + The Best Of + Reaching Out,Freda Payne,150.8ø
Through The Memory Of My Mind,Band Of Gold + Contact + The Best Of + Reaching Out,Freda Payne,161.0ø
This Girl Is A Woman Now,Band Of Gold + Contact + The Best Of + Reaching Out,Freda Payne,178.9ø
The World Don't Owe You A Thing,Deeper And Deeper (The Best Of Freda Payne),Freda Payne,179.5ø
The Easiest Way To Fall,Band Of Gold + Contact + The Best Of + Reaching Out,Freda Payne,156.7ø
Now Is The Time To Say Goodbye,Band Of Gold + Contact + The Best Of + Reaching Out,Freda Payne,190.1ø
Love On Borrowed Time,Band Of Gold + Contact + The Best Of + Reaching Out,Freda Payne,178.3ø
Happy Heart,Band Of Gold + Contact + The Best Of + Reaching Out,Freda Payne,170.7ø
