Borinquen Tiene Montuno,El Compositor Que Canta,Ismael Miranda,357.7ø
Herran jestas,Si Si Si,Irwin Goodman,184.3ø
Ampu tulee,Si Si Si,Irwin Goodman,164.1ø
Git It,Tour From Hell 1973,Commander Cody & His Lost Planet Airmen,126.3ø
Selma,The Ultimate Collection,Bijelo Dugme,343.2ø
Ne spavaj mala moja muzika dok svira,The Ultimate Collection,Bijelo Dugme,150.3ø
If You Go Away,Ultimate 70s,Terry Jacks,152.2ø
Pet Parade,The A&M Years,Hoyt Axton,187.2ø
Rosso colore,I Grandi Successi: Pierangelo Bertoli,Pierangelo Bertoli,317.2ø
Per Dirti T'Amo,Una Voce Tra Due Fuochi,Pierangelo Bertoli,203.1ø
Non Vincono,Eppure Soffia,Pierangelo Bertoli,243.3ø
Wenn ein Mensch lebt,Zwanzig Hits aus dreissig Jahren,Puhdys,199.8ø
Geh zu ihr,Zwanzig Hits aus dreissig Jahren,Puhdys,160.0ø
Love Me For A Reason,Live By Request,The Osmonds,247.1ø
Alle Porte Del Sole,I Grandi Successi: Solo numeri 1!,Gigliola Cinquetti,222.4ø
Min Jehann,Liederbuch,Hannes Wader | Bob Douglas | John Everatt | Susi Everatt | Jurg Sockow | Klaus Weiland | John Berquist,142.2ø
De Groffschmitt,Liederbuch,Hannes Wader | Bob Douglas | John Everatt | Susi Everatt | Jurg Sockow | Klaus Weiland | John Berquist,269.6ø
Put Your Head On My Shoulder,My Girl: Love Songs For Her,The Lettermen,159.4ø
White Rose (Freedom Flower),A Little More Time - The Very Best OF Chairmen Of The Board,Chairmen Of The Board,100.3ø
Only Love Can Break A Heart,A Little More Time - The Very Best OF Chairmen Of The Board,Chairmen Of The Board,334.3ø
Morning Glory,A Little More Time - The Very Best OF Chairmen Of The Board,Chairmen Of The Board,139.9ø
Love At First Sight,Bittersweet + Skin I'm In & Plus!,Chairmen Of The Board,233.0ø
Live With Me_ Love With Me,Skin I'm In,Chairmen Of The Board,130.9ø
Finders Keepers,Bittersweet + Skin I'm In & Plus!,Chairmen Of The Board,224.1ø
Everybody Party All Night,Everything's Tuesday - The Best Of,Chairmen Of The Board,248.1ø
Hey,The Impossible Dream / Tomorrow Belongs To Me,The Sensational Alex Harvey Band,38.7ø
Palle,Palle,Squallor,75.0ø
Marcia longa (ripresa),Palle,Squallor,270.9ø
Il vangelo secondo Chinaglia,Palle,Squallor,218.1ø
Bla bla bla,Palle,Squallor,191.0ø
Christmas Song,22 New Christmas Hits,Gilbert O'Sullivan,162.8ø
My Coo Ca Choo,The Platinum Collection,Alvin Stardust,165.7ø
Sad Young Man,Hero And Heroine,Strawbs,248.5ø
Hero And Heroine,NY '75,The Strawbs,306.4ø
Just Don't Want To Be Lonely,Everybody Plays The Fool: The Best Of The Main Ingredient,The Main Ingredient,213.2ø
Happiness Is Just Around The Bend,The Masters Series: 70's Soul Vol. 2,The Main Ingredient,380.3ø
