Walking In The Rain,Phil Spector's Wall Of Sound Retrospective Phillies Sound 1961-1996,The Ronettes,194.6ø
Night And Day,Cole Porter In London (Volume 1),Cole Porter,193.5ø
Up Cherry Street,Lost Treasures: Rare And Unreleased,Herb Alpert And The Tijuana Brass,155.9ø
The Girl From Ipanema,South Of The Border,Herb Alpert And The Tijuana Brass,165.3ø
Numero Cinco,South Of The Border,Herb Alpert And The Tijuana Brass,140.7ø
Mexican Shuffle,South Of The Border,Herb Alpert And The Tijuana Brass,136.2ø
I've Grown Accustomed To Her Face,South Of The Border,Herb Alpert And The Tijuana Brass,151.5ø
Hello_ Dolly!,South Of The Border,Herb Alpert And The Tijuana Brass,121.0ø
All My Loving,South Of The Border,Herb Alpert And The Tijuana Brass,120.8ø
Adios_ Mi Corazon,South Of The Border,Herb Alpert And The Tijuana Brass,163.9ø
Reach Out For Me,Walk On By,Dionne Warwick,172.4ø
Make The Night A Little Longer (LP Version) (Ichiban),Make Way For Dionne Warwick,Dionne Warwick,144.0ø
Last One To Be Loved (LP Version) (Ichiban),Make Way For Dionne Warwick,Dionne Warwick,203.9ø
Scatter Shield,Surf Party: Best Of The Surfaris - Live!,The Surfaris,132.8ø
Hiawatha,Surf Party: Best Of The Surfaris - Live!,The Surfaris,221.9ø
Earthquake,Surf Party: Best Of The Surfaris - Live!,The Surfaris,146.7ø
Apache,Surf Party: Best Of The Surfaris - Live!,The Surfaris,172.0ø
How Blue Can You Get,How Blue Can You Get,B.B. King,263.7ø
There's A Heartache Following Me,The International Jim Reeves/ Good 'N' Country,Jim Reeves,123.0ø
I Won't Forget You,My Greatest Songs,Jim Reeves,119.2ø
Who Do You Love (Alternate version),Country Blues,John Hammond,152.8ø
Traveling Riverside Blues,At The Crossroads: The Blues of Robert Johnson,John Hammond,202.0ø
Thirty-Two Twenty Blues,Country Blues,John Hammond,185.9ø
No Money Down,The Best Of,John Hammond,231.2ø
My Babe,The Best Of,John Hammond,130.0ø
I Live The Life I Love,Best Of The Vanguard Years,John Hammond,153.3ø
Crawling Kingsnake,Country Blues,John Hammond,161.2ø
Bull Frog Blues,Country Blues,John Hammond,147.7ø
Barrelhouse Woman Blues,Big City Blues,John Hammond,146.4ø
Barbecue Blues,Big City Blues,John Hammond,201.2ø
Backdoor Man,The Best Of,John Hammond,257.1ø
Should I Tell Them,The Motown Anthology,The Velvelettes,168.4ø
Needle In A Haystack,The Very Best Of The Valvelettes,The Velvelettes,200.9ø
He Was Really Sayin' Somethin',The Complete Motown Singles_ Volume 4: 1964,The Velvelettes,150.0ø
