Careless Whisper,Final,George Michael,302.6ø
The Brady Bunch,In 3-D,Weird Al Yankovic,162.4ø
Nature Trail To Hell,Halloween Classics: Hellbent For Halloween,Weird Al Yankovic,350.6ø
Mr. Popeil,Permanent Record: Al In The Box,Weird Al Yankovic,284.6ø
Eat It,Permanent Record: Al In The Box,Weird Al Yankovic,203.7ø
Cheek To Cheek,ELLA love songs,Ella Fitzgerald,229.3ø
What A Day That Was (Live) (1999 Digital Remaster),Stop Making Sense,Talking Heads,360.6ø
Thank You For Sending Me An Angel (Live),Stop Making Sense,Talking Heads,129.7ø
Take Me To The River (Live) (1999 Digital Remaster),Stop Making Sense,Talking Heads,332.9ø
Slippery People (Live) (1999 Digital Remaster),Stop Making Sense,Talking Heads,240.8ø
Once In A Lifetime (Live) (1999 Digital Remaster),Stop Making Sense,Talking Heads,325.5ø
Making Flippy Floppy (Live),Stop Making Sense,Talking Heads,280.3ø
Burning Down The House (Live) (1999 Digital Remaster),Stop Making Sense,Talking Heads,246.3ø
Stranger Eyes,Drive / Stranger Eyes [Digital 45],The Cars,265.0ø
Looking For Love  (LP Version),Heartbeat City,The Cars,231.4ø
It's Not The Night   (LP Version),Heartbeat City,The Cars,228.6ø
I Refuse (LP Version),Heartbeat City,The Cars,195.7ø
I Refuse,Magic / I Refuse,The Cars,196.7ø
Drive,The Squid And The Whale,The Cars,234.5ø
Africano/Power,Gratitude,Earth_ Wind & Fire,344.0ø
New Sensations,New Sensations,Lou Reed,340.9ø
All Wrapped Up,Junk Culture,Orchestral Manoeuvres In The Dark,263.3ø
Panic,The Greater Of Two Evils,Anthrax,214.8ø
Metal Thrashing Mad,Live: The Island Years,Anthrax,170.0ø
Deathrider,The Greater Of Two Evils,Anthrax,184.1ø
Spit It Out,Slide It In,Whitesnake,251.9ø
Slide It In,Slide It In,Whitesnake,200.4ø
Guilty Of Love,Slide It In,Whitesnake,197.5ø
Gambler,Slide It In,Whitesnake,236.9ø
Isolation,Super Hits,Toto,245.4ø
Endless,Isolation,Toto,223.7ø
Found A Job (Live),Stop Making Sense,Talking Heads,195.2ø
How Can I Leave You Again,I Want To Live,John Denver,189.7ø
Slow An' Easy,Slide It In,Whitesnake,368.2ø
Love Ain't No Stranger,Slide It In,Whitesnake,252.8ø
Winston's Diary,1984 - For The Love Of Big Brother,Eurythmics,81.9ø
Sexcrime (Nineteen Eighty-Four),Playlist: 80s Hits,Eurythmics,236.5ø
Room 101,1984 - For The Love Of Big Brother,Eurythmics,232.5ø
I Did It Just The Same,1984 - For The Love Of Big Brother,Eurythmics,208.1ø
Greetings From A Dead Man,1984 - For The Love Of Big Brother,Eurythmics,373.7ø
Doubleplusgood,1984 - For The Love Of Big Brother,Eurythmics,280.2ø
Middle Of The Road,The Singles,The Pretenders,257.2ø
These Things Take Time,The Sound Of The Smiths,The Smiths,144.0ø
You've Got Everything Now,The Smiths,The Smiths,239.9ø
What Difference Does It Make?,The Smiths,The Smiths,229.9ø
The Hand That Rocks The Cradle (+ Sonny Boy),The Smiths,The Smiths,278.5ø
Suffer Little Children,The Smiths,The Smiths,327.6ø
Still Ill,The Smiths,The Smiths,203.4ø
Reel Around The Fountain,The Smiths,The Smiths,357.6ø
Pretty Girls Make Graves,The Smiths,The Smiths,223.5ø
Miserable Lie,The Smiths,The Smiths,267.9ø
I Don't Owe You Anything,The Smiths,The Smiths,244.8ø
Heaven Knows I'm Miserable Now,The Sound Of The Smiths [Deluxe Edition],The Smiths,216.5ø
Hand In Glove (Album Version),The Smiths,The Smiths,203.2ø
Girl Afraid,The Sound Of The Smiths,The Smiths,166.3ø
Back To The Old House,What Difference Does It Make?,The Smiths,185.5ø
When Am I Going To Make A Living,Diamond Life,Sade,206.0ø
Sally,Diamond Life,Sade,322.6ø
I Will Be Your Friend,Diamond Life,Sade,283.4ø
Hang On To Your Love,The Best Of Sade,Sade,272.0ø
Frankie's First Affair,Diamond Life,Sade,278.3ø
Cherry Pie,Diamond Life,Sade,378.7ø
Mohawk Town,Sweatin' To The Oldies: The Vandals Live,The Vandals,150.3ø
The Killing Moon (All Night Version),Crystal Days 1979-1999,Echo And The Bunnymen,553.3ø
The Killing Moon,Smash Hits 1984,Echo And The Bunnymen,345.8ø
Ocean Rain,Live In Liverpool,Echo & The Bunnymen,360.3ø
My Kingdom,Live In Liverpool,Echo & The Bunnymen,219.3ø
Back Of Love,Live In Liverpool,Echo & The Bunnymen,184.3ø
We Belong,Best Shots,Pat Benatar,222.9ø
Looking For A Stranger,Get Nervous,Pat Benatar,206.6ø
Soil Festivities: Movement 2,Soil Festivities,Vangelis,380.3ø
Winter Sky,Steeltown,Big Country,196.9ø
Where The Rose Is Sown,Come Up Screaming,Big Country,284.2ø
Tall Ships Go,Steeltown,Big Country,277.0ø
Bass Dance,Steeltown,Big Country,99.5ø
100 Million People Dead,P.E.A.C.E / War,Butthole Surfers,159.4ø
Perfect Lover,The Best Of Kansas,Kansas,260.1ø
Love Somebody,VH1 Music First: Behind The Music - The Rick Springfield Collection,Rick Springfield,213.3ø
Don't Walk Away,The Best Of,Rick Springfield,218.7ø
Bop 'Til You Drop,Greatest Hits,Rick Springfield,241.7ø
There Goes My Baby,Civilized Man,Joe Cocker,228.8ø
Tempted,Civilized Man,Joe Cocker,253.7ø
Long Drag Off A Cigarette,Civilized Man,Joe Cocker,153.4ø
I Love The Night,Civilized Man,Joe Cocker,227.4ø
Hold On (I Feel Our Love Is Changing),Civilized Man,Joe Cocker,220.1ø
Come On In,Civilized Man,Joe Cocker,226.4ø
What Becomes A Legend Most,New Sensations,Lou Reed,215.4ø
Turn To Me,New Sensations,Lou Reed,260.8ø
My Friend George,Between Thought And Expression,Lou Reed,236.3ø
I Love You_ Suzanne,New Sensations,Lou Reed,197.3ø
Fly Into The Sun,New Sensations,Lou Reed,182.9ø
Endlessly Jealous,New Sensations,Lou Reed,235.3ø
I've Been Loving You Too Long,Ike & Tina - The Ultimate R&B Collection,Ike & Tina Turner,230.0ø
Eastern Standard Time,Memorial Album,The Skatalites,192.7ø
The Spice Of Life,Eden,Everything But The Girl,209.9ø
Tender Blue,Eden,Everything But The Girl,186.1ø
Mine,Like The Deserts Miss The Rain,Everything But The Girl,199.5ø
I Must Confess,Eden,Everything But The Girl,191.3ø
Frost And Fire,Eden,Everything But The Girl,185.1ø
Crabwalk,Eden,Everything But The Girl,205.6ø
Another Bridge,Best Of Everything But The Girl,Everything But The Girl,134.4ø
Two Tribes,Twelve Inches ,Frankie Goes To Hollywood,309.4ø
Soil Festivities: Movement 5,Soil Festivities,Vangelis,440.6ø
Soil Festivities: Movement 4,Soil Festivities,Vangelis,597.2ø
Don't Be Shy,Remember Cat Stevens - The Ultimate Collection (Ecopac),Cat Stevens,170.6ø
Lee Harvey Oswald,Stretching Out,The Skatalites,243.5ø
Zoolook,Zoolook,Jean Michel Jarre,238.4ø
Diva,Zoolook,Jean Michel Jarre,439.4ø
Johnny and Mary,At The BBC,Robert Palmer,205.4ø
Soil Festivities: Movement 3,Soil Festivities,Vangelis,370.4ø
We rock,Dio's Inferno - The last in Live,Dio,340.9ø
The last in line,Dio's Inferno - The last in Live,Dio,414.2ø
I Speed At Night,The Last In Line,Dio,202.3ø
Holy diver (live),Classic Rock Tracks Live,Dio,299.9ø
Evil Eyes,The Last In Line,Dio,218.4ø
Egypt (The Chains Are On),The Last In Line,Dio,417.3ø
Eat Your Heart Out,The Last In Line,Dio,229.1ø
Breathless,The Last In Line,Dio,243.4ø
The Story Of A Young Heart,Platinum & Gold Collection,A Flock Of Seagulls,366.4ø
Remember David,Playlist: The Very Best of A Flock of Seagulls,A Flock Of Seagulls,246.3ø
Lost Control,Playlist: The Very Best of A Flock of Seagulls,A Flock Of Seagulls,249.1ø
Pump It Up,Disconnection,Gary Numan,286.0ø
The Guy You Left Behind,Out of Sight,Johnny Winter,150.0ø
Shed So Many Tears,White Gold Blues,Johnny Winter,134.8ø
Road Runner,An Introduction To Johnny Winter,Johnny Winter,124.0ø
I Can't Believe You Want to Leave,White Gold Blues,Johnny Winter,149.5ø
Gangster Of Love,An Introduction To Johnny Winter,Johnny Winter,148.4ø
Five After Four A.M.,Out of Sight,Johnny Winter,181.2ø
Crying In My Heart,An Introduction To Johnny Winter,Johnny Winter,159.7ø
By the Light of the Silvery Moon,White Gold Blues,Johnny Winter,131.0ø
Broke And Lonely,An Introduction To Johnny Winter,Johnny Winter,145.8ø
Talkin' Out The Side Of Your Neck,Anthology,Cameo,248.7ø
She's Strange,Love Funk,Cameo,430.9ø
Hangin' Downtown,Gold,Cameo,306.5ø
