We're Strangers Again (Album Version),Heroes & Friends,Randy Travis with Tammy Wynette,168.1ø
Walkin' Tall,The Very Best Of Adam Faith,Adam Faith,126.3ø
If He Tells You,The Very Best Of Adam Faith,Adam Faith,131.2ø
Romeo ilman Juliaa,20 Suosikkia  / Laulajan testamentti,Irwin Goodman,176.4ø
Maksettu rakkaus,Hurraa! Me teemme laivoja,Irwin Goodman,153.8ø
Valheita Ja Onnenpekkoja,Kun Suomi Putos Puusta,Ismo Alanko,241.6ø
Tuupovaara-Helsinki,Kun Suomi Putos Puusta,Ismo Alanko,219.8ø
Masentunut Ameeba,Kun Suomi Putos Puusta,Ismo Alanko,296.9ø
Kun Suomi Putos Puusta,Kun Suomi Putos Puusta,Ismo Alanko,260.8ø
Hetki Hautausmaalla,Kun Suomi Putos Puusta,Ismo Alanko,265.8ø
Alumiinikuu,Kun Suomi Putos Puusta,Ismo Alanko,194.7ø
The Key,The Key,Dominoe,239.0ø
Satellite,The Key,Dominoe,277.2ø
Rock Noon,The Key,Dominoe,251.6ø
Lonely Nights,The Key,Dominoe,268.3ø
Leisure Town,The Key,Dominoe,233.5ø
Keep The Fire Burning,The Key,Dominoe,274.5ø
Into The Fire,The Key,Dominoe,174.3ø
In The Heat Of The Night,The Key,Dominoe,221.1ø
I Wanna Die For You,The Key,Dominoe,203.7ø
Harolds Anthem,The Key,Dominoe,189.8ø
Dance To Sombody,The Key,Dominoe,205.8ø
Coming Home,The Key,Dominoe,273.0ø
Angel Don't Cry,The Key,Dominoe,236.7ø
Not Bad At All,Lookin' For A Good Time,Tomas Ledin,223.0ø
The Old Country Church,Lord Is My Saviour,Oak Ridge Boys,176.9ø
Younger,Kerosene Man,Steve Wynn,223.8ø
Under The Weather,Kerosene Man,Steve Wynn,263.1ø
The Blue Drifter,Kerosene Man,Steve Wynn,286.0ø
Tears Won't Help,Live In Brussels,Steve Wynn & The Dragon Bridge Orchestra,345.3ø
Something To Remember Me By,Kerosene Man,Steve Wynn,229.8ø
Killing Time,Kerosene Man,Steve Wynn,268.0ø
Kerosene Man,Kerosene Man,Steve Wynn,244.6ø
Here On Earth As Well,Kerosene Man,Steve Wynn,278.1ø
Conspiracy Of The Heart,Kerosene Man,Steve Wynn,313.8ø
Carolyn,Kerosene Man,Steve Wynn,236.5ø
Anthem,Kerosene Man,Steve Wynn,342.7ø
Tomorrow Never Knows,Blast The Human Flower,Danielle Dax,315.4ø
The Living And Their Stillborn,Blast The Human Flower,Danielle Dax,311.3ø
The ID Parade,Blast The Human Flower,Danielle Dax,230.3ø
King Crack,Blast The Human Flower,Danielle Dax,129.6ø
Jehovah's Precious Stone,Blast The Human Flower,Danielle Dax,307.9ø
Dead Man's Chill,Blast The Human Flower,Danielle Dax,282.1ø
Daisy,Blast The Human Flower,Danielle Dax,235.8ø
Big Blue '82,Blast The Human Flower,Danielle Dax,256.3ø
Bayou,Blast The Human Flower,Danielle Dax,248.8ø
16 Candles,Blast The Human Flower,Danielle Dax,335.7ø
You Can Make A Wish,The Best Of,Mica Paris,288.9ø
More Love,The Best Of,Mica Paris,322.1ø
Just Make Me The One,The Best Of,Mica Paris,309.1ø
Un'Emozione Da Poco,Anna Oxa,Anna Oxa,254.7ø
Una noche de amor desesperada,Una Historia,Triana,293.9ø
Corre,Una Historia,Triana,252.5ø
We Miss You,Rejoice,Bob Baldwin,63.3ø
On Our Own,Rejoice,Bob Baldwin,341.5ø
Hi,Rejoice,Bob Baldwin,340.7ø
Stardust,After Hours,Charlie Christian | Dizzy Gillespie,205.0ø
Soft Winds,Charlie Christian_ The First Master Of The Electric Guitar - CD B,Charlie Christian,139.3ø
I Can't Give You Anything But Love,Jazz Progressions (Best Of),Charlie Christian,202.9ø
Honeysuckle Rose,Charlie Christian With The Goodman Sextet: The Radio Broadcasts 1939 - 1941,Charlie Christian,298.6ø
Flying Home,Charlie Christian_ The First Master Of The Electric Guitar - CD C,Charlie Christian,194.1ø
