Mine's A Large One Landlord,Strawberries,The Damned,75.3ø
Thirteen Invitations,In The Shadows,Mercyful Fate,315.6ø
The Old Oak,In The Shadows,Mercyful Fate,534.0ø
The Bell Witch,In The Shadows,Mercyful Fate,273.3ø
Shadows,In The Shadows,Mercyful Fate,281.1ø
Legend Of The Headless Rider,In The Shadows,Mercyful Fate,461.6ø
Is That You_ Melissa,In The Shadows,Mercyful Fate,276.1ø
A Gruesome Time,In The Shadows,Mercyful Fate,270.1ø
Romeo & Juliet,Live At The Royal Albert Hall,Emerson_ Lake & Palmer,221.3ø
Creole Dance,The Original Bootleg Series From The Manticore Vaults: Volume Four,Emerson_ Lake & Palmer,175.3ø
Wonderman,Sex And Travel,Right Said Fred,226.4ø
We Live A Life,Sex And Travel,Right Said Fred,298.7ø
Sunshine Sex Drive,Sex And Travel,Right Said Fred,225.1ø
Rocket Town,Sex And Travel,Right Said Fred,234.5ø
Love For All Seasons,Up,Right Said Fred,270.3ø
It's Not The Way,Sex And Travel,Right Said Fred,268.8ø
I Ain't Stupid,Sex And Travel,Right Said Fred,321.3ø
Comfort Me,Sex And Travel,Right Said Fred,234.0ø
The Heavens,Transmissions,Juno Reactor,387.3ø
Man To Ray,Transmissions,Juno Reactor,402.8ø
Luna-tic,Transmissions,Juno Reactor,541.0ø
Lullaby,Laughing Gas,Juno Reactor,300.6ø
Laughing Gas,Laughing Gas,Juno Reactor,405.9ø
Landing,Transmissions,Juno Reactor,520.6ø
High Energy Protons,High Energy Protons,Juno Reactor,389.8ø
Contact,Transmissions,Juno Reactor,353.0ø
Acid Moon,Transmissions,Juno Reactor,518.5ø
10_000 Miles,Transmissions,Juno Reactor,354.6ø
Dog Eat Dog,All Boro Kings,Dog Eat Dog,267.5ø
Tuckered Out,No Time To Kill,Clint Black,217.0ø
Thinkin' Again,No Time To Kill,Clint Black,182.5ø
State Of Mind,Greatest Hits,Clint Black,233.3ø
I'll Take Texas,No Time To Kill,Clint Black,159.2ø
Happiness Alone,No Time To Kill,Clint Black,190.2ø
Half The Man,No Time To Kill,Clint Black,180.4ø
Desperado,Greatest Hits,Clint Black,244.1ø
A Good Run Of Bad Luck,Greatest Hits,Clint Black,162.0ø
Genug Ist Genug,Live und Direkt,Die Fantastischen Vier,277.0ø
You Better Run,Amphigory,Mad Sin,149.7ø
Mind Blow,Amphigory,Mad Sin,234.8ø
Body Snatchers,Amphigory,Mad Sin,146.3ø
Alien Bug,Amphigory,Mad Sin,119.3ø
Cadillac Ranch (Dance Club Version),Under This Old Hat,Chris LeDoux,254.3ø
Midi Junkies,1995,Atari Teenage Riot,319.0ø
You made me Love You,Calamity Jane Original Soundtrack - Digitally Remastered with Bonus Tracks,Doris Day - Original Soundtrack,148.7ø
WHAT CAN I SAY AFTER I SAY I'M SORRY,Love Me Or Leave Me,Doris Day,255.9ø
Stay On the Right Side _ Sister,Love Me Or Leave Me,Doris Day,63.1ø
Shaking The Blues Away,Never Look Back,Doris Day,205.4ø
Ready Willing and Able,Pretty Baby,Doris Day,148.8ø
Everybody Loves My Baby (But My Baby Don't Love Nobody But Me),Love Me Or Leave Me,Doris Day,73.7ø
At Sundown,Love Me Or Leave Me,Doris Day,94.7ø
West Bay Invitational,24 Hour Revenge Therapy,Jawbreaker,238.5ø
The Boat Dreams From The Hill,24 Hour Revenge Therapy,Jawbreaker,159.0ø
Outpatient,24 Hour Revenge Therapy,Jawbreaker,221.6ø
