A Foggy Day  (LP Version),Pithecanthropus Erectus,Charles Mingus,470.2ø
Please Love Me,The Very Best Of The Early Years,B.B. King,170.7ø
Everyday I Have The Blues,Live At San Quentin,B.B. King,282.3ø
Crying Won't Help You,The Thrill Has Gone,B.B. King,178.3ø
Bad Luck,Singin' The Blues,B.B. King,171.5ø
Buona Sera,Prima di Tutto,Louis Prima,183.9ø
Body And Soul (24-Bit Mastering) (2002 Digital Remaster),The Wildest!,Louis Prima,204.5ø
5 Months_ 2 Weeks_ 2 Days (Digitally Remastered 02),The Wildest!,Louis Prima,131.2ø
(Nothing's Too Good) For My Baby (24-Bit Mastering) (2002 Digital Remaster),The Wildest!,Louis Prima,158.3ø
Drifting Heart,All The '50s Hits Vol. 1,Chuck Berry,169.9ø
Brown Eyed Handsome Man,Universal Masters collection,Chuck Berry,138.4ø
Oh_ Marie (2002 Digital Remaster),The Wildest!,Louis Prima,148.1ø
Night Train,The Wildest,Louis Prima,168.0ø
Rip It Up,Little Richard - The Collection,Little Richard,142.8ø
Your Promise To Be Mine,Alan Freed's Rock N' Roll Dance Party Recorded Live On Stage,The Drifters,189.0ø
Sermonette,This Is How I Feel About Jazz,Quincy Jones,362.0ø
Evening In Paris,This Is How I Feel About Jazz,Quincy Jones,248.0ø
A Foggy Day,The Essential Charlie Mingus Collection,Charlie Mingus,324.5ø
The Jack-Ass Song,Calypso,Harry Belafonte,191.7ø
Star-O,Classical Highlights - The Most Famous Hits,Harry Belafonte,123.8ø
Jamaica Farewell,An Evening With Belafonte,Harry Belafonte,167.2ø
I Do Adore Her,Calypso,Harry Belafonte,180.6ø
Dolly Dawn,Calypso,Harry Belafonte,212.2ø
Come Back Liza,Love Songs,Harry Belafonte,186.7ø
Voo Vee Ah Vee,Rock & Roll Legenden (The Platters Vs. The Everly Brothers),The Platters,130.9ø
When Your Lover Has Gone,The Thirteenth Month,Julie London,112.4ø
Memphis In June,Calendar Girl,Julie London,127.9ø
Mean To Me,Can't Help Lovin That Man,Julie London,130.1ø
The Girl Can't Help It,Tutti Frutti,Little Richard,149.2ø
Slippin' and slidin',A Wop Bop A Loo Bop,Little Richard,143.4ø
Ready Teddy,Lynns Country  Great's Vol2,Little Richard,129.8ø
When My Dreamboat Comes Home,My Blue Heaven,Fats Domino,141.9ø
Swanee River Hop,The Anthology,Fats Domino,175.1ø
So Long,Rock 'N' Roll Days,Fats Domino,127.2ø
Poor Me,Rock And Rollin' With Fats Domino,Fats Domino,151.3ø
Please Don't Leave Me,Rock And Rollin' With Fats Domino,Fats Domino,170.4ø
My Heart is in Your Hands,20 Greatest Hits,Fats Domino,162.9ø
Honey Chile,Very Best Of,Fats Domino,107.7ø
Careless Love,Rock And Rollin',Fats Domino,102.0ø
Blue Monday,The Best Of Fats Domino,Fats Domino,139.3ø
Ain't That A Shame,Rock And Rollin' With Fats Domino,Fats Domino,160.6ø
If I Give My Heart To You,UK - 1954 - December,Doris Day,172.4ø
Ooh-Shoo-Be-Doo-Bee,Night In Tunisia,Dizzy Gillespie,220.1ø
Where Or When,Can't Help Lovin That Man,Julie London,155.0ø
Time For August,Calendar Girl,Julie London,141.0ø
The Thirteenth Month,Invitation To The Blues,Julie London,148.1ø
September In The Rain,Love,Julie London,105.8ø
November Twilight,Calendar Girl,Julie London,131.2ø
Moments Like This,Sophisticated Lady,Julie London,160.3ø
Melancholy March,Invitation To The Blues,Julie London,139.8ø
I'll Remember April,Cry Me a River,Julie London,121.3ø
How Deep Is the Ocean,Cry Me a River,Julie London,135.9ø
All Alone,Cry Me a River,Julie London,113.0ø
On The Sunny Side Of The Street,Dizzy Gillespie,Dizzy Gillespie,184.6ø
Little Demon,Cow Fingers And Mosquito Pie,Screaming Jay Hawkins,145.2ø
I Put a Spell on You,I Put a Spell on You: The Best Of,Screamin' Jay Hawkins,211.3ø
Down Home Special,The Story Of Bo Diddley: Very Best Of,Bo Diddley,192.0ø
Wouldn't It Be Loverly,Stormy Weather,Lena Horne,173.8ø
What's Right For You (Is Right For Me),Stormy Weather,Lena Horne,177.1ø
Tomorrow Mountain,Stormy Weather,Lena Horne,175.1ø
"Summertime (From ""Porgy and Bess"")",Stormy Weather,Lena Horne,174.6ø
Stormy Weather,Stormy Weather,Lena Horne,473.8ø
"Out Of This World (From ""Out Of This World"")",Stormy Weather,Lena Horne,219.9ø
Mad About The Boy,The Irrespressible,Lena Horne,184.9ø
I Wonder What Became of Me,Stormy Weather,Lena Horne,179.7ø
Come Runnin',The Best Of Lena Horne,Lena Horne,187.3ø
"A Cock-Eyed Optimist (From ""South Pacific"")",Stormy Weather,Lena Horne,211.2ø
The Nearness Of You,The Best Of Ella Fitzgerald And Louis Armstrong On Verve,Ella Fitzgerald | Louis Armstrong,342.5ø
From This Moment On,The Essential Lena Horne Collection,Lena Horne,129.5ø
My Funny Valentine,The Very Best Of Prestige Records (60th Anniversary),Miles Davis Quintet,363.2ø
Blues By Five,Cookin' With The Miles Davis Quintet,Miles Davis Quintet,592.5ø
Airegin,Cookin'_ Steamin' & Relaxin',Miles Davis Quintet,270.0ø
One Kiss Led To Another,The Atlantic Records Story Vol .2,The Coasters,186.1ø
