Marina Del Rey,The Very Best Of George Strait_ 1981-87,George Strait,185.1ø
Tangled In Love (Album Version),Behind The Sun,Eric Clapton,251.3ø
Knock On Wood  (Album Version),Behind The Sun,Eric Clapton,199.5ø
It All Depends (Album Version),Behind The Sun,Eric Clapton,305.2ø
You're Only Human (Second Wind),Billy Joel - The Ultimate Collection,Billy Joel,288.7ø
The Night Is Still Young,The Complete Hits Collection:  1973-1997 Limited Edition,Billy Joel,326.0ø
Journey Of The Sorcerer  (LP Version),One Of These Nights,Eagles,396.9ø
Hollywood Waltz (LP Version),One Of These Nights,Eagles,241.5ø
When The Saints Go Marching In,When The Saints Go Marching In,Louis Armstrong,257.2ø
On The Sunny Side Of The Street,The History Of Jazz Vol. 1 (Jazz Club),Louis Armstrong And The All Stars,407.0ø
Basin Street Blues,An American Original,Louis Armstrong,194.8ø
Ain't Misbehavin',The Definitive,Louis Armstrong & His Orchestra,202.9ø
When The Night Comes Falling From The Sky,The Bootleg Series Volumes 1-3    (Rare And Unreleased)  1961-1991,Bob Dylan,337.0ø
Trust Yourself,Empire Burlesque,Bob Dylan,210.1ø
Never Gonna The Same Again,Empire Burlesque,Bob Dylan,188.1ø
Emotionally Yours,Empire Burlesque,Bob Dylan,269.8ø
I Love Her All The Time,Bad Moon Rising,Sonic Youth,501.7ø
Ghost Bitch,Live at the Continental Club_ Texas 1986,Sonic Youth,366.4ø
Someone For Me,Whitney Houston,Whitney Houston,298.8ø
All At Once,Whitney Houston,Whitney Houston,268.6ø
Cold Shot,Couldn't Stand The Weather,Stevie Ray Vaughan And Double Trouble,240.8ø
Last Mango In Paris,Feeding Frenzy,Jimmy Buffett,218.7ø
Praise of Death,Hell Awaits,Slayer,318.2ø
Hell Awaits,Hell Awaits,Slayer,373.2ø
Crypts of Eternity,Hell Awaits,Slayer,397.0ø
At Dawn They Sleep,Hell Awaits,Slayer,375.8ø
The Meaning Of Love (Single Version),The Singles 81-85,Depeche Mode,184.9ø
Personal Jesus,Violator,Depeche Mode,295.2ø
Just Can't Get Enough (Single Version),The Singles 81-85,Depeche Mode,222.5ø
Enjoy the Silence,Club Collection 6 Part 2,Depeche Mode,294.6ø
This Is England,The Essential Clash,The Clash,233.9ø
North And South,Cut The Crap,The Clash,212.5ø
Life Is Wild,Cut The Crap,The Clash,159.7ø
Fingerpoppin',Cut The Crap,The Clash,205.1ø
Do It Now,Cut The Crap,The Clash,188.9ø
Dictator,Cut The Crap,The Clash,180.9ø
Are You Red..Y,Cut The Crap,The Clash,181.8ø
Part-Time Lover,Stevie Wonder The Definitive Collection 2002,Stevie Wonder,254.5ø
Overjoyed,Stevie Wonder The Definitive Collection 2002,Stevie Wonder,222.4ø
It's Wrong (Apartheid),The Complete Stevie Wonder,Stevie Wonder,412.9ø
Go Home,The Complete Stevie Wonder,Stevie Wonder,515.6ø
Kyoto Song,The Head On The Door,The Cure,256.1ø
The Baby Screams,The Head On The Door,The Cure,226.1ø
Six Different Ways,The Head On The Door,The Cure,198.5ø
Push,The Head On The Door,The Cure,271.3ø
Close To Me,The Head On The Door,The Cure,242.1ø
A Night Like This,The Head On The Door,The Cure,256.3ø
Heart In Your Life,WATCHING YOU WATCHING ME,Bill Withers,256.7ø
Navigator,Rum Sodomy & The Lash,The Pogues,252.5ø
Billy's Bones,Rum Sodomy & The Lash,The Pogues,122.6ø
Wrathchild (Live) (1998 Digital Remaster),Live After Death,Iron Maiden,185.9ø
