Emotional Time,The Platinum Collection,Hothouse Flowers,269.1ø
Luminol,Inhaler,Tad,282.7ø
A Song For The Children,Explorations: The Columbia Recordings,Lonnie Liston Smith,425.2ø
Volim jimia,The Ultimate Collection,Daleka Obala,151.1ø
Upeklo Je Sunce,Uspomena CD 1,Daleka Obala,251.3ø
Ovo nije moje vrijeme,The Ultimate Collection,Daleka Obala,150.3ø
Ona zbori,The Ultimate Collection,Daleka Obala,205.0ø
Mrlje,Uspomena CD 2,Daleka Obala,292.0ø
Mojoj lijepoj,The Ultimate Collection,Daleka Obala,231.5ø
Marica,The Ultimate Collection,Daleka Obala,112.7ø
Brod blues,The Ultimate Collection,Daleka Obala,179.7ø
