My Way,Submission,Sex Pistols,261.0ø
From The Same Hill (2005 Digital Remaster),Music For Films,Brian Eno,180.1ø
White Minority,The First Four Years,Black Flag,62.7ø
No Values,Everything Went Black,Black Flag,119.6ø
Nervous Breakdown,Live at The On Broadway 1982,Black Flag,108.9ø
I Don't Care,Everything Went Black,Black Flag,59.2ø
Fix Me,Live at The On Broadway 1982,Black Flag,91.6ø
Two Rapid Formations (2005 Digital Remaster),Music For Films,Brian Eno,203.4ø
There Is Nobody (2005 Digital Remaster),Music For Films,Brian Eno,103.4ø
Strange Light (2005 Digital Remaster),Music For Films,Brian Eno,129.7ø
Sparrowfall (3) (2005 Digital Remaster),Music For Films,Brian Eno,83.7ø
Sparrowfall (2) (2005 Digital Remaster),Music For Films,Brian Eno,103.7ø
Sparrowfall (1) (2005 Digital Remaster),Music For Films,Brian Eno,71.0ø
Quartz (2005 Digital Remaster),Music For Films,Brian Eno,122.6ø
Final Sunset (2005 Digital Remaster),Music For Films,Brian Eno,253.8ø
Aragon (2005 Digital Remaster),Music For Films,Brian Eno,97.4ø
Alternative 3 (2005 Digital Remaster),Music For Films,Brian Eno,195.1ø
What You Gave Me,Diana,Diana Ross,365.8ø
Where Do I Go From Here,Even Now,Barry Manilow,188.7ø
Somewhere In The Night,Beautiful Ballads & Love Songs,Barry Manilow,208.8ø
I'm Comin' Home Again,Even Now,Barry Manilow,223.9ø
Even Now,The Complete Collection...And Then Some,Barry Manilow,216.2ø
Copacabana (At The Copa),Scores - Songs from Copacabana and Harmony,Barry Manilow,300.5ø
Can't Smile Without You,Ultimate Manilow,Barry Manilow,187.5ø
Look At Her,Let The Music Play,Barry White,379.8ø
Just The Way You Are,Heartbreakers (N),Barry White,288.0ø
There's No Way Out Of Here (2006 Digital Remaster),David Gilmour,David Gilmour,322.1ø
So Far Away (2006 Digital Remaster),David Gilmour,David Gilmour,368.8ø
Short And Sweet (2006 Digital Remaster),David Gilmour,David Gilmour,333.4ø
Raise My Rent (2006 Digital Remaster),David Gilmour,David Gilmour,352.1ø
No Way (2006 Digital Remaster),David Gilmour,David Gilmour,374.2ø
Mihalis (2006 Digital Remaster),David Gilmour,David Gilmour,360.4ø
Deafinitely (2006 Digital Remaster),David Gilmour,David Gilmour,268.0ø
Cry From The Street (2006 Digital Remaster),David Gilmour,David Gilmour,319.5ø
Variations 21 And 22,Variations,Andrew Lloyd Webber | Harry Rabinowitz,118.5ø
Variations 13-14 Varied,Variations,Andrew Lloyd Webber | Harry Rabinowitz,114.3ø
Variations 11-15 (Including The Tributes),Variations,Andrew Lloyd Webber | Harry Rabinowitz,226.5ø
Variation 8,Variations,Andrew Lloyd Webber | Harry Rabinowitz,78.7ø
Variation 23,Variations,Andrew Lloyd Webber | Harry Rabinowitz,158.2ø
Variation 18,Variations,Andrew Lloyd Webber | Harry Rabinowitz,178.2ø
Variation 17,Variations,Andrew Lloyd Webber | Harry Rabinowitz,69.6ø
Gates Of Babylon,The Best Of Rainbow,Rainbow,409.0ø
Rock Lobster,Island Life: 50 Years of Island Records,The B-52's,409.5ø
52 Girls,B-52's,The B-52's,215.4ø
The Same Old Blues (1999 Digital Remaster),The Bride Stripped Bare,Bryan Ferry,201.2ø
Ready To Take A Chance Again,Ultimate Manilow,Barry Manilow,177.5ø
I Just Want To Be The One In Your Life,Even Now,Barry Manilow,219.2ø
On The Silent Wings Of Freedom (LP Version),Tormato,Yes,466.3ø
Don't Kill The Whale,Yesstory,Yes,234.8ø
Space Junk,Q: Are We Not Men?  A: We Are Devo / Devo Live,Devo,134.4ø
Sloppy (I Saw My Baby Gettin'),Q: Are We Not Men?  A: We Are Devo / Devo Live,Devo,159.9ø
Praying Hands,Q: Are We Not Men?  A: We Are Devo / Devo Live,Devo,167.7ø
Gut Feeling,The Life Aquatic With Steve Zissou,Devo,247.1ø
Come Back Jonee,Hot Potatoes: The Best Of Devo,Devo,203.1ø
Blockhead,Duty Now For The Future/New Traditionalists,Devo,179.2ø
(Slap Your Mammy),Q: Are We Not Men?  A: We Are Devo / Devo Live,Devo,51.6ø
You And I,'70s Soul #1's,Rick James,227.7ø
Stone City Band_ Hi!,Come Get It,Rick James,210.0ø
Stone City Band_ Bye!,Come Get It,Rick James,70.7ø
Sexy Lady,Come Get It,Rick James,232.9ø
Mary Jane,Motown Remixed & Unmixed,Rick James,267.3ø
Hollywood,Anthology,Rick James,442.2ø
Dream Maker,Motown Legends: Give It To Me_ Baby - Cold Blooded,Rick James,314.0ø
Be My Lady,Come Get It,Rick James,288.8ø
Cretin Hop (Album Version),It's Alive,Ramones,106.3ø
I Can't Breath Anymore (2006 Digital Remaster),David Gilmour,David Gilmour,220.2ø
Used To Bad News,Don't Look Back,Boston,177.8ø
The Journey,Don't Look Back,Boston,104.1ø
Party,Greatest Hits,Boston,248.1ø
It's Easy,Don't Look Back,Boston,266.2ø
Feelin' Satisfied,Don't Look Back,Boston,251.4ø
Don't Look Back,I Wanna Rock Compilation Vol. 1,Boston,362.5ø
Don't Be Afraid,Don't Look Back,Boston,228.8ø
A Man I'll Never Be,Don't Look Back,Boston,397.9ø
Real World,Love Bites (Special Edition),Buzzcocks,212.3ø
Promises,Encore Du Pain,Buzzcocks,121.9ø
Operators Manual,Operators Manual (Buzzcocks Best),Buzzcocks,214.6ø
Nostalgia,Operators Manual (Buzzcocks Best),Buzzcocks,173.5ø
Lipstick,Operators Manual (Buzzcocks Best),Buzzcocks,156.0ø
Late For The Train (1996 Digital Remaster),Love Bites,Buzzcocks,334.8ø
Get On Our Own,French,Buzzcocks,144.8ø
Time For Me To Fly,Live At Heartland,REO Speedwagon,281.0ø
Say You Love Me Or Say Goodnight,The Essential REO Speedwagon,REO Speedwagon,298.1ø
Blazin' Your Own Trail Again,You Can Tune A Piano_ But You Can't Tuna Fish,REO Speedwagon,212.7ø
Venom Soup,Original Album Classics,Ted Nugent,346.9ø
One Woman,Original Album Classics,Ted Nugent,246.0ø
Need You Bad,Collections,Ted Nugent,257.1ø
I Got The Feelin',Weekend Warriors,Ted Nugent,182.5ø
Good Friends And A Bottle Of Wine,Original Album Classics,Ted Nugent,241.3ø
Gonzo,Live At Hammersmith '79,Ted Nugent,236.9ø
When She Walks In The Room (1999 Digital Remaster),The Bride Stripped Bare,Bryan Ferry,383.9ø
Shin Kicker,LIVE AT MONTREUX,Rory Gallagher,425.0ø
Bad Penny,Etched In Blue,Rory Gallagher,239.0ø
The Woman I'm Supposed To Be,Rough,Tina Turner,192.3ø
Sometimes When We Touch,Rough,Tina Turner,236.8ø
Night Time Is The Right Time,Rough,Tina Turner,380.2ø
A Woman In A Man's World,Rough,Tina Turner,163.7ø
Social Fools,Q: Are We Not Men?  A: We Are Devo / Devo Live,Devo,173.3ø
Things I Do For You,Original Album Classics,The Jacksons,246.0ø
That's What You Get (For Being Polite),Original Album Classics,The Jacksons,298.4ø
Shake Your Body (Down To The Ground),Live,The Jacksons,511.0ø
Push Me Away,Destiny,The Jacksons,258.2ø
Destiny,Original Album Classics,The Jacksons,293.2ø
Blame It On The Boogie,Disco Fever,The Jacksons,216.0ø
All Night Dancin',Destiny,The Jacksons,370.5ø
Terra,Muito Mais,Caetano Veloso,396.6ø
You Took Me By Surprise,The Best Of Smokie,Smokie,217.8ø
The Girl Can't Help It,The Montreux Album,Smokie,230.9ø
Oh Carol,On Tour,Smokie,216.0ø
Mexican Girl,Greatest Hits Collection - 60 Tracks,Smokie,222.9ø
For A Few Dollars More,Eclipse Acoustic,Smokie,202.8ø
My Weapon (2001 Digital Remaster),Go 2,XTC,140.5ø
Hang On To The Night (2001 Digital Remaster),White Music,XTC,129.9ø
It's a Heartache,Wings,Bonnie Tyler,198.2ø
If I Sing You A Love Song,It's A Heartache,Bonnie Tyler,284.1ø
Heaven,It's A Heartache,Bonnie Tyler,181.9ø
Soul Fire,"Lee Perry """"The Upsetter"""" Presents: Roast Fish Collie Weed & Corn Bread",Lee Perry The Upsetter,232.0ø
Ghetto Sidewalk,Ape-ology Presents Super Ape Vs Return Of The Super Ape,"Lee ""Scratch"" Perry",257.3ø
Free Up The Weed,The Best Of,"Lee ""Scratch"" Perry",220.9ø
Feijoada Completa,Chico Buarque,Chico Buarque,171.2ø
Think It Over,Buddy Holly,Buddy Holly,103.7ø
It's so Easy,The Very Best of Buddy Holly,Buddy Holly,129.3ø
The Shed,Long Live Rock 'n' Roll,Rainbow,287.9ø
Sensitive To Light,Long Live Rock 'n' Roll,Rainbow,188.0ø
Rainbow Eyes,Catch The Rainbow: The Anthology,Rainbow,454.1ø
Long Live Rock 'N' Roll,LIVE IN MUNICH 1977,Rainbow,453.2ø
Lady Of The Lake,Long Live Rock 'n' Roll,Rainbow,218.6ø
L.A. Connection,Anthology,Rainbow,300.5ø
Kill The King,Live In Cologne 1976,Rainbow,276.0ø
There She Goes,Bruised Orange,John Prine,204.5ø
The Hobo Song,Bruised Orange,John Prine,211.7ø
Sabu Visits the Twin Cities Alone,John Prine Live,John Prine,347.2ø
Fish and Whistle,John Prine Live,John Prine,181.3ø
Crooked Piece Of Time,Bruised Orange,John Prine,172.2ø
Aw Heck,Bruised Orange,John Prine,140.5ø
John Henry,Matilda... Matilda!,Harry Belafonte,205.5ø
Hallelujah I Love Her So,One For My Baby,Harry Belafonte,171.8ø
Don't Ever Love Me,All Time Greatest Hits Volume 1,Harry Belafonte,169.0ø
Day O,Calypso,Harry Belafonte,182.6ø
Stuff Like That,Quincy Jones - The Best,Quincy Jones | Nickolas Ashford | Valerie Simpson | Chaka Khan,189.2ø
Fame,The Grace Jones Story,Grace Jones,334.3ø
Do Or Die,The Grace Jones Story,Grace Jones,201.0ø
Am I Ever Gonna Fall In Love In New York City,The Grace Jones Story,Grace Jones,326.5ø
All On A Summers Night,The Collection,Grace Jones,253.3ø
Flying High,Natural High,Commodores,309.2ø
FM,The Very Best Of Steely Dan,Steely Dan,306.1ø
Rock N Roll Nigger,Natural Born Killers,Patti Smith,240.4ø
My Generation,Horses,Patti Smith,197.0ø
Gloria,Horses,Patti Smith,355.4ø
Because The Night,LOVE,Patti Smith,183.3ø
25th Floor,Trampin'... Live aux Vieilles Charrues 2004,Patti Smith,417.8ø
I Like What You Do,Gold,Commodores,290.9ø
Stay With Me,Hot Chocolate - The Essential Collection,Hot Chocolate,244.5ø
So You Win Again,Hot Chocolate - The Essential Collection,Hot Chocolate,268.3ø
I'll Put You Together Again,More Greatest Hits,Hot Chocolate,233.9ø
Every 1's A Winner,Original Hits - Seventies,Hot Chocolate,233.5ø
Sound Check,Sound System: The Island Anthology,Steel Pulse,210.7ø
Soldiers,Rastafari Centennial: Live In Paris - Elysee Montmartre,Steel Pulse,272.6ø
Prodigal Son,Living Legacy,Steel Pulse,339.1ø
Prediction,Handsworth Revolution / State Of Emergency / Rastafari Centennial,Steel Pulse,322.2ø
Macka Splaff,Sound System: The Island Anthology,Steel Pulse,319.8ø
Ku Klux Klan,Reggae Greats,Steel Pulse,214.1ø
Handsworth Revolution,Handsworth Revolution / Rastafari Centennial,Steel Pulse,321.4ø
Bad Man,Sound System: The Island Anthology,Steel Pulse,338.5ø
Switch,The Scream,Siouxsie And The Banshees,413.0ø
Metal Postcard (Mittageisen),The Seven Year Itch Live,Siouxsie And The Banshees,263.3ø
Sverige,Black And White,The Stranglers,168.0ø
Old Codger,Black And White,The Stranglers,169.5ø
In The Shadows,The UA Singles 1977-1982,The Stranglers,276.9ø
Rising Runner Missed By Endless Sender (1995 Digital Remaster),Cyclone,Tangerine Dream,301.9ø
Thank You Friends,Columbia: Live at Missouri University 4/25/93,Big Star,197.4ø
Kizza Me,Keep An Eye On The Sky,Big Star,163.7ø
Kanga Roo,Keep An Eye On The Sky,Big Star,225.2ø
Jesus Christ,Keep An Eye On The Sky,Big Star,140.4ø
Holocaust,Keep An Eye On The Sky,Big Star,228.3ø
For You,Keep An Eye On The Sky,Big Star,163.0ø
Femme Fatale,Keep An Eye On The Sky,Big Star,209.1ø
Big Black Car,Keep An Eye On The Sky,Big Star,217.3ø
Do What You Want_ Be What You Are,Livetime,Daryl Hall & John Oates,416.8ø
The Sabre And The Rose,The Essential Kris Kristofferson,Kris Kristofferson,315.1ø
How Do You Feel About Foolin' Around,The Essential Kris Kristofferson,Kris Kristofferson;Willie Nelson,165.7ø
Stay With Me ( LP Version ),Stone Blue,Foghat,263.6ø
It Hurts Me Too ( LP Version ),Stone Blue,Foghat,332.8ø
High On Love ( LP Version ),Stone Blue,Foghat,318.6ø
Easy Money ( LP Version ),Stone Blue,Foghat,235.0ø
Chevrolet ( LP Version ),Stone Blue,Foghat,201.8ø
Chevrolet,Foghat,Foghat,214.2ø
Teenage Lobotomy (Album Version),It's Alive,Ramones,114.6ø
Suzy Is A Headbanger (Album Version),It's Alive,Ramones,113.4ø
Sheena Is A Punk (Album Version),It's Alive,Ramones,136.1ø
Rockaway Beach (Album Version),It's Alive,Ramones,143.8ø
Now I Wanna Sniff Some Glue (Album Version),It's Alive,Ramones,78.2ø
Let's Dance (Album Version),It's Alive,Ramones,123.1ø
Glad To See You Go (Album Version),It's Alive,Ramones,111.1ø
Gimme Gimme Shock Treatment (Album Version),It's Alive,Ramones,97.4ø
Chainsaw (Album Version),It's Alive,Ramones,88.8ø
California Sun (Album Version),It's Alive,Ramones,105.3ø
Blue Moon,Keep An Eye On The Sky,Big Star,126.2ø
Ms. Rheingold (Album Version),Reunion,Peter_ Paul and Mary,250.1ø
Like The First Time (Album Version),Reunion,Peter_ Paul and Mary,257.9ø
