Spring Is Here,Nina Simone,Nina Simone,265.3ø
Try A Little Tenderness,Live in London And Paris,Otis Redding,376.3ø
Treat Her Right ( LP Version ),The Soul Album,Otis Redding,131.0ø
Sweet Lorene,[Sittin' On] The Dock Of The Bay / Sweet Lorene [Digital 45],Otis Redding,151.9ø
Nobody Knows You ( When You're Down And Out ) (LP Version),The Soul Album,Otis Redding,190.6ø
My Lover's Prayer,Stax/Volt - The Complete Singles 1959-1968 - Volume 6,Otis Redding,191.1ø
I'm Sick Y'all,Otis Redding - Stax Profiles,Otis Redding,167.1ø
Everybody Makes A Mistake ( LP Version ),The Soul Album,Otis Redding,203.3ø
Any Ole Way ( LP Version ),The Soul Album,Otis Redding,154.3ø
634-5789 ( LP Version ),The Soul Album,Otis Redding,169.5ø
Clockwise,This Is Jazz #9,George Benson,268.7ø
Guinevere (2005 Digital Remaster) (Mono),Sunshine Superman,Donovan,222.0ø
Saturday's Child,The Definitive Monkees,The Monkees,161.4ø
Come On Over To My Place,The Legacy Continues,The Drifters,183.8ø
You Can't Hurry Love,The Supremes HIts,The Supremes,182.2ø
Without A Song,Where Did Our Love Go? & I Hear A Symphony,The Supremes,179.6ø
Baby I Need Your Loving,Love Is In Our Hearts -The Love Collection,The Supremes,179.3ø
A Banda,Chico Buarque de Hollanda,Chico Buarque,129.7ø
Yesterday,Where Did Our Love Go? & I Hear A Symphony,The Supremes,147.7ø
Stranger In Paradise,The Masters Collection,The Supremes,184.1ø
Barbara Allen,God Bless The Grass,Pete Seeger,70.0ø
Abi Yoyo,Children's Concert At Town Hall,Pete Seeger,354.8ø
You're Pouring Water On A Drowning Man (LP Version),When A Man Loves A Woman,Percy Sledge,145.9ø
When a Man Loves a Woman,Intro: Classic Soul - EP,Percy Sledge,181.6ø
You Baby,If You Can Believe Your Eyes And Ears,The Mamas & The Papas,144.1ø
Words Of Love,California Dreamin' - The Best of The Mamas & The Papas,The Mamas & The Papas,133.6ø
"The ""In"" Crowd",If You Can Believe Your Eyes And Ears,The Mamas & The Papas,194.9ø
Straight Shooter,California Dreamin' - The Best of The Mamas & The Papas,The Mamas & The Papas,176.1ø
Spanish Harlem,California Dreamin' - The Best of The Mamas & The Papas,The Mamas & The Papas,192.8ø
Once Was A Time I Thought,Gold,The Mamas & The Papas,59.4ø
No Salt On Her Tail,Gold,The Mamas & The Papas,160.7ø
Look Through My Window,Hits Of Gold,The Mamas & The Papas,202.0ø
I Saw Her Again,The Mamas & The Papas Hit Pac - 5 Series,The Mamas & The Papas,191.7ø
I Call Your Name,Creeque Alley: The History Of The Mamas And The Papas,The Mamas & The Papas,254.3ø
Hey Girl,If You Can Believe Your Eyes And Ears,The Mamas & The Papas,147.7ø
Do You Wanna Dance,The Ultimate Collection,The Mamas & The Papas,177.2ø
Dancing In The Street,The Ultimate Collection,The Mamas & The Papas,223.4ø
You're Pouring Water On A Drowning Man,Best of Percy Sledge,Percy Sledge,144.6ø
You Fooled Me (LP Version),When A Man Loves A Woman,Percy Sledge,149.5ø
When She Touches Me (LP Version),When A Man Loves A Woman,Percy Sledge,153.9ø
Thief In The Night  (LP Version),When A Man Loves A Woman,Percy Sledge,145.8ø
Thief In The Night,Percy Sledge Greatest Hits,Percy Sledge,142.9ø
Love Me Like You Mean It (LP Version),When A Man Loves A Woman,Percy Sledge,149.6ø
Love Makes The World Go Round (LP Version),When A Man Loves A Woman,Percy Sledge,160.3ø
Good Love,When A Man Loves A Woman,Percy Sledge,273.7ø
Little By Little,The Complete BBC Sessions,Dusty Springfield,155.5ø
All I See Is You,Complete A's And B's,Dusty Springfield,202.0ø
Time In,For All Time,Dave Brubeck,236.5ø
Cassandra,For All Time,Dave Brubeck,257.6ø
Sweet Pains (2006 Remastered LP Version),Double Dynamite,Sam & Dave,155.7ø
A Certain Sadness,A Certain Smile_ A Certain Sadness,Astrud Gilberto | Walter Wanderley Trio,188.0ø
If It Hadn't Been For You,The Dusty Springfield Story,Dusty Springfield,142.3ø
Goin' Back,Complete A's And B's,Dusty Springfield,211.0ø
When Something Is Wrong With My Baby,20 Greatest Hits,Sam & Dave,204.5ø
Portuguese Washerwoman,Look To The Rainbow,Astrud Gilberto | Walter Wanderley Trio,90.5ø
Nega Do Cabelo Duro,Look To The Rainbow,Astrud Gilberto | Walter Wanderley Trio,138.1ø
Mr. Spaceman,(Untitled) /(Unissued),The Byrds,187.2ø
I See You,Mojo Presents... The Byrds,The Byrds,160.8ø
I Come And Stand At Every Door,Fifth Dimension,The Byrds,183.2ø
Eight Miles High,Definitive Collection,The Byrds,218.0ø
When I Grow Too Old To Dream,The End of the World/Nice Girls Don't Stay for Breakfast,Julie London,172.7ø
Give A Little Whistle,The End of the World/Nice Girls Don't Stay for Breakfast,Julie London,187.0ø
Everything I Have Is Yours,The End of the World/Nice Girls Don't Stay for Breakfast,Julie London,185.2ø
Taboo (LP Version),And Now!,Booker T. & The MG's,265.9ø
Summertime (LP Version),And Now!,Booker T. & The MG's,281.6ø
Soul Jam (LP Version),And Now!,Booker T. & The MG's,185.0ø
Jericho (LP Version),And Now!,Booker T. & The MG's,157.6ø
In The Midnight Hour (LP Version),And Now!,Booker T. & The MG's,178.4ø
Young Girl Blues (2005 Digital Remaster) (Mono),Mellow Yellow,Donovan,228.1ø
Writer In The Sun (Demo) (Mono),Mellow Yellow,Donovan,210.4ø
The Trip (2005 Digital Remaster) (Mono),Sunshine Superman,Donovan,277.5ø
