Are You Real,Are You Real,The Neon Judgement,242.3ø
Distance,Continuous,Celebrate The Nun,232.8ø
Velkomst (Welcome),Kerrs Pink,Kerrs Pink,164.9ø
Sett dem bare ned (Please_ Be Seated),Kerrs Pink,Kerrs Pink,407.0ø
Sank fra skogen (Song from the Wildness),Kerrs Pink,Kerrs Pink,276.9ø
Pimpernelle,Kerrs Pink,Kerrs Pink,332.3ø
Parringsstevet (Copulation Theme),Kerrs Pink,Kerrs Pink,235.8ø
Kong edvardt (King Edward),Kerrs Pink,Kerrs Pink,281.6ø
Hvis jeg er er der neste ar (If I'm Still Here Next Year),Kerrs Pink,Kerrs Pink,394.0ø
Feberlaten (The Fever Theme),Kerrs Pink,Kerrs Pink,240.5ø
Barkbillens flukt (The Flight of the Bark Beetle),Kerrs Pink,Kerrs Pink,232.3ø
Bamse brakar (Brer Bear),Kerrs Pink,Kerrs Pink,202.7ø
Asvkjed (Departure),Kerrs Pink,Kerrs Pink,396.2ø
