Anywhere USA,Bring It On - Music From The Motion Picture,PYT,244.4ø
Soberana,Brazilian Love Affair 2,Wilson Des Neves,233.1ø
Wait A Minute,Technicolour Dream,Traffic Jam,135.4ø
Yingisa,Karimbo,Mabulu,203.3ø
Swi Fambu,Karimbo,Mabulu,171.2ø
Shitaratwini,Karimbo,Mabulu,186.4ø
Shikwata,Karimbo,Mabulu,246.1ø
Shihitani Sha Mina,Karimbo,Mabulu,216.5ø
Niyaliwile,Karimbo,Mabulu,189.5ø
Ngoma Macandju,Karimbo,Mabulu,223.0ø
Ngole Ngole,Karimbo,Mabulu,176.1ø
N'twananu,Karimbo,Mabulu,194.3ø
N'mbinheto,Karimbo,Mabulu,223.5ø
N'dambi,Karimbo,Mabulu,223.0ø
Kombela Ka Shikwembu,Karimbo,Mabulu,263.9ø
Karimbo,Karimbo,Mabulu,184.9ø
Roamin' in the Gloamin,Stop Your Tickling Jock,Harry Lauder,239.0ø
Carmen,Maria Dolores,Maria Dolores Pradera,213.2ø
Childish Delusions,Surviving Death/ Alive Why?,Bill Brovold and Larval,337.4ø
X - Posure,X-posure,Grupo X,245.0ø
The X - Factor,X-posure,Grupo X,329.7ø
Mi Tumbao,X-posure,Grupo X,299.8ø
Jonny's Bugalu,X-posure,Grupo X,295.4ø
Eye 2 Eye,X-posure,Grupo X,311.6ø
Brand New Love,X-posure,Grupo X,320.2ø
Yoko,Ace Troubleshooter,Ace Troubleshooter,194.7ø
Se 101,Ace Troubleshooter,Ace Troubleshooter,190.6ø
Phonix,Ace Troubleshooter,Ace Troubleshooter,263.6ø
1st Corinthians 13,Ace Troubleshooter,Ace Troubleshooter,185.2ø
Si Se Lov,Les Incontournables Du Zouk,Jacky  Rapon,457.8ø
Le Plus Pauvre Des Hommes,Omar Chakil,Omar Chakil,228.6ø
