1979 (Instrumental Mix),Rarities & B-Sides,The Smashing Pumpkins,320.4ø
Where Is The Feeling,The Pop Years 1994 - 1995,Kylie Minogue,251.0ø
Wherever I May Roam,Plays Metallica By Four Cellos,Apocalyptica,369.7ø
Welcome Home (Sanitarium),Plays Metallica By Four Cellos,Apocalyptica,352.0ø
The Unforgiven,Plays Metallica By Four Cellos,Apocalyptica,323.3ø
Sad But True,Plays Metallica By Four Cellos,Apocalyptica,288.4ø
Master Of Puppets,Plays Metallica By Four Cellos,Apocalyptica,436.9ø
Harvester Of Sorrow,Plays Metallica By Four Cellos,Apocalyptica,375.0ø
Enter Sandman,Plays Metallica By Four Cellos,Apocalyptica,221.8ø
Creeping Death,Plays Metallica By Four Cellos,Apocalyptica,308.4ø
"Who Would Imagine A King - (From ""The Preacher's Wife"")",The Preacher's Wife,Whitney Houston Featuring The Nativity Choir From The Preacher's Wife,210.8ø
Somebody Bigger Than You And I,The Preacher's Wife,Whitney Houston Featuring Bobby Brown_ Faith Evans_ Johnny Gill_ Monica And Ralph Tresvant,281.7ø
I Go To The Rock,The Preacher's Wife,Whitney Houston with The Georgia Mass Choir,245.2ø
Nobody Listens,The Gray Race,Bad Religion,117.3ø
War?,System Of A Down,System of a Down,160.5ø
It Just Don't Stop,Illadelph Halflife,The Roots,273.8ø
The Perfect Drug,Lost Highway,Nine Inch Nails,315.4ø
Moonage Daydream (Live),David Live,David Bowie,308.0ø
We've Got It Goin' On,Greatest Hits - Chapter 1,Backstreet Boys,219.5ø
Quit Playing Games (With My Heart),Greatest Hits - Chapter 1,Backstreet Boys,232.5ø
Nobody But You,Backstreet Boys,Backstreet Boys,183.0ø
Let's Have A Party,Backstreet Boys,Backstreet Boys,229.3ø
Just To Be Close To You,Backstreet Boys,Backstreet Boys,288.5ø
Every Time I Close My Eyes,Backstreet Boys,Backstreet Boys,234.7ø
Christmas Time,Christmas Hits,Backstreet Boys,251.2ø
Boys Will Be Boys,Backstreet Boys,Backstreet Boys,244.7ø
Thunderpeel,Odelay - Deluxe Edition,Beck,160.3ø
The New Pollution,Odelay - Deluxe Edition,Beck,220.0ø
Lord Only Knows,Odelay,Beck,254.1ø
Jack-Ass,Odelay,Beck,241.2ø
Diskobox,Odelay,Beck,215.2ø
Devil Got My Woman,Odelay - Deluxe Edition,Beck,274.1ø
Clock,Odelay - Deluxe Edition,Beck,197.1ø
Burro,Odelay - Deluxe Edition,Beck,193.3ø
Know,Chop Suey!,System of a Down,187.4ø
Professional Widow (LP Version),Boys For Pele,Tori Amos,272.9ø
Professional Widow,Legs and Boots: Boston_ MA - October 18_ 2007,Tori Amos,371.9ø
Marianne,Legs and Boots: Melbourne_ FL - November 18_ 2007,Tori Amos,333.8ø
In The Springtime of His Voodoo,Legs and Boots: Indianapolis_ IN - November 2_ 2007,Tori Amos,356.5ø
Hey Jupiter (LP Version),Boys For Pele,Tori Amos,311.7ø
Hey Jupiter,Legs and Boots: Chicago_ IL - November 6_ 2007,Tori Amos,440.8ø
Father Lucifer,Hammersmith Apollo_ London_ U.K. 6/4/05,Tori Amos,314.9ø
Lemmings,Dude Ranch,Blink-182,158.1ø
For You I Will,The Boy Is Mine,Monica,294.9ø
Mr. Zebra,To Venus And Back,Tori Amos,77.8ø
Blood Roses,Legs and Boots: Cleveland_ OH - November 1_ 2007,Tori Amos,322.4ø
Beauty Queen,Manchester Apollo_ Manchester_ U.K. 6/5/05,Tori Amos,102.2ø
Agent Orange (LP Version),Boys For Pele,Tori Amos,85.5ø
It Was You,Dreamin' Out Loud,Trace Adkins,205.7ø
Every Light In The House,Greatest Hits Collection_ Volume 1,Trace Adkins,180.6ø
634-5789,Dreamin' Out Loud,Trace Adkins,214.3ø
(This Ain't) No Thinkin' Thing,Dreamin' Out Loud,Trace Adkins,242.3ø
Who Killed Marilyn?,Legacy Of Brutality,The Misfits,116.4ø
We Are 138 (1996 Digital Remaster),Static Age,The Misfits,100.3ø
She (1997 Digital Remaster),Static Age,The Misfits,82.1ø
In The Doorway (1997 Digital Remaster),Static Age,The Misfits,84.3ø
Watch Dem Niggas,It Was Written,Nas,244.7ø
Street Dreams,Greatest Hits,Nas featuring R. Kelly,268.0ø
If I Ruled The World (imagine that),iTunes Originals: Nas,Nas,286.7ø
Album Intro,It Was Written,Nas,146.6ø
