Faith Of Our Fathers,20 Favourite Uplifting Hymns,Mormon Tabernacle Choir,100.6ø
Angels We Have Heard On High,Christmas With The Mormon Tabernacle Choir,The Mormon Tabernacle Choir,230.1ø
Come To Butt-Head,The Beavis And Butt-Head Experience,Beavis And Butt-Head,231.8ø
Som Eit Lauv I Eit Vindkast,LIVe LAGA,Hellbillies,261.7ø
Gamle Bry'n,LIVe LAGA,Hellbillies,231.3ø
Ei Krasafaren Steinbu,LIVe LAGA,Hellbillies,261.8ø
Pescado Y Vino,Le Mans,Le Mans,123.6ø
Manzanas Y Naranjas,Le Mans,Le Mans,83.4ø
Juan,Le Mans,Le Mans,76.3ø
H.E.L.L.O.,Le Mans,Le Mans,254.0ø
El Cielo,Le Mans,Le Mans,84.3ø
Astronautas,Le Mans,Le Mans,84.6ø
Al Bulevar,Le Mans,Le Mans,74.0ø
E Di Nuovo Cambio Casa,Ivano Fossati - I Miti,Ivano Fossati,273.9ø
You Put A Move On My Heart,Whisper A Prayer,Mica Paris,370.6ø
You Got A Special Way,Whisper A Prayer,Mica Paris,308.4ø
Whisper A Prayer,Whisper A Prayer,Mica Paris,231.7ø
We Were Made For Love,Whisper A Prayer,Mica Paris,295.2ø
Two In A Million,Two In A Million,Mica Paris,240.1ø
Love Keeps Coming Back,The Best Of,Mica Paris,449.2ø
I Wanna Hold On To You,I Wanna Hold On To You,Mica Paris,230.0ø
I Should've Known Better,Black Angel,Mica Paris,304.3ø
I Never Felt Like This Before,I Never Felt Like This Before,Mica Paris,396.1ø
I Bless The Day,Whisper A Prayer,Mica Paris,337.3ø
Can't Seem To Make Up My Mind,Whisper A Prayer,Mica Paris,346.8ø
Call Me By My Name,I Never Felt Like This Before,Mica Paris,241.8ø
Three Gipsies,White Sheep,Inchtabokatables,159.8ø
Weekend,Love life L'amore e la vita al tempo degli 883,883,227.5ø
Sei Un Mito,Tutto Max,883,306.8ø
Rotta X Casa Di Dio,Gli Anni,883,292.4ø
Non Ci Spezziamo,Nord Sud Ovest Est,883,185.6ø
Nella Notte,Gli Anni,883,261.5ø
Caterina - Aeroplano,Nord Sud Ovest Est,883,266.4ø
The Golden Hind,Shoes For Industry! The Best Of The Firesign Theatre,The Firesign Theatre,274.4ø
The Chinchilla Show,Shoes For Industry! The Best Of The Firesign Theatre,The Firesign Theatre,159.1ø
The Breaking Of The President,Shoes For Industry! The Best Of The Firesign Theatre,The Firesign Theatre,376.8ø
The American Pageant,Shoes For Industry! The Best Of The Firesign Theatre,The Firesign Theatre,547.4ø
Station Break,Shoes For Industry! The Best Of The Firesign Theatre,The Firesign Theatre,134.3ø
Ralph Spoilsport Motors,Shoes For Industry! The Best Of The Firesign Theatre,The Firesign Theatre,425.6ø
Not Quite The Solution He Expected,Shoes For Industry! The Best Of The Firesign Theatre,The Firesign Theatre,517.4ø
La Bomba Shelter,Shoes For Industry! The Best Of The Firesign Theatre,The Firesign Theatre,70.1ø
I Was A Cock-Teaser For Roosterama!,Shoes For Industry! The Best Of The Firesign Theatre,The Firesign Theatre,185.8ø
Give Up This Day,Shoes For Industry! The Best Of The Firesign Theatre,The Firesign Theatre,121.3ø
Forward Into The Past,Shoes For Industry! The Best Of The Firesign Theatre,The Firesign Theatre,365.4ø
Ersatz Bros. Coffee,Shoes For Industry! The Best Of The Firesign Theatre,The Firesign Theatre,46.5ø
Bear Whiz Beer,Shoes For Industry! The Best Of The Firesign Theatre,The Firesign Theatre,30.5ø
Harder & Faster,Remastered (Destruction By Speed + For You),The Speed Freak,216.5ø
When Will I See You Again,When Will I See You Again,Thomas Anders | The Three Degrees,333.9ø
Stay A Little Longer,When Will I See You Again,Thomas Anders,231.1ø
Shipwrecked,When Will I See You Again,Thomas Anders,227.3ø
Marathon Of Life,When Will I See You Again,Thomas Anders,222.0ø
Is It My Love,When Will I See You Again,Thomas Anders,220.8ø
I'll Love You Forever,I'll Love You Forever,Thomas Anders,310.6ø
Hold My Hand,When Will I See You Again,Thomas Anders,222.2ø
Lips Flips,After Hours,Charlie Christian | Dizzy Gillespie,296.3ø
Guy's Got To Go,After Hours,Charlie Christian | Dizzy Gillespie,145.6ø
AC/DC Current,Charlie Christian_ The First Master Of The Electric Guitar - CD A,Charlie Christian,149.9ø
