Mr. Greed,Centerfield,John Fogerty,249.3ø
Sin ti,Las baladas,Hombres G,280.3ø
The Toad And The Kangaroo,A Light In The Attic,Shel Silverstein,86.6ø
Prehistoric,A Light In The Attic,Shel Silverstein,64.1ø
Nobody,A Light In The Attic,Shel Silverstein,63.4ø
Kidnapped,A Light In The Attic,Shel Silverstein,47.8ø
Homework Machine,The Best Of Shel Silverstein,Shel Silverstein,45.2ø
Captain BlackBeard Did What?,A Light In The Attic,Shel Silverstein,90.3ø
Almost Perfect,A Light In The Attic,Shel Silverstein,104.1ø
Thinkin' About Your Body,The Best of Bobby McFerrin,Bobby McFerrin,196.7ø
Ena,The Ultimate Collection,Haustor,236.1ø
Muchacha De Ojos Tristes,Los Kjarkas,Los Kjarkas,189.0ø
El Amor Y La Libertad,Los Kjarkas,Los Kjarkas,266.7ø
No Ver_ No Hablar_ No Oir,En Un Lugar De La Marcha,Baron Rojo,343.7ø
El Baile De Los Malditos,En Un Lugar De La Marcha,Baron Rojo,263.3ø
Cuerdas De Acero,En Un Lugar De La Marcha,Baron Rojo,284.9ø
Chicos Del Rock,En Un Lugar De La Marcha,Baron Rojo,322.3ø
Caso Perdido,En Un Lugar De La Marcha,Baron Rojo,345.1ø
Breakthoven,En Un Lugar De La Marcha,Baron Rojo,326.9ø
